word/phrase,value,class
second,1
protocol,69
hague,7
convention,33
protection,56
cultural,95
property,97
event,14
armed,25
conﬂict,1
march,3
party,111
conscious,1
need,1
improve,1
concidict,42
establish,5
enhanced,33
system,3
specicidcally,1
designated,1
reafcidrming,1
importance,2
provision,23
done,3
may,44
emphasizing,1
necessity,4
supplement,2
measure,14
reinforce,1
implementation,9
desiring,1
provide,7
high,7
contracting,8
mean,17
closely,1
involved,2
establishing,1
appropriate,9
procedure,7
therefor,1
considering,1
rule,10
governing,1
recidect,1
development,2
international,41
law,24
afcidrming,1
customary,2
continue,1
govern,1
question,1
regulated,1
agreed,1
follows,1
journal,10
vol,1
pp,1
downloaded,17
university,17
bristol,17
library,17
dec,17
subject,19
cambridge,17
core,17
term,19
use,31
available,18
document,10
chapter,14
introduction,1
decidnitions,1
purpose,13
state,19
cidcultural,1
propertycid,1
decidned,2
partycid,1
cidenhanced,1
protectioncid,1
established,6
article,4
cidmilitary,1
objectivecid,1
object,5
nature,2
location,1
make,7
effective,3
contribution,4
military,21
action,5
whose,3
total,1
partial,1
destruction,3
capture,1
neutralization,1
circumstance,6
ruling,1
time,9
offer,2
decidnite,1
advantage,5
cidillicitcid,1
compulsion,1
otherwise,2
violation,10
applicable,5
domestic,6
occupied,6
territory,17
list,13
accordance,19
sub-paragraph,10
united,10
nation,10
educational,3
scienticidc,2
organization,6
protocolcid,1
relation,10
scope,1
application,10
addition,1
shall,110
apply,6
peace,3
situation,8
referred,7
paragraph,1
one,12
bound,5
remain,1
mutual,7
furthermore,1
latter,1
accepts,3
long,4
applies,3
relationship,1
without,11
prejudice,10
save,2
granted,3
special,1
general,2
regarding,4
safeguarding,4
preparatory,3
taken,10
foreseeable,1
effect,6
pursuant,3
include,4
preparation,3
inventory,2
planning,1
emergency,4
cidre,1
structural,1
collapse,1
removal,3
movable,2
adequate,4
situ,2
designation,1
competent,3
authority,6
responsible,4
respect,9
goal,1
ensuring,2
ar,1
ticle,2
waiver,2
basis,7
imperative,3
invoked,4
direct,3
act,10
hostility,7
function,7
made,8
objective,8
ii,4
feasible,7
alternative,1
obtain,1
similar,4
offered,1
directing,1
likely,1
expose,1
damage,5
choice,3
possible,4
another,8
method,4
obtaining,2
decision,12
invoke,1
ofcidcer,1
commanding,1
force,11
equivalent,1
battalion,1
size,2
larger,1
smaller,1
permit,4
case,11
attack,13
based,2
subparagraph,2
advance,2
warning,2
given,2
whenever,2
precaution,5
required,3
humanitar,1
ian,1
conduct,1
operation,2
everything,1
verify,1
attacked,1
protected,9
take,6
view,4
avoiding,2
minimizing,1
incidental,3
refrain,1
deciding,2
launch,1
expected,2
cause,3
would,3
excessive,2
concrete,2
anticipated,2
cancel,5
suspend,5
becomes,1
apparent,1
maximum,1
extent,1
remove,1
vicinity,1
avoid,1
locating,1
near,1
occupation,2
whole,2
part,2
prohibit,1
prevent,1
illicit,2
export,2
transfer,2
ownership,2
archaeological,2
excavation,2
strictly,1
safeguard,2
record,1
preserve,1
alteration,2
change,2
intended,1
conceal,1
destroy,1
historical,1
evidence,2
unless,2
carried,2
close,1
co-operation,3
national,8
placed,1
provided,9
meet,3
following,8
three,3
condition,2
heritage,2
greatest,2
humanity,1
legal,9
administrative,5
recognising,1
exceptional,2
historic,1
value,1
highest,2
level,3
used,4
shield,3
site,1
declaration,1
control,3
concidrming,1
granting,3
submit,4
committee,52
intends,1
request,25
jurisdiction,12
included,3
necessary,7
information,4
related,3
criterion,5
mentioned,3
invite,3
blue,2
non-governmental,5
organisation,2
relevant,4
expertise,2
recommend,1
specicidc,2
decide,3
inclusion,7
neither,1
situated,1
sovereignty,2
claimed,1
way,1
right,1
dispute,1
upon,4
receipt,3
inform,2
representation,6
within,4
sixty,1
day,2
fact,1
consider,6
providing,1
requesting,3
reasonable,2
opportunity,2
respond,1
taking,2
notwithstanding,3
majority,4
four-cidfths,2
member,10
present,5
voting,4
ask,1
advice,1
governmental,3
well,3
individual,6
expert,1
grant,4
deny,1
concluded,2
cannot,1
fulcidll,1
submits,1
assistance,25
outbreak,1
communicating,1
transmit,2
immediately,1
concerned,1
expedited,1
provisional,3
soon,2
pres,1
ent,1
pending,1
outcome,1
regular,1
sub-paragraphs,10
met,1
commit,2
tee,1
moment,1
entry,4
delay,3
send,2
noticidcation,2
immunity,2
ensure,4
refraining,1
making,3
immediate,6
surroundings,2
support,4
loss,1
lose,1
suspended,1
cancelled,1
ara,1
become,1
terminating,2
minimising,1
due,1
requirement,1
self-defence,1
ordered,1
operational,1
command,1
issued,1
opposing,2
requiring,1
termination,1
iii,2
redress,1
suspension,1
cancellation,1
longer,1
status,5
removing,2
serious,3
arising,2
continuous,1
exceptionally,1
afford,4
known,1
criminal,7
responsibility,10
person,11
commits,2
offence,29
meaning,1
intentionally,2
using,1
extensive,1
appropriation,1
theft,1
pillage,1
misappropriation,1
vandalism,1
directed,1
adopt,6
set,14
forth,14
punishable,1
penalty,1
comply,1
principle,1
including,4
extending,1
directly,2
legislative,2
committed,3
alleged,3
offender,3
exercise,3
preclude,1
incurring,1
affect,3
except,2
far,1
accept,2
serving,1
incur,1
virtue,1
impose,1
obligation,3
extradite,3
prosecution,2
found,1
exception,1
whatsoever,1
undue,1
proceeding,5
connection,2
guaranteed,1
fair,2
treatment,1
trial,1
stage,1
guarantee,1
le,1
favorable,1
extradition,13
deemed,1
extraditable,2
treaty,7
existing,1
undertake,2
every,2
subsequently,1
conditional,2
existence,2
receives,1
requested,3
option,1
recognise,1
treated,1
place,1
occurred,1
also,2
con,1
nection,1
investigation,1
brought,1
disposal,1
carry,1
conformity,4
arrangement,2
exist,1
absence,2
ground,3
refusal,1
regarded,1
political,7
connected,2
inspired,2
motif,2
accordingly,1
refused,1
sole,1
