word/phrase,value,class
international,7
journal,3
cultural,27
property,6
printed,1
copyright,2
society,12
forever,3
nearing,1
finish,5
line,6
heritage,49
policy,12
problem,13
memory,47
postwar,18
beirut,78
adrienne,1
fricke*,1
abstract,1
central,10
repository,3
century,2
historic,5
structure,14
substantially,2
destroyed,10
civil,15
war,46
private,15
company,7
known,6
french,9
acronym,2
solidère,48
created,8
government,19
decree,1
given,3
task,2
reconstructing,2
center,12
despite,2
political,23
project,13
brought,2
hope,4
social,12
recovery,8
economic,12
renewal,2
yet,11
progress,2
come,4
cost,2
site,23
erasure,7
even,8
though,2
traditional,6
legal,17
discourse,4
acknowledge,3
hold,2
powerful,4
position,3
reconstruction,53
tool,3
capturing,2
function,4
using,3
heuristic,3
originally,2
employed,4
archeology,2
art,13
history,23
address,6
psychological,4
aspect,10
discussing,2
contemporary,3
lebanese,45
culture,10
defined,1
people,10
make,11
sense,6
done,4
enormity,2
post–civil,2
become,3
clear,3
national,18
hoping,2
consolidate,3
authority,8
would,16
well,9
consider,5
best,3
approach,4
public,34
place,11
resonant,2
emotionally,3
charged,4
policymakers,4
complex,3
benefit,3
negative,29
drafting,2
law,21
enable,2
protection,3
reform,4
carried,2
goal,4
balanced,2
accommodate,3
key,3
postconflict,2
urban,24
space,25
acknowledging,2
weight,2
past,20
also,11
bolster,2
confidence,3
emergent,1
process,14
jhabitais,1
la,5
maison,3
den,1
face,3
guerre,2
et,3
au,3
jardin,1
de,14
morts,1
plantés,1
rosiers,1
lived,3
house,5
facing,1
garden,2
planted,1
corps,2
rose,1
pennsylvania,1
school,2
email,1
downloaded,19
university,22
bristol,19
library,19
dec,19
subject,21
cambridge,19
core,19
term,25
use,22
available,22
ancêtres,1
oubliés,1
dans,2
dynamique,1
dune,2
allée,1
une,3
cube,1
mémoire,3
sou,1
le,9
balcon,1
dun,1
oeil,1
moitié,2
corp,2
lautre,1
formant,1
un,1
angle,2
sur,4
trottoir,1
sign,2
isolé,1
ma,1
fresque,1
haine,1
forgotten,3
ancestor,3
movement,3
alley,2
cubicle,2
balcony,2
eye,2
half,4
body,6
sidewalk,2
single,1
canvas,1
hatred,1
nadia,2
tueni,2
archive,7
sentimentales,1
liban,3
tourist,2
betting,1
horse,4
always,3
favorite,1
leisure,1
activity,4
paid,1
advertisement,1
new,12
york,6
time,12
november,4
including,9
important,4
monument,4
ottoman,4
colonial,5
period,4
saw,2
violence,9
sectarian,3
group,10
shiite,1
sunni,1
greek,2
orthodox,1
catholic,2
maronite,1
druze,1
city,28
drawn,1
enclave,1
although,4
fighting,5
engulfed,1
entire,1
country,4
devastation,1
symbolize,1
destruction,6
ruined,1
building,31
infrastructure,4
primary,2
locus,1
conflict,4
commercial,6
heart,2
lebanon,33
many,8
religious,4
ethnic,1
could,6
engage,2
neutral,2
setting,4
shared,1
physically,2
socially,1
sniper,2
shelling,2
mortar,2
attack,1
gunfight,1
rival,1
militia,3
damage,2
occurred,2
israeli,2
bombing,1
siege,2
early,4
heightened,1
armed,2
intervention,2
various,3
foreign,1
power,5
former,6
civic,3
formerly,2
scene,1
intercommunal,1
commerce,2
interaction,1
transformed,1
headquarters,1
road,2
sustained,1
severe,1
finally,1
ended,2
faced,2
rebuild,2
once-flourishing,1
capital,1
rather,4
taking,3
monumental,1
delegated,1
responsibility,2
entity,4
development,12
district,8
better,1
controversial,1
tie,1
leading,3
politician,1
billionaire,2
prime,6
minister,6
rafik,3
hariri,6
significantly,3
several,2
stakeholder,1
believed,1
participated,1
demolition,6
part,2
break,1
critic,1
say,1
lends,1
air,1
profiteering,1
effort,9
since,6
becoming,2
official,7
redevelopment,7
sought,2
remake,1
repair,1
story,2
embodies,2
major,7
theme,2
governance,1
personal,4
influence,2
cult,1
capitalism,1
weak,1
state,5
unwilling,1
unable,2
perform,2
regulatory,2
framework,2
put,1
