word/phrase,value,class
international,7
journal,7
cultural,61
property,4
printed,1
copyright,1
society,3
presenting,1
past,18
landscape,181
approach,16
visual,72
integrity,8
tool,2
archeological,1
heritage,83
management,9
saruhan,1
mosler*,1
abstract,1
archaeological,76
site,104
composed,3
unique,5
complex,14
setting,25
including,12
architectural,6
remains,17
visually,3
spatially,3
interrelated,3
space,62
ecology,4
topographical,9
feature,15
landforms,2
framing,2
today,12
subject,28
many,5
pressure,5
caused,3
developmental,3
change,8
well,10
improper,1
conservation,23
planning,16
strategy,3
one,15
reason,1
still,6
heavily,1
focused,3
le,2
wider,12
component,8
set,2
authentic,3
backdrop,2
make,10
vivid,4
legible,3
concentrating,1
trend,1
explores,2
value,20
tripartite,4
conceptualization,4
view,12
namely,1
considering,6
artifact,9
three-dimensional,8
scenery,6
using,2
bergama,24
western,7
turkey,8
case,6
study,8
propose,2
landscape–oriented,1
sustainable,6
presentation,9
process,8
resource,16
monument,12
embedded,2
scattered,2
along,6
countryside,2
peri-urban,1
urban,30
dominated,1
mediterranean,7
thousand,4
year,6
region,15
sustained,1
intensive,1
human,12
activity,5
difficult,2
find,1
place,33
epitomizes,1
untouched,1
nature,12
yet,3
rich,5
biodiversity,1
encompasses,1
unspoiled,1
coastal,3
school,1
design,4
writtle,1
college,1
essex,1
email,1
downloaded,24
university,27
bristol,24
library,25
dec,24
cambridge,26
core,24
term,27
use,38
available,27
seascape,1
lake,2
wetland,1
mountainous,1
zone,4
various,4
endemic,1
plant,2
wildlife,1
unexcavated,1
began,1
development,12
modern,10
archaeology,6
late,1
nineteenth,1
century,5
time,11
technique,1
gradually,1
changing,7
developing,3
famous,4
ancient,21
city,15
unearthed,1
ax,1
town,18
important,8
identified,6
impressively,1
restored,3
nevertheless,3
institutional,2
mostly,4
ecological,2
authenticity,2
receiving,1
little,1
attention,3
however,6
located,12
framed,1
built,5
environment,12
always,1
connected,7
particular,7
rural,7
spatial,27
dependence,3
anagnostopoulos,3
state,2
relationship,7
true,1
work,3
architecture,2
placed,1
merely,1
matter,1
deeply,1
organic,1
stemming,1
overall,1
functional,3
structural,3
building,9
character,13
historic,8
major,1
element,17
exhibit,1
enormous,1
variety,3
depth,7
sensitivity,1
people,9
live,2
take,3
part,9
recreational,2
broadest,1
useful,3
sense,22
include,2
aspect,9
formation,3
pattern,3
land,15
system,3
settlement,8
fauna,1
flora,1
sociocultural,3
tradition,2
identity,8
complexity,3
cannot,1
reduced,1
conversely,1
natural,26
faced,1
agriculture,1
industrialization,1
urbanization,2
expanded,1
area,17
buildup,1
mass,1
tourism,10
appears,3
packed,1
periphery,1
agricultural,6
new,13
tourist,6
although,5
protected,3
site-specific,2
manner,2
item,1
contain,1
displayed,4
significance,7
preserved,4
traditionally,1
national,1
park,5
regional,1
scale,4
whole,4
virtually,1
unprotected,1
designation,1
demarcating,1
boundary,8
turn,2
produce,2
fragmentation,4
physical,13
compete,1
lead,3
loss,2
material,8
immaterial,2
information,10
culture,11
recognition,1
force,2
specialist,1
archaeologist,1
conserva,1
tionists,1
planner,2
designer,2
manager,2
rethink,1
integrated,9
result,1
evolving,2
spur,1
scientific,2
know-how,1
preserving,2
considered,2
form,18
function,3
context,11
salter,1
refers,8
defines,1
segment,1
earth,1
lie,6
viewer,7
eye,5
hisher,1
horizon,2
essential,4
emphasize,3
structure,10
among,3
define,2
interface,6
conserved,4
contains,2
posse,2
extremely,2
intersighted,1
therefore,3
optimal,1
unites,1
attribute,2
present,8
integrative,1
conception,1
amalgamating,1
historical,12
coherent,3
plan,2
understand,3
dynamic,2
defining,2
within,11
focusing,2
objective,2
quality,20
architectonic,7
aegean,7
used,6
two,7
decade,1
investigation,1
phenomenon,1
field,4
firmly,1
established,3
academic,5
recognized,2
solid,1
theoretical,2
foundation,1
indicated,1
broad,1
spectrum,2
scholarly,1
research,5
social,4
contemporary,5
assessed,1
remained,2
underexplored,1
lacking,1
directly,1
indirectly,1
interrelate,1
affect,3
jakle,8
intended,1
picturesque,3
creates,6
distinctness,1
critical,2
factor,3
distinguishing,1
single,1
constructed,3
gallery,1
museum,3
making,3
evocative,1
regarding,1
point,8
garden,9
problem,2
analyzing,1
without,3
consequential,1
effect,4
sameness,1
homogeneity,2
evokes,2
feeling,4
seems,1
see,4
old,9
stone,1
every,6
lack,1
creating,2
memorable,1
engender,2
also,9
often,1
debated,1
threedimensional,2
way,5
grasping,1
interplay,3
integration,3
three,4
main,2
characteristic,4
allow,1
integrating,1
hand,4
help,7
visitor,21
laypeople,1
perceive,5
comprehend,3
providing,4
better,2
orientation,2
possible,4
researcher,1
stakeholder,1
local,8
authority,3
interested,1
potential,4
possibility,1
respect,2
framework,3
first,3
compromise,2
tangible,4
interrelation,2
linked,2
second,3
provides,2
applied,1
sufficient,1
exists,1
accessible,1
public,7
fact,3
highly,2
evolutionary,2
being,2
forced,1
continue,2
create,8
livable,1
