word/phrase,value,class
journal,63
world,30
intellectual,48
property,52
vol,25
pp,73
doi,1
j-x,1
right,347
access,201
digital,79
copyright,349
owner,69
user,63
marcella,26
favale,28
university,8
bournemouth,2
last,1
decade,1
scholarship,1
suggesting,1
existence,5
new,26
law,89
control,31
work,117
rightholder,6
according,14
author,40
effected,1
implementation,6
legal,25
protection,85
technological,17
measure,24
hand,8
advocate,1
freedom,49
expression,39
suggest,6
use,31
investigates,1
whether,4
exists,2
either,7
european,33
union,3
international,33
impacting,4
ﬁnds,3
express,8
reference,16
detected,1
side,5
however,43
directive,71
give,7
de,10
facto,5
holder,3
possibility,4
controlling,4
beyond,11
exclusive,45
counterbalanced,1
occurrence,1
limit,31
legislative,3
action,10
therefore,33
need,7
taken,1
re-establish,1
balance,8
shaped,1
universal,4
principle,13
recognized,6
human,29
treaty,23
charter,4
drafted,1
bearing,1
mind,3
ultimate,3
goal,8
circulation,23
culture,34
keywords,1
management,5
always,2
part,13
granted,7
reproduction,50
distribution,3
initially,1
privilege,14
government,2
willing,1
public,43
knowledge,6
subsequently,2
became,1
book,3
publisher,1
wanted,1
avoid,3
unauthorized,4
order,7
recoup,1
investment,1
recently,2
issue,6
raised,4
increasing,1
gained,2
entitlement,6
compete,1
access-controlling,5
advent,4
era,8
tension,1
matter,6
system,8
designed,3
enforce,5
environment,17
thanks,3
access-restricting,1
device,7
mackaay,2
guaranteed,3
seems,17
expand,1
traditional,5
creating,1
additional,6
dusollier,23
easy,2
cheap,1
provided,17
incentive,4
around,3
without,19
authorization,6
sometimes,4
justiﬁed,1
act,30
claiming,1
respect,6
exception,73
argue,8
guarantee,2
name,1
guibault,3
truth,4
technically,2
make,8
distinction,4
beneﬁciaries,4
also,32
implemented,8
fallen,1
domain,2
ccid,25
blackwell,25
publishing,25
ltd,25
literature,9
represents,4
threat,3
aim,1
understanding,1
boundary,8
drawn,1
end,2
analysis,4
framework,2
jurisprudence,2
may,23
impact,4
fundamental,27
protected,31
information,37
help,4
identifying,1
focus,3
jurisdiction,3
legislation,22
examine,3
regarding,3
identiﬁed,4
problematic,2
source,4
conditional,7
database,19
software,10
reviewed,2
search,1
explicit,8
regulation,7
related,9
importantly,2
access-related,1
disposition,3
discussed,3
mainly,3
grounded,5
depth,1
seem,10
insufﬁciently,1
constitutional,3
provide,23
prerogative,8
counterbalance,1
allowance,7
explore,1
path,3
convention,18
debate,5
level,4
form,11
relating,2
stipulated,1
organization,2
performance,5
phonogram,5
state,35
contracting,2
party,9
shall,16
adequate,3
effective,11
remedy,7
circumvention,7
used,6
connection,2
exercise,7
berne,9
restrict,4
authorized,3
concerned,3
permitted,5
provides,8
ayers,3
explicitly,6
within,21
statutory,1
barczewski,2
arguably,3
suggests,5
although,12
set,5
applicable,4
must,2
scope,8
lock,3
adopted,2
deﬁned,3
koelman,9
helberger,4
allowed,3
contrario,2
one,14
eg,5
virtue,1
rightholders,26
permission,1
deemed,2
legitimate,3
ginsburg,10
strowel,19
letter,2
specify,3
circumventing,1
exceed,1
neither,3
excludes,1
similar,2
performer,3
producer,5
found,3
sum,7
protect,11
tool,5
technical,4
since,6
subject,9
speciﬁc,8
extent,5
comply,4
furthermore,6
agreement,4
aspect,3
refer,5
expressly,1
includes,5
among,4
provision,20
enforcement,5
member,14
ensure,3
procedure,2
speciﬁed,4
available,21
permit,2
infringement,16
covered,2
including,10
expeditious,3
prevent,4
constitute,2
deterrent,1
applied,4
manner,3
creation,7
barrier,1
trade,3
safeguard,1
abuse,4
considered,6
would,11
appear,2
certainly,2
mean,16
moreover,15
preventive,1
utilized,1
short,5
correspond,1
description,1
speciﬁes,2
way,10
implementing,4
interpreted,8
line,2
added,1
national,10
involve,1
internet,15
service,19
provider,3
require,3
disclose,1
personal,8
data,9
interruption,1
upon,1
number,5
notice,1
recent,1
example,25
approved,2
parliament,3
many,4
country,7
vein,1
issued,2
privacy,4
defence,3
heated,2
surrounding,1
expansion,2
still,4
leith,2
add,3
valuable,1
contribution,1
discourse,3
millennium,3
american,4
congress,6
ﬁrst,13
transposed,3
useful,3
discus,2
brieﬂy,1
touchstone,1
somewhat,3
similarly,2
happened,1
later,1
expanded,1
wording,7
person,5
circumvent,2
effectively,2
title,2
commentator,11
go,3
well,4
could,9
giving,1
irrespective,4
ex,3
novo,1
created,5
argument,9
see,38
position,6
entry,2
force,9
postponed,1
year,2
reconcile,1
newborn,1
united,5
fair,10
two,4
general,5
exempting,1
clause,3
address,5
embodied,3
intends,1
exempt,1
limitation,10
second,7
enlarge,1
diminish,1
vicarious,1
contributory,1
regular,2
supervision,1
library,3
six,1
follows,2
non-proﬁt,1
archive,3
educational,1
institution,2
reverse,1
engineering,1
encryption,2
research,4
minor,1
security,3
testing,2
might,5
legislator,4
made,10
attempt,1
keep,1
practice,7
scenario,1
overly,2
different,12
counterpart,1
self-enforce,3
whereas,8
cannot,9
detail,2
addition,2
deal,2
extended,2
regulated,3
established,1
commercialized,1
special,3
albeit,1
article,1
needed,1
necessary,8
computer,10
program,2
lawful,9
acquirer,1
accordance,2
intended,5
purpose,4
error,1
correction,1
perform,1
back-up,1
copy,19
studying,1
decompilation,1
achieve,1
interoperability,1
code,5
favour,5
raise,2
particular,4
thereof,2
listed,2
content,10
normal,5
exempted,2
collected,1
supplementary,1
contrast,3
included,8
enjoy,4
regulates,2
restriction,4
protects,7
illicit,1
unauthorised,1
television,3
radio,1
broadcasting,4
society,6
meaning,4
remuneration,1
basis,4
access-control,3
material,13
commission,6
declares,1
tackle,1
good,7
explanatory,2
memorandum,3
proposal,3
clariﬁes,1
distinguished,1
even,8
though,4
economic,19
point,4
view,4
beneﬁt,4
indirect,4
effect,2
interest,19
remain,2
distinct,1
indirectly,5
based,12
conclusion,7
protecting,5
list,14
stored,4
supplying,1
speciﬁcally,1
regulate,3
entirely,1
surprising,1
europe,3
instrument,1
ever,2
presentation,1
bill,1
hugenholtz,16
identiﬁes,1
broad,7
interpretation,21
communication,25
anti-circumvention,2
authorise,3
prohibit,4
direct,3
temporary,17
permanent,5
extends,1
turn,1
wire,1
wireless,1
making,8
place,3
time,6
individually,2
chosen,3
incorrect,2
create,3
undue,1
correct,4
main,1
restore,1
original,3
complex,1
problem,6
matured,1
namely,3
rooted,2
topic,1
diverges,1
signiﬁcantly,1
transpose,1
recites,2
deﬁnition,3
subject-matter,3
controlled,1
application,4
process,6
scrambling,1
transformation,1
mechanism,1
achieves,1
objective,2
previous,3
version,3
amended,1
council,36
reﬂected,1
result,3
negotiation,1
deleted,2
motivation,1
question,8
fell,2
outside,5
ﬁeld,4
current,6
reinserted,1
despite,1
already,5
appears,2
broadened,2
comparison,5
deﬁnitions,2
copy-controlling,2
every,6
restrained,1
take,5
appropriate,3
beneﬁciary,2
beneﬁting,2
subjectmatter,1
selects,1
seven,1
reason,3
selection,3
clear,2
criterion,2
mentioned,2
possibly,2
state-of-art,1
private,3
managed,1
setting,1
optical,1
disk,1
speech,6
unlikely,2
affected,2
superﬁcial,1
look,2
reveals,1
constraint,1
choosing,2
importance,1
regrettable,1
important,4
parody,4
news,3
reporting,2
criticismquotation,1
excluded,1
rutz,2
exclusion,2
preserving,1
cultural,7
patrimony,1
community,4
torremans,8
submit,1
presence,2
separate,5
independent,5
apply,3
bound,3
finally,2
enjoins,2
nature,8
certain,7
weakness,1
acknowledge,1
grant,2
legally,1
obligated,1
great,1
unbalanced,3
lack,1
meet,1
convincing,2
justiﬁcations,3
traditionally,1
scholar,2
differentiate,2
derives,2
directly,3
cornish,2
llewellyn,1
facilitate,1
rather,9
denying,1
fact,10
impede,1
free,6
riding,1
stronger,1
others,12
technology,13
led,2
moral,21
disclosure,4
called,5
explain,1
said,2
stem,2
case,26
unlawful,2
necessarily,4
implies,6
mostly,4
evident,1
onset,1
operating,2
load,1
memory,10
random,2
ﬁles,2
saved,1
hard,2
drive,2
unit,1
ﬂash,1
card,1
etc,2
connected,1
network,3
temporarily,1
store,1
cache,3
common,4
product,5
involves,1
thereby,1
infringing,6
construct,5
text,4
agreed,3
statement,2
concerning,2
thereunder,1
fully,1
understood,2
storage,1
electronic,3
medium,3
constitutes,1
transient,3
undisputed,1
supported,1
object,1
compulsory,3
referred,2
incidental,1
integral,1
essential,1
whose,2
sole,2
enable,3
transmission,3
third,3
intermediary,2
signiﬁcance,6
caching,4
automatically,1
allow,1
undoubtedly,1
using,1
controversial,2
subsection,1
exempts,1
us,1
value,4
argued,6
client,1
fragmented,1
non-recognizable,1
lost,1
switched,1
depend,2
purchased,1
subscribed,1
receiving,2
friend,1
recipient,1
requirement,5
redundant,2
consent,3
transforms,2
assimilating,1
industrial,3
unduly,1
expands,2
westkamp,9
root,2
suppression,1
ﬁxation,3
doctrine,4
requires,2
perceived,2
override,1
norm,3
longer,1
alone,2
broadens,2
subjecting,1
assumes,2
highly,1
debatable,2
copying,5
damage,2
competition,1
le,8
likely,2
patterson,2
lindberg,2
relevant,2
identify,2
wittem,3
group,3
arbitrary,1
running,1
fool,2
run,1
foster,1
unnecessarily,1
power,2
sound,2
justiﬁcation,1
economical,2
difﬁcult,2
represent,1
prejudice,3
introduced,1
arising,1
business,1
model,2
internet-tailored,1
characteristic,1
authorize,1
fraser,2
righolders,1
following,4
communicating,2
done,1
freely,7
disollier,1
unchallenged,1
refers,6
mirroring,1
duty,3
refrain,1
stop,1
accessing,2
heide,6
exercised,1
addressed,3
plurality,2
put,3
forward,1
relationship,2
embedded,2
commercial,3
communicates,1
get,1
ﬁnancial,3
gain,2
lead,2
restricted,2
striking,1
consequence,1
super,1
creates,3
hindrance,2
particularly,1
think,1
impaired,1
essence,3
revolution,2
context,2
interestingly,3
grounding,1
factual,1
probably,1
sense,4
connotation,1
compelled,1
rationale,13
changed,2
evolution,3
involution,2
adaptation,4
array,1
unrealistic,1
incomplete,1
access-based,1
neglecting,1
useless,1
eliminated,1
ensured,1
exemption,4
by-product,1
clearly,1
limited,4
much,2
structure,2
enforced,2
seen,1
depending,1
stance,2
observer,1
evidence,2
rental,2
latter,2
neighbouring,2
former,3
enforcing,1
differ,1
suggested,1
regulating,2
remit,1
often,4
compliance,3
instrumental,1
change,2
revolving,1
diffusion,5
balanced,1
defeat,1
piracy,1
olswang,3
smith,5
disturbing,1
pay-per-use,1
reach,3
dared,1
ignoring,1
commodity,1
simple,1
vehicle,1
respecting,1
surrender,2
vaidhyanathan,2
first,4
concept,2
guide,1
behaviour,1
ante,1
post,1
achieved,1
cover,1
contrary,3
imposed,2
coincide,1
performing,1
rectius,1
prevails,2
lessig,2
prompted,3
alleged,1
danger,3
bestow,1
counterbalancing,1
thus,1
hindering,1
fulﬁlment,1
solved,1
merely,1
existing,4
normative,4
liberty,7
literally,1
expressive,1
confers,1
another,2
et,19
al,2
grosheide,2
declaration,3
everyone,7
participate,1
life,2
art,5
share,1
scientiﬁc,8
advancement,1
beneﬁts,4
enjoying,1
sharing,1
progress,3
opinion,6
hold,2
interference,2
seek,1
receive,4
impart,3
idea,11
regardless,2
frontier,2
circulate,1
thought,3
creativity,3
allows,3
several,2
brings,1
autonomy,1
discussion,2
enables,1
meaningful,1
participation,1
democracy,2
self-fulﬁlment,1
suppresses,1
absence,1
circumstance,2
offends,1
dignity,2
citizen,1
mention,3
active,1
passive,1
sanction,2
communicate,2
constitution,6
signed,3
rome,1
reinforces,1
include,6
authority,2
requiring,1
licensing,2
cinema,2
enterprise,1
room,6
opposite,1
recital,3
proposed,3
harmonisation,1
implement,2
four,1
internal,1
market,1
relates,1
especially,4
body,1
optional,2
outlined,1
ﬁnd,2
equivalent,1
piece,1
introduces,1
carry,2
responsibility,1
formality,2
condition,1
penalty,1
prescribed,1
democratic,1
territorial,1
integrity,4
safety,2
prevention,1
disorder,1
crime,1
health,2
reputation,9
preventing,1
received,1
conﬁdence,1
maintaining,1
impartiality,1
judiciary,1
serious,1
war,1
emergency,1
unless,1
present,2
superior,2
universally,1
barlow,2
perhaps,1
interesting,1
true,1
believe,2
possible,2
comprehending,1
patrimonial,8
stand,1
close,2
personality,4
paternity,3
conversely,4
enjoyed,1
physical,1
entity,1
transposition,1
libel,1
defamation,1
basic,3
child,2
pornography,1
resulting,3
literary,7
artistic,8
production,3
covenant,5
social,5
draw,1
recognize,1
formulation,4
patent,3
trademark,2
codiﬁcations,1
protocol,6
peaceful,1
enjoyment,1
support,4
decision,5
court,14
afﬁrmed,1
covering,1
enters,1
pantheon,2
yet,3
caron,3
show,4
due,2
reward,6
geiger,4
weak,1
compared,1
development,2
science,2
creative,3
activity,2
contact,1
cooperation,1
respected,1
organic,1
stand-alone,2
dubuisson,4
key,3
interpret,1
precise,1
consensus,1
deserve,1
status,3
consequent,1
difference,2
framed,1
chapman,3
promoting,1
maximize,2
proﬁts,1
entertainment,5
promote,1
restrain,2
substantially,1
positive,1
exist,1
design,1
encompasses,1
emphasize,1
born,1
civil,4
non-transferable,1
imprescriptible,1
indefeasible,1
unlimited,1
popular,1
transmissible,1
transferable,2
forfeiture,1
waivable,3
treated,1
differently,1
across,2
weight,1
practical,1
accepted,2
implication,2
granting,3
living,1
creator,1
word,2
promotes,1
proportional,1
detrimental,1
inferred,1
excessive,1
compensation,2
call,1
lower,1
examined,2
indiscriminately,1
subparagraphs,1
represented,1
deﬁne,1
drafting,2
keeping,1
account,1
crucial,2
assume,1
correspondence,1
uncontroversial,1
simply,1
entertain,1
inform,2
lucas,7
conﬁrmed,2
choice,1
intend,1
term,5
broadest,1
distinguishing,1
impossible,1
macmillan,2
obvious,1
music,5
expressing,1
criticism,2
shielded,1
ineffective,1
citation,1
derive,1
exclude,1
underpinned,2
revolve,1
sufﬁciently,1
able,1
belgium,7
france,6
reﬂects,1
perfectly,1
safeguarded,1
french,2
supreme,3
conﬁrms,1
sanctioned,2
applauded,1
heavily,1
criticized,1
netherlands,2
church,1
scientology,3
dataweb,1
dior,5
evora,6
willingness,1
external,1
determine,2
sued,3
successfully,1
invoked,1
justify,1
allegedly,1
ruling,2
isolated,1
utrillo,3
st,1
degree,1
frank,4
germania,2
divide,1
criticizes,1
exhaustive,1
offered,1
rigid,1
opposed,1
ﬂexible,2
saluted,1
opening,1
solution,2
lie,1
thomas,1
hoeren,4
symbol,2
deconstruction,2
modern,1
construction,1
dubio,2
pro,2
libertate,2
extensively,3
argues,3
restrictive,1
conﬂict,2
player,1
stricken,1
iure,1
condito,1
sufﬁcient,1
tulkens,10
content-related,1
