word/phrase,value,class
coggins,26
page,17
situation,9
united,45
state,52
cultural,83
property,60
legislation,23
observation,1
combatant,1
clemency,10
chase,9
coggins*,1
consideration,1
initiative,1
response,4
loss,6
latin,7
america,5
canada,8
seen,7
participant,2
formulation,2
implementation,5
aesthetic,4
viewpoint,1
divide,1
constituency,3
although,16
former,1
prevailing,2
signiﬁcance,6
implementing,6
ﬁve,5
requesting,2
country,32
mexico,24
discussed,4
ﬁnal,3
recommendation,3
emendation,1
allow,1
respond,1
immediately,1
request,29
party,2
convention,25
almost,2
thirty,1
year,22
ago,1
resounding,1
declaration,1
since,11
sixteenth,1
century,3
ruthlessly,1
plundered,11
appeared,2
art,50
journal,5
historian,6
written,1
jeremiad,1
directed,1
profession,1
seemed,2
implicated,1
burgeoning,1
trafﬁc,7
antiquity,24
news,1
dramatic,2
assertion,1
subsequent,1
enumeration,1
looted,6
monument,13
american,22
museum,33
picked,1
press,7
appetite,1
scandalous,1
illegal,5
enterprise,1
especially,4
involve,2
revered,1
institution,2
like,8
sixty,1
large,3
carved,2
maya,17
stele,6
cut,2
smuggled,2
guatemala,24
belize,3
british,1
honduras,1
steadily,1
increasing,1
number,1
well-known,1
published,2
documented,4
provenience,6
described,4
resolution,1
passed,7
thirty-ninth,1
international,26
congress,3
americanists,1
munich,1
concerning,2
acquisition,10
graduate,1
student,2
archaeology,15
became,4
involved,7
clear,6
would,12
site,17
left,1
intact,3
study,3
continue,3
rate,3
began,2
realize,3
many,10
acquiring,1
dismembered,1
stone,1
portrait,1
truncated,1
text,4
thinking,1
cover,1
track,1
hiding,1
whatever,2
documentation,1
might,7
exist,1
university,13
research,3
responded,3
next,5
history,14
boston,1
society,5
critical,1
problem,4
adopting,1
policy,3
followed,2
principle,3
new,16
went,2
underground,1
stopped,2
publishing,2
even,7
exhibiting,1
questionable,1
world,7
old,5
must,7
emphasized,3
object,30
case,9
exported,5
illegally,5
origin,4
time-honored,1
practice,2
exceedingly,2
reluctant,1
eschew,1
unesco,1
starting,1
law,35
formed,3
panel,4
trade,9
national,16
treasure,3
work,10
preliminary,1
draft,1
proposed,1
chaired,1
william,1
rogers,1
arnold,2
porter,2
washington,3
lawyer,3
reporter,1
paul,5
bator,6
professor,2
harvard,3
included,3
mark,1
feldman,1
department,5
ashton,1
hawkins,1
metropolitan,1
among,6
others,4
also,3
comprised,2
dealer,16
collector,11
museum-related,1
people,5
including,3
peabody,1
connection,1
mentioned,1
indicated,1
often,4
destination,1
within,4
deﬁnable,3
region,10
represented,4
known,5
attempt,3
quantify,1
plunder,5
serious,2
drawback,1
reforming,1
always,5
lack,3
data,1
surprising,1
disorganized,1
clandestine,2
every,3
conspires,1
hide,1
may,15
know,2
still,8
bulletin,1
announcement,2
risking,1
bad,1
publicity,1
continued,2
bators,1
report,2
deliberation,1
led,2
appointment,1
delegation,1
special,1
committee,10
negotiated,1
drafted,2
basis,1
thoughtful,1
innovative,1
analysis,1
ratiﬁed,2
understanding,4
selfexecuting,1
making,1
necessary,3
eleven,2
long,6
essential,2
ﬁnally,3
senate,1
ﬁrm,1
coalition,1
determined,1
restrict,1
participation,1
thus,5
protecting,1
access,1
market,35
professional,3
organization,2
representing,1
archaeologist,11
torians,1
well,5
fought,1
restriction,13
possible,7
end,2
requirement,2
likely,1
unenforceable,1
free,4
export,10
control,17
abhorrent,1
subject,2
federal,2
omitted,1
instead,2
provided,3
temporary,1
import,20
signatory,3
made,11
detailed,3
documenting,2
crisis,6
proportion,2
pre-columbian,1
monumental,8
dealing,1
speciﬁc,1
acknowledging,1
principal,2
archaeologically,6
rich,5
regulation,1
importation,4
architectural,3
sculpture,8
mural,2
prohibited,1
material,26
whole,1
dramatically,1
successful,2
deﬁned,2
title,3
diverted,1
europe,3
total,1
volume,1
apparently,3
diminished,1
however,12
hideous,1
unintended,1
consequence,4
culture,30
looting,9
thriving,1
decade,2
looter,8
deprived,1
relatively,3
accessible,1
standing,1
architecture,1
turned,3
grave,1
good,3
depredation,1
accelerating,2
earlier,1
hunting,1
seem,2
benign,1
difﬁcult,7
explain,4
public,6
removal,3
theft,1
registered,2
patrimony,5
cutting,1
stela,1
discarding,1
