word/phrase,value,class
human,71
right,252
cultural,75
heritage,30
indian,125
tribe,99
united,100
state,143
dean,22
suagee*,1
introduction,1
half,1
century,7
adoption,7
universal,1
declaration,89
indigenous,117
people,128
world,27
seek,6
recognition,7
international,43
community,26
especially,3
associated,1
living,6
selfgoverning,2
within,12
traditional,14
homeland,8
connection,3
culture,48
fundamental,4
cidindigenous,3
need,15
root,4
territory,12
many,29
survival,14
distinct,15
may,23
well,8
depend,1
upon,3
whether,6
recognizes,3
act,25
stop,3
violation,1
industrialized,3
country,14
express,4
concern,5
fate,1
motivated,2
self-interest,1
principle,23
posse,4
wealth,2
knowledge,17
used,10
serve,3
interest,6
tend,2
support,12
including,19
continue,3
exist,9
different,3
kind,10
motivation,1
necessarily,4
contradictory,1
prove,2
complementary,1
survive,3
current,4
wave,1
assault,1
nonindigenous,1
government,47
nongovernmental,2
organization,7
could,10
cidnd,2
working,15
partnership,2
pursue,5
common,5
environmental,16
conservation,3
objective,2
generation,7
future,3
first,3
nation,16
law,78
program,11
vermont,4
school,2
south,1
royalton,1
university,5
north,4
carolina,1
american,43
somewhat,1
version,2
previously,1
published,4
biodiversity,3
wrong,3
halina,2
niec,2
ed,8
publishing,3
paris,2
portion,5
adapted,1
suagee,26
rise,4
occasion,3
review,14
journal,5
property,19
vol,2
pp,2
society,8
paper,7
address,4
two,14
legal,15
instrument,10
emerging,3
draft,56
hereinafter,16
proposed,23
presentation,2
emphasizes,1
provision,11
broadly,2
described,10
recent,2
year,6
america,7
become,16
actively,1
involved,4
deliberation,1
unfortunately,2
much,8
said,6
arena,6
informed,2
experience,10
although,11
department,21
engaged,1
pretense,1
consultation,6
representative,6
regarding,4
individual,37
speak,6
generally,22
ignored,1
counsel,1
branch,3
federal,63
expertise,2
policy,30
particular,6
interior,4
justice,5
fact,4
great,6
deal,3
inciduence,2
ill,1
devotes,1
substantial,4
attention,3
inconsistency,1
position,13
taken,4
body,6
domestic,5
long,4
tradition,13
recognizing,8
live,5
self-governing,5
culturally,3
adherence,2
national,11
tribal,91
self-government,10
say,8
least,2
inconsistent,2
historical,3
period,2
carried,6
designed,4
destroy,2
addition,6
throughout,4
history,9
supported,3
ciddevelopmentcid,2
natural,17
resource,4
way,15
incidicted,1
suffering,2
causing,2
damage,2
thing,4
depended,1
hundred,2
thousand,2
last,2
quarter,3
toward,5
increasingly,3
prominent,1
governing,4
also,20
made,4
known,6
often,5
extend,1
far,1
beyond,2
boundary,6
reservation,22
part,28
present,3
introductory,2
observation,4
relationship,6
environment,3
offer,3
brief,2
discussion,4
basic,10
overview,3
relating,5
member,9
reader,2
think,1
intended,2
mainly,2
benecidt,5
lawyer,2
practicing,1
cideld,4
attest,1
however,6
subject,6
average,1
citizen,3
know,5
little,3
occupy,2
vulnerable,1
system,9
lack,2
public,4
contributes,1
vulnerability,2
examines,1
emphasis,5
critical,3
commentary,2
role,5
shaping,1
calling,1
key,3
point,5
contradicted,2
dealing,6
rather,13
hold,6
recidects,5
presence,3
countless,1
variety,6
deeply,1
rooted,2
prior,1
contact,2
european,3
provided,6
material,4
agriculture,1
hunting,2
cidshing,2
gathering,1
modern,4
wildlife,1
continues,1
essential,5
meeting,5
subsistence,1
still,4
use,13
wild,2
plant,1
healing,1
remain,2
important,1
aspect,14
identity,4
core,3
religion,13
place,14
religious,15
signicidcance,2
event,2
took,3
conduct,1
ceremony,2
practice,10
reason,4
outsider,1
regarded,1
sacred,3
located,3
area,6
web,4
life,6
yet,3
disrupted,1
activity,5
recidect,3
ripped,1
apart,1
allow,1
take,11
banner,1
nonhuman,1
make,9
maker,1
call,3
cidbiological,1
diversitycid,1
cidbiodiversitycid,1
culturescideagles,1
wolf,1
salmon,2
raven,1
coyote,1
buffalo,2
cedar,1
sage,1
sweetgrass,1
mention,1
protecting,5
land,32
biological,2
tends,2
prerequisite,2
written,4
embody,1
value,7
ethic,2
frame,1
inquiry,1
past,2
tense,1
cul,1
tural,1
enabled,1
provide,8
want,1
without,6
irreparable,1
rebecca,2
tsosie,2
recently,3
reviewed,1
amount,1
literature,7
topic,1
concluded,2
raising,2
usual,1
caution,1
generalization,3
worldviews,1
several,8
