word/phrase,value,class
international,3
journal,2
cultural,23
property,4
printed,1
copyright,1
society,3
english,8
foxhunting,83
prohibited,7
practice,26
garry,2
marvin*,1
abstract,1
act,37
parliament,4
england,15
hunting,159
forbade,1
highly,2
formal,6
ritualized,1
fox,142
pack,13
hound,95
thus,2
brought,5
end,9
present,18
countryside,51
year,10
explore,3
complexity,2
social,33
prior,6
ban,21
well,10
nature,5
relates,2
killing,28
effect,2
term,41
perspective,6
supporter,12
experienced,3
attack,4
cherished,2
notion,12
community,10
rural,17
life,26
belonging,12
connectivity,3
february,2
toward,4
season,9
became,5
law,8
wale,5
vulpes,2
new,4
prohibit,2
proscribed,1
manner,8
place,23
since,2
late,2
eighteenth,3
century,12
many,14
people,31
particularly,4
little,3
connection,1
either,3
approved,1
measure,1
paid,1
scant,1
attention,4
significance,6
however,19
thousand,1
member,10
nearly,1
registered,4
hunt,109
different,12
matter,4
adjust,1
loss,5
something,15
central,8
come,10
gradual,1
erosion,1
attenuation,1
traditional,3
diminished,1
rather,11
imposed,1
taken,5
outsider,3
view,5
understanding,2
vibrant,2
part,26
event,41
played,1
school,2
business,3
science,2
roehampton,1
university,31
email,1
would,27
like,6
thank,2
captain,3
brian,1
fanshawe,1
rupert,2
inglesant,2
invaluable,1
suggestion,1
also,23
stephanie,1
still,8
patience,1
read,2
draft,1
unpick,1
muddled,1
thinking,1
writing,3
downloaded,22
bristol,22
library,22
mar,22
subject,23
cambridge,24
core,22
use,33
available,23
intention,4
discus,5
multifaceted,1
general,5
public,4
political,9
debate,9
developed,5
becoming,3
prohunting,8
lobby,2
attempted,3
subsequently,2
challenge,6
far,5
unsuccessfully,1
legality,1
offered,5
overview,1
key,5
issue,17
extended,1
endnote,1
focus,7
transformed,1
attempt,12
maintain,4
integrity,1
yet,1
remain,3
within,8
actually,4
anthropological,2
account,6
particular,20
relationship,9
human,17
animal,31
constituted,1
created,5
sense,22
participant,18
never,5
simply,9
utilitarian,3
destroying,1
unwanted,1
predator,2
element,4
participate,10
pleasure,4
watching,1
killed,18
although,20
often,13
successful,3
cannot,4
reduced,6
fully,4
understood,1
death,7
certainly,9
kill,10
valued,4
significant,8
fact,3
significantly,1
found,6
hunted,25
foxhound,16
important,12
form,17
culturally,4
constructed,2
enacted,3
process,4
encounter,4
engagement,10
heart,1
legal,6
may,14
left,4
allowed,4
richly,1
complex,7
activity,16
without,8
meaning,1
ignoble,1
pest,4
control,10
stripped,1
status,3
unceremoniously,1
deemed,4
nuisance,2
peculiar,3
reversion,1
much,5
earlier,3
long,8
history,7
probably,1
kept,3
poultry,1
livestock,9
preyed,2
earliest,2
literary,2
image,2
creeping,1
around,5
field,12
