word/phrase,value,class
international,17
journal,12
cultural,70
property,37
printed,1
copyright,1
society,4
coordinated,1
legal,33
policy,57
approach,23
undiscovered,11
antiquity,73
adapting,1
heritage,51
england,39
wale,34
nation,39
origin,25
derek,2
fincham*,1
abstract,1
blanket,3
ownership,18
law,39
export,8
restriction,6
criminal,22
market,20
default,2
strategy,8
currently,2
used,9
prevent,6
looting,19
archaeological,61
site,46
although,14
remarkably,2
successful,8
achieving,2
return,7
looted,10
object,99
may,49
best,7
maximize,3
recording,5
preservation,6
context,18
permissive,1
regime,3
broadly,1
applied,1
adopted,6
public,29
large,7
produced,17
dramatically,6
better,13
result,10
strong,5
prescriptive,1
scotland,32
easily,2
ignored,1
attempt,2
clear,4
misconception,1
framework,20
account,2
position,2
accorded,1
portable,18
describes,5
perfected,1
voluntary,11
program,10
called,2
scheme,31
stand,4
stark,2
contrast,4
domestic,7
unique,2
differs,4
typical,3
coupled,4
structure,7
resulted,1
lead,5
le,5
important,24
allows,12
tailored,4
data,16
contextual,8
information,13
conduct,4
historical,12
research,16
unprecedented,2
scale,4
compensating,3
finder,40
even,18
preclude,3
illicit,9
long,5
compensation,4
substantially,4
similar,14
price,5
effectively,4
excludes,2
looter,6
reward,20
system,18
school,1
economics,1
forum,2
london,8
email,1
downloaded,24
university,36
bristol,24
library,25
mar,24
subject,27
cambridge,26
core,25
term,24
use,29
available,39
precise,2
number,11
found,22
versus,1
appear,4
open,4
much,8
speculation,1
effective,5
essential,1
ensure,3
individual,13
find,72
encouraged,3
report,19
recent,5
year,11
bulk,1
scholarship,5
focused,3
importance,6
impressive,7
body,8
classify,1
centered,1
preserve,3
author,2
become,3
increasingly,3
concerned,1
museum,22
acquisition,4
private,3
multilateral,1
agreement,2
code,4
ethic,1
surrounding,3
repatriation,3
restitution,1
previously,1
emerged,1
major,7
initiative,2
among,4
source,5
particularly,4
italy,13
world-renowned,1
institution,6
embarrassed,1
attention,2
drawn,2
collection,3
massive,4
extensive,2
investigation,3
appeared,1
increasing,3
frequency,1
notably,1
united,20
state,23
ought,1
somewhat,1
surprising,1
extended,1
expensive,2
undertaking,1
hindered,1
lack,5
transparency,2
permeates,1
trade,11
must,7
seriously,1
consider,7
form,1
hope,1
continue,1
exist,2
seems,8
finally,3
adopt,2
axiom,1
archaeologist,15
advocate,8
valuable,6
precious,3
diminished,2
value,10
without,4
accompanying,1
tenable,1
compromise,3
shifting,1
focus,1
step,3
back,2
question,14
displayed,1
whether,12
evaluate,1
viability,1
so-called,1
universal,1
look,3
completely,1
erase,1
commodification,1
rather,5
examines,1
pragmatic,3
fact,10
given,14
finite,2
political,4
enforcement,6
resource,20
money,1
colin,4
renfrew,4
noted,3
despite,1
reform,3
increased,11
awareness,4
regulation,3
destruction,5
thirty,1
succeeding,1
since,5
creation,1
convention,2
mean,4
isolation,1
way,9
offer,5
potential,6
model,4
policymakers,6
indeed,1
perhaps,9
remarkable,3
aspect,2
common,6
ground,1
support,3
licit,1
criticize,1
see,13
three,3
thing,2
set,1
apart,1
limited,12
full,5
estimated,3
acquired,2
legally,5
legalization,2
indiscriminate,2
digging,11
many,15
area,17
metal,40
detecting,18
kingdom,11
prohibited,4
specially,3
designated,7
known,3
scheduled,9
ancient,14
monument,19
class,3
crown,15
discovered,16
government-funded,2
led,3
begin,1
revisiting,1
protection,18
declaration,8
next,1
benefit,9
short,2
history,6
compare,2
situation,1
draw,1
conclusion,2
asks,1
could,12
work,18
well,12
vesting,1
restricting,1
extremely,4
regulatory,8
securing,1
punishment,1
violate,1
however,19
measure,3
create,4
workable,1
peru,2
declared,3
colonial,2
republican,1
material,1
presumed,1
cannot,3
exported,1
unless,1
purpose,3
scientific,1
artistic,1
egypt,2
allowed,2
prosecution,5
british,5
smuggler,1
american,4
buyer,3
respectively,2
national,16
allow,6
seller,1
remains,7
actually,2
protecting,10
elsewhere,2
prominent,2
also,11
casual,2
observer,2
know,3
maintained,2
campaign,2
metropolitan,1
art,15
new,10
york,3
getty,1
villa,1
malibu,4
fine,3
boston,1
princeton,1
collector,4
shelby,1
white,1
pressure,3
surely,2
north,2
stop,1
purchasing,1
unprovenanced,2
likely,3
demand,2
classical,2
still,2
part,9
world,7
domestically,1
key,1
success,6
preserving,4
take,5
guatemala,5
example,8
rich,2
wealth,1
economic,5
difficulty,4
civil,4
unrest,1
remoteness,1
make,7
task,1
difficult,5
prized,1
guatemalan,2
include,3
polychrome,1
artifact,3
jade,1
carving,1
stele,2
fragment,4
juan,2
antonio,2
valdés,4
social,4
