word/phrase,value,class
printed,1
copyright,1
protected,62
object,113
act,89
new,209
zealand,192
little,5
late,5
pier,2
davies*,1
paul,3
myburgh**,1
amendment,17
passed,2
parliament,5
could,9
fulfil,2
obligation,6
convention,107
mean,7
prohibiting,2
preventing,2
illicit,14
import,7
export,35
transfer,11
ownership,26
cultural,78
property,34
stolen,28
illegally,6
exported,21
represents,3
significant,20
delay,6
drafting,5
two,14
explores,1
taken,10
long,3
give,15
domestic,16
effect,16
examines,1
manner,3
given,7
legal,4
also,33
focus,6
issue,31
ma¯ori,70
practical,6
implementation,5
heritage,47
climate,1
august,2
williams,8
davy,3
email,2
university,7
auckland,15
author,1
would,15
like,6
express,3
gratitude,1
following,3
people,7
provided,7
valuable,2
assistance,2
personal,1
professional,6
capacity,1
writing,1
bernadette,1
arapere,1
dr,2
david,7
butt,5
chanel,1
clarke,1
elizabeth,2
cotton,1
jane,8
kominik,6
garry,1
law,38
legget,4
professor,5
campbell,1
robert,2
paterson,4
grant,1
powell,1
folarin,1
shyllon,1
brodie,1
stubbs,1
dominic,1
wilson,1
anonymous,1
referee,1
usual,1
disclaimer,1
applies,1
reason,5
matter,6
considerable,2
interest,8
understand,1
ratify,1
necessary,7
examine,1
briefly,1
historical,7
geographical,2
background,1
population,2
million,2
occupation,1
human,2
being,1
recent,6
first,11
settler,2
tribe,5
north,2
pacific,3
appeared,1
ce,1
european,2
settlement,4
take,1
place,19
number,6
british,10
crown,9
negotiated,2
treaty,30
waitangi,31
several,7
northern,1
subtribes,2
hapu¯,3
february,2
signed,2
elsewhere,2
since,2
mid-s,1
considered,2
country,9
founding,2
document,1
educated,1
elite,1
judge,3
legislator,1
bureaucrat,1
deal,6
significance,3
later,5
section,54
enthusiastic,1
colony,1
many,9
year,16
supporting,1
empire,1
sending,1
troop,1
succession,1
colonial,1
international,13
war,4
reluctantly,1
accepted,1
independence,1
conservatism,1
based,7
partly,2
caution,1
almost,2
timidity,1
strong,4
sense,2
loyalty,1
one,13
main,6
element,4
foreign,33
policy,9
enthusiasm,5
multilateral,1
solution,1
began,4
support,1
league,1
nation,4
onward,3
intensified,1
commitment,1
united,9
adopted,8
antinuclear,1
stance,1
brought,11
disfavor,1
france,1
state,27
beginning,1
arose,1
idealism,1
fact,2
string,1
island,4
spread,1
around,5
edge,1
capital,1
city,3
wellington,4
largest,1
together,3
remaining,2
three,6
port,1
always,4
heavily,1
dependent,1
external,1
trade,9
zealander,5
aware,2
dimension,2
attraction,1
isolationist,1
although,22
comparatively,3
well,8
tax,1
base,1
size,2
funded,1
representation,2
affair,15
degree,3
seem,2
merit,1
limitation,12
potential,3
ministry,8
tendency,1
concentrate,1
vital,1
economic,2
consequently,3
tends,1
represented,4
world,4
organization,2
negotiating,1
session,1
intermittently,1
come,3
example,18
attended,2
final,2
meeting,3
protection,28
underwater,4
enthusiastically,2
supported,2
governmental,3
expert,6
leading,1
merely,4
theoretical,1
small,1
suffered,2
material,7
ever,2
captain,2
cook,4
established,4
contact,3
included,4
preserved,1
tattooed,1
head,3
toi,1
moko,3
eighteenth,1
century,4
often,3
traded,1
musket,1
adding,1
much,5
deadlier,1
intertribal,1
warfare,1
followed,2
period,9
trading,1
skull,4
bone,4
moriori,1
indigenous,6
inhabitant,6
chatham,1
koiwi,1
tangata,1
sought,2
scientific,5
studying,1
museum,27
especially,4
england,4
europe,2
commencing,1
intelligence,1
thought,6
determined,2
repugnant,1
contrary,6
applicable,1
customary,2
tikanga,1
instance,2
skeleton,1
deception,1
theft,4
addition,3
treasure,14
including,4
carving,3
ornament,1
cloak,1
weapon,1
obtained,4
sometimes,2
dubious,1
circumstance,3
private,8
collection,8
overseas,4
early,4
twentieth,1
realization,1
disposing,1
lead,1
enactment,5
antiquity,37
general,7
historic,21
article,11
respectively,1
increasing,2
illegal,6
removal,3
artifact,5
statute,9
step,2
responding,1
raised,4
covered,5
broadly,3
defined,6
chattel,2
national,15
artistic,3
importance,6
relates,2
discovery,6
development,6
appears,2
old,7
ship,1
boat,1
aircraft,1
part,12
thereof,1
wrecked,1
value,8
thing,5
history,5
art,10
culture,10
tradition,1
economy,2
manufactured,2
modified,3
ancestor,1
used,6
prior,3
penalty,2
particularly,4
substantial,1
quickly,2
became,4
ludicrous,1
surging,1
inflation,1
ortiz,6
case,16
aftermath,1
key,5
weakness,2
predecessor,1
provide,11
recover,4
fully,2
exposed,1
five,1
storehouse,2
pa¯taka,1
panel,3
masterpiece,2
recovered,3
swamp,1
reappeared,1
kingdom,5
removed,1
without,3
government,27
permission,5
instructed,1
attorney-general,1
unsuccessful,1
house,4
lord,4
resulting,1
intergovernmental,1
protest,1
discussion,3
led,2
commonwealth,4
scheme,6
however,20
outcome,2
speed,2
process,10
ratification,2
instead,6
languished,2
to-do,1
list,1
another,5
summary,1
initiative,6
decade,1
serious,1
attempt,3
strengthen,1
afforded,3
andor,1
movable,9
bill,23
life,1
department,14
internal,9
paper,5
scheduled,2
introduced,5
member,3
taonga,41
tau,3
henare,3
lengthy,2
select,1
committee,3
finally,1
concluded,1
bipartisan,1
basis,5
narrow,2
recommended,1
incorporated,1
broader,2
proposal,10
lost,3
seat,1
election,1
lapsed,1
second,7
term,3
labour,4
eventually,5
competing,1
involved,4
touch,1
core,1
society,4
therefore,2
going,1
controversial,1
major,8
political,4
party,9
loathe,1
grasp,1
particular,5
nettle,1
desire,1
make,5
sure,1
replacement,1
legislation,12
got,1
right,8
made,12
difficult,4
proliferation,1
overlapping,4
legislative,4
different,2
specifically,3
regulate,1
effectively,2
decision,6
focused,1
exclusively,2
neither,1
measure,4
dealt,2
albeit,1
seriously,2
outdated,1
fashion,1
draft,1
protecting,10
within,5
discussed,5
earlier,4
mauritius,3
november,4
jonathan,2
keate,5
published,2
important,6
reform,1
improve,2
failure,1
resolve,1
caused,1
lack,3
rather,14
departmental,1
restructuring,2
probably,3
contributed,2
implementing,2
function,1
restructure,1
large,2
administrative,6
smaller,1
developed,3
advised,2
proposed,2
free-standing,1
entity,3
focusing,1
umbrella,1
existing,3
clearer,1
coherent,1
system,2
idea,3
incoming,1
service,2
commission,1
fiscal,1
ground,2
stand-alone,1
resulted,2
portfolio,2
staff,3
moving,1
across,2
whereas,2
others,1
transferred,3
remained,2
administration,2
apparently,2
categorized,2
along,1
graf,1
monument,4
contemporary,1
enlarged,1
piecemeal,1
approach,5
reapportioning,1
meant,1
co-ordinating,1
role,2
traditional,6
responsibility,1
bound,1
increase,2
overhead,1
budget,1
loss,1
emphasis,6
decrease,1
spending,1
review,9
stagnated,1
attracted,1
criticism,7
comprehensive,2
overview,1
greater,2
adequate,1
funding,1
undoubtedly,1
work,6
moved,1
ahead,1
steadily,1
solid,1
foundation,1
created,2
future,3
evolving,1
alongside,1
successor,1
put,5
preservation,2
archaeological,17
site,20
promote,4
identification,1
conservation,1
regime,5
complemented,1
certain,1
adopting,1
passing,2
way,3
direct,1
adopt,3
text,16
schedule,10
force,6
indirect,1
method,3
giving,1
instrument,1
paraphrase,1
intention,1
requirement,2
halfway,1
english,7
inserted,2
restated,1
paraphrased,1
cross-reference,1
