word/phrase,value,class
printed,1
copyright,1
ardelia,116
hall,81
museum,46
fine,17
art,72
monument,27
woman,13
victoria,1
reed,1
ripley,8
served,8
adviser,6
department,40
state,42
role,6
oversaw,2
recovery,7
restitution,14
movable,2
cultural,28
property,10
displaced,3
second,4
world,14
war,37
spite,2
vast,2
accomplishment,2
almost,4
nothing,2
written,5
little,3
known,9
life,7
began,7
career,7
boston,16
personal,5
circumstance,2
led,4
resignation,1
employed,2
office,8
strategic,3
service,7
expertise,3
established,3
historian,4
working,11
robert,12
commission,21
time,12
appointment,3
essay,3
trace,2
first,4
remarkable,2
journey,2
curatorial,4
researcher,3
international,5
every,3
possible,3
mean,1
weighed,1
considered,2
view,2
devastation,1
modern,1
warfare,1
preserve,1
historic,11
artistic,3
heritage,3
mankind,1
held,3
admiration,1
affection,1
since,5
washington,17
conference,4
asset,5
push,1
uncover,1
utilize,1
archival,1
documentation,3
dealing,3
confiscation,1
theft,2
coercive,1
transfer,2
sadler,1
curator,7
provenance,1
email,3
earlier,6
version,1
presented,2
plunder,1
preservation,5
untold,1
story,1
pacific,4
lawyer,2
committee,15
annual,3
november,6
would,14
like,4
thank,1
julio,3
alves,3
frederick,1
ilchman,1
thomas,1
kline,1
marc,1
masurovsky,1
maureen,1
melton,1
assistance,1
preparing,1
extend,1
special,3
thanks,2
dick,3
west,8
anne,3
sharing,1
memory,1
nazi,8
occupation,1
europe,13
arguably,1
important,6
resource,3
united,11
work,37
national,12
archive,20
record,20
administration,7
college,6
park,2
maryland,1
house,1
collection,16
box,2
material,5
identification,2
return,24
looted,6
artwork,3
named,2
whose,3
paper,22
comprises,1
section,6
military,5
assisted,2
protection,12
program,5
colloquially,1
men,7
longoverdue,1
effort,5
made,6
recent,1
year,21
recognize,2
however,5
comparatively,1
affiliated,1
including,5
eve,2
tucker,4
edith,3
standen,3
particular,5
biography,1
given,6
left,1
behind,2
constitute,1
significant,1
body,2
actively,1
utilized,1
cited,1
today,4
examination,2
opportune,1
extraordinary,2
reason,1
path,2
erroneously,1
perceived,2
retrospect,2
preordained,1
example,2
destined,1
become,3
superb,1
public,5
servant,1
bold,1
move,1
government,9
fact,4
worked,5
surprising,1
background,1
trained,1
spent,3
massachusetts,4
era,2
fairly,1
traditional,1
say,3
unsuccessful,1
professional,2
trajectory,1
assistant,4
run,2
entirely,1
looked,2
forward,2
marrying,1
raising,1
family,4
someday,1
instead,1
ended,1
position,11
preeminence,1
unexpected,1
hindsight,1
appears,3
le,4
fortuitous,1
drawing,1
upon,1
housed,1
span,1
leading,2
descended,1
good,1
new,26
england,2
fashion,1
mayflower,2
pilgrim,1
born,2
weymouth,1
december,13
willard,2
francis,1
lura,2
sawin,1
maternal,1
grandmother,1
duxbury,2
died,2
grew,3
cohasset,1
parent,1
younger,1
sister,1
france,1
fannie,3
completed,1
education,1
northfield,2
seminary,1
mount,1
hermon,1
enrolled,1
smith,10
figure,2
census,5
list,5
mother,9
widow,1
though,3
unclear,1
passed,4
away,3
mr,4
maintained,5
summer,1
home,6
montague,6
western,1
yearbook,1
photograph,8
copyrighted,2
courtesy,2
later,7
pas,1
haven,3
winter,1
month,3
married,7
husband,1
connecticut,2
settled,1
jersey,1
contrast,1
remained,5
unmarried,1
support,2
employment,5
option,1
necessity,1
earning,3
master,2
degree,1
chinese,18
columbia,4
university,12
thesis,2
th-century,1
landscape,1
painter,1
hsia,2
kuei,2
taking,1
class,1
york,12
history,3
language,1
metropolitan,4
research,8
branch,2
full-time,1
june,9
moved,1
city,3
continued,2
occupy,1
called,2
asiatic,2
presently,1
asia,10
africa,1
oceania,1
hired,3
direction,1
john,6
ellerton,2
lodge,2
unsurprisingly,1
leadership,3
entrusted,1
exclusively,1
ardelias,8
responsibility,1
included,2
researching,2
cataloguing,3
permanent,1
japanese,8
kojiro,6
tomita,10
keeper,3
especially,3
busy,1
hundred,2
object,16
added,3
calendar,1
also,9
saw,1
thousand,1
visitor,2
alone,1
always,2
several,3
brought,3
staff,5
throughout,1
intense,1
schedule,1
prolific,1
scholar,6
publishing,1
article,4
bulletin,12
area,15
specialty,3
peer-reviewed,1
journal,3
gave,3
frequent,1
talk,3
lecture,3
daily,1
workflow,1
constant,1
nevertheless,3
number,2
personnel,3
change,2
retired,2
promoted,2
assuming,1
ananda,1
coomaraswamy,4
indian,2
persian,3
muhammadan,2
fellow,2
became,6
immediate,1
supervisor,2
director,8
edward,1
jackson,1
holmes,1
resigned,2
president,1
george,5
harold,3
edgell,7
painting,2
mid-s,1
already,3
different,3
head,1
initial,2
duty,2
perform,1
shifted,1
reporting,1
renowned,1
india,3
frustrated,1
structure,1
struggling,1
financially,1
january,8
wrote,14
colleague,6
mortimer,2
graf,2
could,6
stay,2
longer,2
small,1
salary,2
pay,1
full,5
upkeep,1
cared,1
received,3
actually,1
hold,2
lower,1
rank,1
lowest,1
round,1
ladder,1
half,1
picture,1
show,2
think,2
steadily,1
load,1
carry,1
catalogue,1
four,1
ago,1
dr,3
relieved,1
departmental,1
devote,1
care,2
installation,1
gallery,6
etc,1
fell,1
lot,1
great,1
regret,1
opportunity,3
except,1
outside,1
quite,2
obvious,1
extension,1
well,9
financial,2
need,3
attention,2
last,2
march,5
without,3
result,3
splendid,1
concluded,1
must,1
seriously,1
look,1
elsewhere,1
another,4
dissatisfaction,2
age,2
announced,2
resigning,1
resign,1
unusual,1
particularly,2
middle-,1
upper-class,1
america,9
generally,2
many,4
stopped,1
wife,1
impending,1
marriage,4
leave,3
perhaps,2
field,2
october,9
september,5
wedding,7
indefinitely,1
postponed,1
shall,2
settle,1
rest,2
vacation,1
correspondence,8
skirt,1
issue,1
broken,1
engagement,2
bound,1
deeply,2
painful,1
autumn,1
notified,1
friend,4
changed,1
detail,1
committed,1
response,2
elusive,1
one,6
cryptic,1
letter,6
fall,2
account,2
lady,2
seems,2
confirm,1
suspicion,1
bad,1
thing,4
often,1
spoiled,1
third,1
party,1
myron,5
bement,5
iranian,1
dear,1
counseled,1
greater,3
length,1
sympathy,1
went,1
mother-domination,2
escaped,2
announcing,1
girl,1
never,3
met,3
hand,1
treated,2
shamefully,1
youth,1
discretion,1
knew,2
mind,1
asked,2
child,4
problem,3
solved,1
proposed,1
propose,1
way,3
despite,1
marry,1
make,3
settlement,4
breach,1
promise,1
hope,2
let,2
prissyness,1
prevent,1
getting,1
fair,1
done,2
know,2
naturally,2
advertised,1
still,4
love,1
believe,1
mental,1
disease,1
greatest,3
difficulty,2
much,3
agony,1
observed,1
brother,1
help,5
east,14
soon,2
glad,1
go,2
idaho,3
see,10
unexplained,1
engaged,1
wealthy,1
man,1
name,5
dewey,2
brown,5
certainly,2
short,1
dewitt,2
clinton,2
emmett,2
previous,1
take,3
place,3
guest,2
day,4
ceremony,2
instigation,1
prenuptial,1
agreement,1
sign,1
stating,1
evidently,2
want,1
wealth,1
diverted,1
future,2
offspring,1
choice,2
childless,1
chose,1
latter,1
walked,1
south,2
parlor,1
happened,1
extent,3
touch,1
cancelled,1
needed,3
find,2
job,5
sought,1
get,2
back,2
blow,1
struck,1
force,1
bombed,1
pearl,2
