word/phrase,value,class
false,1
closure,1
known,7
unknown,3
repatriated,12
antiquity,88
case,49
christos,4
tsirogiannis*,1
based,8
research,6
confiscated,18
photographic,7
document,2
archive,39
hand,3
top,1
dealer,35
robin,13
michaelides,5
robert,9
hecht,57
giacomo,4
medici,55
gianfranco,1
becchina,1
far,6
looted,33
smuggled,6
masterpiece,5
reputable,2
north,3
american,10
museum,62
private,14
collection,34
gallery,7
mainly,1
italian,84
greek,28
state,18
repatriation,21
advertised,1
press,1
voluntary,1
action,3
institution,2
individual,1
possessed,2
however,22
true,4
result,5
lengthy,3
negotiation,23
presentation,1
evidence,30
alternated,1
diplomatic,1
tactic,1
legal,10
threat,1
order,4
two,27
party,1
three,14
reach,1
agreement,13
among,10
much-celebrated,1
least,6
require,3
regarding,21
owner,6
aim,2
analyze,1
set,2
new,20
question,4
end,4
doubt,2
finally,2
received,5
necessarily,1
one,19
analysis,2
highlight,1
alternative,3
path,3
discovery,6
truth,2
might,9
effective,1
followed,1
argues,1
quite,1
possible,12
delivered,8
italy,63
last,1
decade,1
collector,9
respectively,3
field,1
archaeologist,9
cambridge,5
archaeological,4
unit,1
department,2
archaeology,2
university,4
united,2
kingdom,1
email,1
author,2
acknowledges,1
support,4
european,3
council,1
union,1
seventh,1
framework,1
programme,1
grant,1
printed,1
fact,16
country,12
present,1
available,2
information,11
related,1
collecting,18
history,18
marble,8
statue,72
vibia,27
sabina,28
boston,20
fine,8
art,24
krater,117
euphronios,43
shelby,10
white,41
since,12
member,2
team,7
representing,2
side,2
signed,5
confidentiality,3
know,7
detail,4
discussion,2
time,20
still,5
argument,2
add,1
unpublished,6
source,3
compare,2
kore,26
archaic,4
woman,1
returned,17
greece,15
basis,6
roman,7
likewise,3
prove,4
refer,1
given,2
museumcollector,1
rather,6
demonstrated,1
lack,2
proof,25
soil,8
object,45
also,11
briefly,1
considers,1
nonetheless,1
sent,4
character,1
involved,5
focus,2
well,2
historical,1
circumstance,2
behind,1
return,8
first,13
major,2
player,1
authority,23
obtained,2
sarcophagus,1
stolen,4
medieval,1
tower,1
consigned,1
auction,4
