word/phrase,value,class
international,14
journal,7
heritage,20
study,2
print,1
online,2
homepage,1
tourism,77
management,9
cultural,43
resource,15
pay,30
dogon,112
mali,46
myra,8
shackley,14
cite,1
link,2
published,2
apr,1
submit,1
view,4
citing,2
article,2
full,2
term,1
condition,3
access,8
use,1
found,1
abstract,1
designated,1
joint,1
world,16
site,6
leading,2
tourist,37
attraction,4
receiving,2
visitor,40
per,4
year,18
annual,4
growth,6
may,10
increase,2
new,11
road,2
constructed,1
major,7
source,4
income,9
lived,1
picturesque,2
village,19
clinging,1
side,2
cliff,3
bandiagara,13
escarpment,11
since,17
th,12
century,12
best,4
known,5
european,8
masked,9
dance,19
powerful,4
woodcarving,5
much,7
prized,1
collector,4
loss,3
property,8
illicit,7
trading,3
combined,2
alteration,3
traditional,8
preference,3
contributing,1
change,5
within,5
community,3
harmony,2
cohesion,2
enabled,2
resist,1
colonial,3
power,2
threatened,2
set,2
historical,2
construct,2
priority,2
indicating,1
culture,29
fragile,2
confronted,2
keywords,1
west,13
africa,18
art,25
theft,6
desert,2
country,11
edge,1
sahel,4
area,9
million,4
sq,1
km,3
population,3
around,11
composed,1
eight,2
ethnic,5
group,10
dominated,2
bambara,1
fulani,1
lesser,1
number,8
marka,1
songhai,1
malinke,1
senoufo,1
tuareg,1
one,6
smallest,1
figure,13
helped,2
development,6
industry,2
however,10
illegal,2
sale,9
artwork,7
ritual,8
attrition,2
mythology,2
imperilled,1
survival,2
aspect,2
product,4
entirely,1
geared,2
towards,2
focused,2
ancient,5
timbuktu,6
djenne,4
combine,2
experience,3
temporary,1
element,2
well,14
opportunity,5
buy,2
permanent,1
fragment,1
indisputably,1
opening,1
sometimes,4
acted,1
catalyst,1
escalation,2
antiquity,18
sold,2
dealer,10
facilitating,1
remote,1
allows,2
see,5
previously,1
unknown,2
material,9
establish,2
relation,2
local,9
people,11
authentic,3
antique,3
treated,2
non-renewable,1
worthy,1
investment,1
relative,2
commodity,3
value,2
informed,1
politics,1
connoisseurship,1
land,3
lo,2
first,6
month,3
vol,10
nol,1
pp-,13
revisited,1
next,2
room,1
inn,2
annals,3
research,4
kaiser,1
dealing,1
dollar,1
market,12
field,1
archaeology,4
intellect,1
ltd,1
eco,1
fake,4
forgery,2
pp,2
limit,1
interpretation,1
bloomington,1
indiana,1
university,5
press,6
jones,1
ed,6
deception,2
berkeley,1
california,1
lyndel,1
legislative,1
measure,1
national,5
regulation,2
fight,1
traffic,4
paris,4
feasibility,1
code,1
ethic,2
purpose,2
effective,2
control,3
report,3
unesco,1
messenger,1
collecting,3
whose,4
albuquerque,1
mexico,1
organisation,6
yearbook,1
statistic,1
madrid,2
edition,2
trend,2
step,1
followed,3
already-excavated,1
artefact,9
robbing,1
archaeological,5
process,2
work,11
stage,1
namely,1
manufacture,1
supply,3
original,8
decrease,1
although,10
elsewhere,2
heavily,1
implicated,1
selling,6
replication,1
also,7
positive,2
effect,7
stimulating,2
production,1
using,1
motifs-,1
large,3
scale,2
relatively,6
recent,2
phenomenon,2
systematically,1
removed,1
scholar,1
trade,4
souvenir,4
legitimised,1
fact,1
institution,2
thing,1
individual,4
traveller,2
far,2
larger,1
convention,1
prevent,2
export,3
problem,5
legislation,2
alone,1
cannot,1
address,1
receives,1
small,10
proportion,2
arrival,9
remains,1
unimportant,1
continent,1
compared,2
fast,1
south,1
global,2
indicate,1
overall,1
annum,1
grown,3
nearly,1
twice,1
volume,1
share,2
african,9
actually,1
declined,1
receipt,1
remained,2
stable,2
table,3
principal,1
destination,4
ghana,3
cote,3
dlvoire,3
nigeria,2
senegal,3
comprise,1
total,1
fastest,1
seen,2
benin,2
neighbouring,1
primarily,2
motivated,3
business,1
political,3
administrative,1
reason,3
visiting,2
friend,1
numerically,1
insignificant,1
cross-border,1
activity,4
represent,2
biggest,1
revenue,1
unpopularity,1
include,5
lack,2
either,1
modern,3
infrastructure,2
observable,1
wildlife,3
notable,1
gambia,2
overcome,1
developed,5
winter,3
sun,1
leisure,2
attracted,1
contemporary,3
rather,5
variety,2
landscape,1
pattern,2
closely,1
related,3
history,4
togo,2
especially,6
attractive,1
example,3
french,5
low,4
niger,5
burkina,2
faso,2
handicapped,1
potential,1
many,11
hotel,2
foreign-owned,1
subsequent,2
economic,2
leakage,1
surface,1
transport,3
need,3
agriculture,3
tour,3
company,3
turn,1
negative,2
advantage,2
promoting,1
region,2
unspoilt,1
encounter,1
genuine,2
interact,1
despite,3
bright,1
handicraft,1
music,2
folklore,1
among,5
least,2
travelled,1
future,1
hampered,1
connectivity,1
unrest,1
increasing,1
fear,1
map,1
london,5
routledge,2
city,1
islamic,3
majority,1
interest,8
resulted,1
something,2
milk,1
round,2
excursion,1
former,1
two,4
prosperous,1
cultured,1
mediaeval,1
wealth,1
based,4
position,1
node,1
gold,1
salt,1
caravan,1
route,2
indeed,1
famous,1
centre,3
entire,1
muslim,1
today,5
dusty,1
mess,1
brick,2
building,2
dependent,1
upon,1
long,4
series,3
empire,2
grew,1
collapsed,1
terminated,1
invasion,1
north,2
breaking,1
monopoly,1
maritime,1
capital,1
niani,1
height,1
fabulously,1
wealthy,1
emperor,1
mansa,1
musa,1
early,4
end,1
became,3
colony,1
achieving,1
independence,2
period,3
mismanagement,1
ruled,1
military,1
regime,1
suffered,1
badly,1
drought,6
turned,1
enormous,1
marginal,1
grazing,1
massive,1
crop,2
livestock,1
recurred,1
longstanding,1
producing,1
desperate,1
poverty,3
led,1
image-improver,1
foreign,2
currency,1
earner,1
average,4
estimated,2
cost,3
night,1
accommodation,3
bamako,4
learning,1
meagre,1
even,6
halved,1
last,4
three,3
due,1
mainly,2
perceived,2
instability,1
received,3
approximately,1
slight,1
improvement,2
previous,1
unlikely,1
unless,2
issue,1
safety,1
education,1
training,1
addressed,1
cape,1
verde,1
guinea,1
sierra,1
leone,1
worth,2
constant,1
dropped,1
contributes,1
visit,5
reflection,1
high,8
together,3
nature,2
implication,1
indicates,3
likely,2
disposable,2
represents,1
commercial,2
service,3
included,1
america,2
east,2
asia,1
pacific,1
europe,2
five,3
witnessed,1
steady,1
level,2
efficiency,1
bureaucracy,1
considerably,2
le,3
intimidating,1
ruthlessly,1
organised,3
sinister-sounding,1
societe,1
malienne,1
de,3
touristiques,1
state,1
owned,1
abolition,1
card,1
photography,2
permit,3
stringent,1
visa,1
requirement,1
frequent,1
police,2
check,1
act,2
barrier,1
probably,1
interesting,1
diverse,1
certainly,2
outsider,1
live,2
imposing,1
mopti,3
dramatic,2
feature,2
run,2
roughly,1
parallel,1
river,3
shelter,2
appear,1
cling,1
sheer,1
-m,1
dutch,1
initially,1
occupied,1
toloy,1
rd,1
tellem,10
griaule,3
masque,1
vogons,1
institut,1
ethnologie,1
reach,2
explorer,2
used,4
cave,3
granary,5
burial,2
practice,3
continued,2
arrived,1
completed,1
eviction,1
german,1
heinrich,1
barth,1
en,1
kilometre,2
till,1
later,1
anthropologist,3
contact,4
established,2
greatly,1
resented,1
defeated,1
army,1
battle,1
skirmish,1
eventual,1
subjugation,1
remain,3
fiercely,1
independent,1
retaining,1
calendar,1
five-day,1
week,1
language,4
often,5
regarded,2
inhabitant,1
justification,1
separate,1
rest,1
consist,1
maze,1
sandy,1
coloured,1
stone,2
house,7
flat,1
roof,3
merge,1
imperceptibly,1
punctuated,1
cone-shaped,1
thatched,1
square,1
tower,1
divided,1
winding,1
lane,1
closed,1
carved,3
wooden,4
door,3
protected,1
complex,5
lock,2
item,1
prominently,1
make,3
precarious,1
living,6
subsistence,1
growing,1
millet,1
rice,1
sorghum,1
tiny,1
plot,2
poor,1
arid,1
soil,1
landholding,2
onion,1
cash,3
making,3
understandable,1
life,4
cosmological,1
significance,1
family,3
laid,1
shape,2
human,2
body,1
contains,1
togu,1
men,5
supported,1
representing,1
ancestor,1
deliberately,1
defaced,1
strong,2
association,2
death,1
spirit,2
statue,3
stool,1
carrying,1
symbolic,1
meaning,3
design,1
western,2
interested,1
following,1
pioneering,1
ethnographer,1
marcel,1
studied,1
society,5
partly,2
geographical,1
isolation,1
fierce,1
dogbn,1
retained,1
old,4
belief,2
longer,2
animist,2
beginning,1
result,4
incoming,1
demonstration,1
custom,1
imported,2
returning,2
migrant,4
worker,2
equal,2
outside,2
speak,1
villager,2
cultura,4
laude,1
york,1
viking,1
huet,1
collins,1
monastic,1
festival,7
himalaya,1
robinson,1
evans,1
callaghan,1
newcastle,1
northumbrla,1
bound,1
network,3
lineage,1
head,1
clan,1
matrix,1
blacksmith,1
kinship,1
particularly,2
unique,2
sought,1
offer,2
huge,1
price,7
grave,1
good,3
statuette,2
robbed,2
saleable,1
carving,2
diminishes,1
seem,2
feel,2
perfectly,1
legitimate,3
sell,2
quite,3
happy,1
come,2
mortuary,1
vertical,1
collusion,1
required,1
headrest,1
oldest,1
sub-saharan,1
finger,1
bell,1
ceramic,1
pot,1
part,5
musical,1
instrument,1
command,2
irreplaceable,1
finer,1
piece,6
already,3
gone,2
craftsman,1
churning,1
replica,4
impossible,1
find,2
extant,1
transition,1
reputedly,1
still,2
available,3
fabulous,1
current,1
location,1
course,1
generally,3
held,3
various,1
interval,1
accompany,1
sigui,1
every,3
dama,1
harvest,1
abbreviated,1
version,2
kind,1
providing,4
beer,2
troupe,1
loosely,1
greater,1
floor,1
time,8
given,1
elaborate,3
mask,9
choreography,1
true,1
blurred,1
younger,2
dancer,3
usually,3
hogons,1
medicine,1
accurate,1
deep,1
knowledge,1
performance,5
begun,1
motivator,1
travel,6
timing,1
coincide,1
june,1
planting,1
season,2
difficult,2
occur,1
easily,1
determined,1
date,2
occasionally,1
abandoned,1
altogether,1
disappointed,1
therefore,2
reduced,1
