word/phrase,value,class
international,4
journal,5
heritage,48
study,3
print,1
online,2
homepage,1
development,13
core,41
concept,32
yield,84
management,112
anna,10
leask,24
ian,10
yeoman,25
cite,1
link,1
published,3
apr,1
submit,1
view,2
citing,2
article,2
full,2
term,11
condition,2
access,10
use,6
found,2
key,2
word,1
revenue,52
capacity,33
conservation,21
pricing,35
kimes,9
man,1
agement,1
overview,1
strategy,3
service,9
industry,23
ed,5
ingold,10
london,7
cassell,2
principle,28
visitor,107
attraction,80
rd,1
annual,6
conference,3
university,3
ulster,1
sept,1
abstract,1
offer,6
operation,20
manager,29
decision,25
support,10
framework,5
examining,1
variable,6
integrate,2
characteristic,14
experience,15
drawn,4
hotel,30
airline,31
demonstrate,2
problem,6
fixed,15
managed,6
sector,21
paper,6
compare,3
suggesting,1
could,3
adopt,4
serve,2
broader,3
objective,13
profit,6
maximisation,4
financial,2
pressure,2
encouraging,1
devise,2
imaginative,2
new,9
way,8
managing,9
site,22
ten,8
suggested,4
appropriate,8
used,3
evaluate,2
historic,26
scotland,40
national,15
trust,12
approach,15
scottish,19
tourist,14
board,6
enterprise,4
operator,8
working,3
together,2
develop,3
number,15
improve,3
particularly,3
planning,3
stage,1
generation,10
one,7
defined,3
method,5
help,2
firm,4
sell,3
right,8
inventory,8
unit,7
type,3
customer,8
time,11
price,42
maximise,5
attempt,2
apply,1
particular,5
property,38
owned,3
research,9
try,2
identify,2
identified,4
previous,2
assist,7
future,3
plan,4
aid,1
make,6
relationship,8
focus,29
built,4
charge,26
admission,25
selected,3
available,8
information,17
free,11
hold,1
little,3
spend,11
resource,8
need,16
collect,1
similarly,2
natural,4
rarely,3
gather,1
statistic,1
due,7
nature,5
product,22
area,4
would,7
useful,1
perishable,5
constraint,4
add,1
difficulty,4
demand,44
argued,1
may,14
provide,7
forward,1
intellect,1
ltd,1
profile,6
dominated,1
supply,9
strategic,2
list,1
wide,2
range,10
strength,1
tourism,16
public,10
museum,12
gallery,6
castle,11
crucial,1
part,4
whole,1
base,3
local,6
resident,3
alike,1
many,19
definition,4
general,4
acceptance,1
stated,2
british,4
authority,6
permanently,1
established,1
excursion,1
destination,5
primary,7
purpose,8
allow,4
entertainment,2
interest,3
education,5
rather,13
retail,7
outlet,2
venue,1
sporting,1
theatrical,1
film,1
performance,3
must,6
open,3
without,2
prior,1
booking,3
period,10
year,4
capable,1
attracting,1
day,9
well,2
determining,4
specifically,3
author,4
using,7
following,6
categorisation,1
edinburgh,13
visit,8
leask&,1
ing,2
robinson,1
et,2
al,2
cultural,1
centre,7
travel,4
sightseeing,1
ibid,8
tourismadapted,1
special,1
scientific,1
historical,7
based,13
interpretation,13
country,3
park,2
historically,2
housesstately,1
home,2
garden,2
attached,1
house,2
industrial,2
theme,4
