word/phrase,value,class
climate,160
change,166
world,144
heritage,139
convention,96
respond,5
greg,2
terrill,10
september,1
taylor,2
francis,2
print-,1
online,1
original,1
considering,2
best,9
impact,45
pose,2
number,9
challenge,16
aside,1
complexity,2
accustomed,1
addressing,4
broad,1
interdisciplinary,1
matter,6
beyond,9
historically,1
strong,3
link,5
outside,4
relatively,8
resource,11
result,4
escalating,1
whereas,1
based,3
upon,16
presumption,1
relative,2
stability,1
manageable,1
responding,5
longer,3
term,9
require,4
clear,6
definition,3
role,11
area,15
new,4
type,5
expertise,12
within,12
process,30
review,1
issue,29
chart,1
forward,1
path,2
august,2
europe,2
experienced,2
massive,1
flooding,1
people,5
died,1
thousand,2
displaced,1
damage,2
cost,2
billion,2
perhaps,8
dozen,1
site,51
affected,3
re-insurer,1
considers,1
one,16
larger,1
insurance,1
event,5
whether,4
caused,1
particular,9
disaster,1
attribution,1
specific,7
possible,4
projection,4
indicate,1
increase,3
frequency,1
extreme,1
weather,1
cultural,7
natural,9
increasingly,2
negative,1
many,17
need,19
active,5
management,9
canberra,1
correspondence,1
view,2
author,3
alone,4
way,6
taken,3
related,3
australian,1
government,10
focus,6
facing,2
international,38
institutional,2
level,22
analysis,3
political,4
science,13
affair,1
site-level,1
reason,4
twofold,1
firstly,1
subject,2
recent,4
debate,2
secondly,1
amid,1
wealth,2
information,12
little,7
literature,9
two,10
might,9
interact,2
adopted,4
near,1
universal,9
membership,2
treaty,2
managed,1
successfully,1
create,1
order,1
value,11
prior,1
existence,1
exist,3
highly,1
sought-after,1
designation,4
bring,4
material,1
reward,1
uncommon,1
read,1
concern,5
lead,2
place,19
loved,1
death,1
supreme,1
governing,2
body,12
general,9
assembly,3
meet,3
biennial,1
session,1
conference,3
decision,13
made,5
annual,4
meeting,14
-member,1
committee,9
generally,6
attract,1
participant,6
mainly,1
governmental,1
non-governmental,4
expert,5
aim,1
achieve,3
preservation,2
transmission,2
future,6
generation,2
several,5
basic,1
tool,9
decides,1
list,17
outstanding,7
explored,1
elaborated,5
case,6
law,4
advisory,2
provide,4
independent,1
advice,2
help,6
evaluate,3
monitor,1
danger,12
record,2
threatened,1
serious,1
threat,20
may,18
receive,1
assistance,2
fund,6
distributes,1
around,2
million,1
annually,1
amount,2
could,12
readily,4
spent,2
time,10
also,16
deleted,1
provision,1
operational,3
guideline,4
detail,3
regular,2
periodic,1
reporting,3
