word/phrase,value,class
international,19
journal,18
heritage,128
study,22
print,1
online,6
homepage,1
social,39
production,20
cross‐media,2
interaction,41
making,4
place,44
place‐making,2
elisa,4
giaccardi,19
leysia,4
palen,12
cite,1
link,3
published,1
apr,1
submit,1
view,3
citing,2
article,2
full,1
term,1
condition,3
access,2
use,3
found,1
vol,1
may,4
pp,1
cross-media,35
place-making,8
taylor,3
francis,3
print-,1
original,1
living,8
relationship,10
intangible,13
tangible,12
form,14
well,4
natural,34
cultural,29
situated,4
one,8
always,3
information,11
communication,7
technology,17
opening,3
new,32
way,12
experiencing,2
thinking,4
allowing,3
combining,4
different,13
medium,14
support,16
creates,2
infrastructure,35
act,2
lasting,2
value,15
service,2
practice,28
keywords,1
community,47
participation,15
introduction,2
understanding,4
preservation,4
essential,1
element,3
human,7
strive,1
understand,1
past,8
explain,1
capture,3
lived,2
experience,36
leave,1
legacy,1
future,5
artefact,5
archaeological,1
historical,2
site,7
increasingly,2
evidence,1
environment,14
work,6
us,1
multiple,6
socio-technical,5
enable,3
novel,1
local,11
authentic,3
setting,14
university,11
colorado,11
boulder,14
correspondence,2
coloradoedu,1
encountered,4
paper,2
aim,2
show,1
example,15
brought,4
bear,2
encounter,6
socially,1
produced,4
meaning,14
ascribes,1
also,9
provide,3
initial,2
set,2
principle,5
designer,4
practitioner,3
help,2
realise,2
objective,4
contribute,3
perspective,8
envision,2
tap,1
malpas,4
existential,1
ground,4
enduring,2
relation,4
physical,11
shape,1
define,1
sense,18
belonging,2
identity,3
culture,10
technical,10
allow,4
open,2
exploring,1
articulating,1
thereby,1
enabling,3
locus,1
matrix,1
significance,1
arise,1
challenged,1
contemporary,3
emerging,3
question,1
boundary,2
urge,1
adoption,1
classification,1
policy,1
approach,2
object,8
represent,3
multifaceted,1
reality,4
aspect,2
physicality,2
interpretation,23
ascribed,1
combine,2
produce,1
evolve,2
facilitate,1
creative,2
among,1
component,1
give,5
function,1
degree,1
importance,5
according,5
nature,3
represented,2
complex,1
opportunity,1
need,5
argue,1
change,4
accelerating,1
requiring,1
develop,2
design,11
capable,2
holistically,1
integrating,1
resource,5
collection,6
building,3
etc,1
become,6
recognized,1
express,3
society,1
understood,3
interpreted,1
emphasis,4
added,3
demonstrated,1
recent,2
however,6
rhetoric,1
often,3
situates,1
contrast,1
life,4
thus,2
missing,1
connection,14
present,6
ultimately,2
commitment,5
supported,4
anthropology,2
geography,2
katos,1
case,4
shirakami-sanchi,2
world,4
area,2
demonstrates,1
conservation,5
critical,8
sustainability,2
formed,1
long,1
settens,1
finding,2
norwegian,1
jæren,1
landscape,6
similar,3
farmer,2
inhabit,1
setten,3
writes,1
measured,1
family,7
member,19
practiced,1
within,4
situation,1
personal,18
yet,3
private,1
public,10
reinforce,2
sustaining,2
whole,2
repertoire,3
embedded,3
knowledge,4
responsible,2
creation,1
renewal,2
fundamentally,1
process,7
computing,5
becomes,3
pervasive,3
digital,8
network,1
extend,1
surroundings,1
engage,4
people,17
pertain,2
specific,3
bringing,3
strengthening,1
therefore,1
sustainable,2
mean,4
creating,5
space,24
engagement,5
collaboration,6
matter,2
discussion,2
wright,3
proposed,1
dialogical,1
promoting,3
sensory,1
affective,3
transformed,1
thought,1
story,12
top,1
mountain,2
chat,1
room,1
significant,1
structure,4
discourse,1
meaningful,2
heartfelt,1
encultured,1
longer,1
idea,1
spatiality,1
draw,1
attention,4
maintaining,2
computational,3
non-computational,1
ubiquitous,3
dourish,11
explains,1
technological,2
mediation,1
emergence,3
distinct,1
sphere,1
everyday,3
reflecting,1
conditioning,1
environmental,9
knowing,5
applied,1
concern,3
make,4
feel,2
home,2
museum,22
level,1
personhood,1
improve,1
visitor,5
little,1
done,1
even,3
recover,1
conversation,4
parkes,3
thrift,3
chronogeographic,2
shaped,1
number,3
agency,1
order,2
perceived,2
remembered,1
expected,1
event,3
articulate,1
sustain,4
time,15
perception,3
expectation,5
powerful,2
take,1
active,5
role,8
construction,8
collaborative,4
collective,11
storytelling,9
play,4
supporting,3
narrative,6
mode,2
promote,2
engaging,4
sufficient,1
cannot,2
account,9
alone,2
though,1
redefining,1
diverse,1
actively,1
vital,1
step,2
tensional,2
remember,2
perceive,2
imagine,3
learning,2
early,2
instance,1
virtual,5
memory,11
lombardia,3
italian,2
project,9
initiated,2
publishing,1
house,1
sonar,1
based,5
comprising,1
website,9
radio,9
transmission,1
goal,4
preserve,4
northern,1
region,1
achieve,1
collect,3
publicly,2
accessible,1
photographic,3
picture,11
correlated,1
scattered,1
archive,2
regional,1
territory,2
unknown,1
relentlessly,1
subject,1
loss,1
leveraging,1
image,5
related,1
actual,2
comprises,1
see,12
figure,20
document,3
collected,3
embody,1
brings,2
alive,2
transforms,1
audience,1
main,1
actor,1
photograph,2
end,1
used,1
forum,1
encourages,5
stimulates,1
tell,1
listen,1
others,9
connect,6
tale,1
together,3
property,2
legibility,1
web,11
photo,6
album,4
legitimacy,2
voice,5
power,1
particular,2
exposure,1
warm,2
important,7
encouraging,2
involvement,1
emotion,1
fundamental,1
cue,1
inspire,1
unpredictably,1
surprisingly,1
rich,2
detail,1
exploiting,1
courtesy,3
inspires,1
spontaneous,1
identifiable,1
success,1
measurably,1
includes,1
span,1
four,1
year,4
broadcast,1
illustrates,1
fostering,2
provides,3
imagination,5
silence,7
land,16
enables,3
sharing,4
sonic,5
sound,41
launch,1
july,2
december,1
encourage,4
engaged,3
listening,5
ultimate,1
foster,1
awareness,1
eventually,2
management,1
belief,1
preserved,1
fact,1
cultivates,2
stakeholder,4
consider,1
inform,2
action,3
shared,5
unfolds,1
build,2
upon,2
locative,3
affording,1
data,12
catching,3
ie,4
capturing,3
annotation,1
mapping,5
soundscape,15
ideal,7
ambient,1
participant,13
record,1
using,5
recording,5
device,1
camera,12
outfitted,1
software,2
allows,3
recorded,3
associated,3
owner,1
placed,1
map,1
description,3
interactive,14
geographic,1
position,1
entered,1
automatically,1
application,2
able,3
larry,1
add,1
heard,1
indicate,1
colour,1
whether,1
liked,1
disliked,1
comment,2
playing,3
table,8
encouraged,4
annotate,1
interpret,1
collaboratively,4
create,3
would,4
like,4
live,2
prototype,2
history,3
factor,2
viability,1
extended,1
period,1
although,1
built-in,1
integral,1
part,2
sustained,2
made,2
possible,2
permanent,1
organised,1
long-term,1
partnership,2
willing,2
explore,2
potential,1
impact,1
pattern,2
simultaneously,1
development,3
began,1
evolved,1
outreach,2
programme,7
called,2
soundscapes,5
summer,1
city,4
park,1
water,1
quality,3
department,1
contextualised,1
hike,2
first,2
enrolled,2
group,4
representative,1
age,3
population,2
professional,1
background,1
september,3
soundwalks,2
workshop,1
six,1
week,1
collecting,2
pilot,2
successful,2
providing,1
useful,3
feedback,1
evaluation,4
requesting,1
continuation,1
entire,1
another,3
launched,1
spring,1
sponsored,1
interpretive,2
activity,7
funded,1
committee,1
brescia,1
italy,1
plymouth,1
institute,1
art,4
connects,1
transfer,1
migrate,1
back,1
forth,1
across,3
satellite,2
wireless,2
server,2
flow,6
designed,4
nurture,1
remixing,1
perceptual,2
imaginative,1
reflective,4
filter,2
encultered,1
intention,1
projection,1
towards,5
captured,1
linked,1
person,1
determining,1
location,2
categorised,3
direct,2
transferred,1
database,1
available,2
describe,1
compose,1
outcome,1
individual,1
recall,1
superimpose,1
resulting,2
starting,1
point,4
construct,1
gathered,1
around,2
reinterpret,1
existing,1
representation,7
integrated,1
evolves,2
imaginatively,2
cycle,1
unique,2
provided,2
keystone,1
eg,6
decision,1
annotating,2
stimulate,2
reflection,2
turn,1
subsequent,1
harnessing,3
barrier,1
spatial,5
distance,7
far,1
away,1
temporal,3
conceptual,1
artifact,2
layered,1
circuit,1
result,6
constructed,1
bit,2
migrates,1
illustrate,2
deeper,1
dimension,3
linking,1
must,7
constructive,1
connecting,1
considering,1
insight,1
lead,1
naming,1
interpreting,1
legitimates,1
promotes,1
literacy,1
ownership,6
thing,3
rarely,1
ever,1
single,1
fixed,1
unchanging,1
something,1
obvious,1
stone,2
marker,1
piece,2
sculpture,1
depending,1
say,1
think,1
furthermore,1
happens,1
evolving,1
distant,1
built,1
tends,1
dominant,1
topic,1
naturally,1
projected,1
explained,1
foreground,1
aid,1
ability,1
realising,1
major,1
challenge,2
activating,2
address,2
key,1
keeping,1
various,1
last,1
section,1
extract,1
analysis,1
necessary,1
regulate,1
sensibly,1
synergetic,1
facilitated,1
promoted,1
narrated,1
elicit,1
motivate,1
share,2
exhibit,5
likewise,1
material,1
topological,2
affordances,2
emotional,1
profound,1
re-enact,1
similarly,2
told,2
strong,1
trigger,1
persistence,2
practised,2
belongs,1
appropriated,1
tangibility,1
felt,2
connected,2
sort,1
appendix,1
went,1
night,1
sat,1
listened,1
intense,1
duet,1
insect,1
hum,1
wished,1
leaving,1
enjoyed,3
might,3
attended,1
otherwise,1
trail,1
walked,1
pace,1
trajectory,1
entry,2
pacing,1
accessing,1
suitable,1
migrating,1
contributor,3
needed,1
desired,1
crucial,1
older,1
generation,3
many,1
seemed,1
prefer,1
reading,1
browse,1
mechanism,2
transforming,1
requires,2
word,1
audio,1
shed,1
light,1
mapped,2
visualisation,1
legitimise,1
seemingly,1
minor,1
chance,1
unexpected,2
status,1
headquarters,1
frequently,1
expressed,1
surprise,1
pleasure,1
context,2
expect,1
dad,1
village,1
band,1
could,1
interesting,1
discover,1
locate,1
spot,1
habitat,1
thanks,1
interact,2
unfolding,1
factually,1
annotated,2
retaining,1
reinforcing,1
maintain,2
association,1
belong,1
owning,1
harness,1
developed,1
stronger,1
commented,2
im,2
interested,2
recognize,1
bird,1
call,1
attentive,1
whereas,1
mostly,1
got,1
lost,1
mind,1
walking,1
said,1
learned,1
took,1
granted,1
activate,1
synergy,2
documented,1
learn,1
established,1
young,1
digitally,1
expert,1
elderly,1
attracted,1
possibility,1
participating,2
musician,2
appreciation,1
appealing,1
human-caused,1
hiker,1
humming,1
passing,1
chatting,1
kid,1
laughing,1
research,3
described,1
motivated,1
desire,1
central,1
issue,5
museology,1
researcher,1
envisioning,1
guided,1
exchange,1
bulk,1
revolved,1
enriching,1
curated,1
le,1
focus,1
shifting,1
least,1
crossmedia,1
innovation,1
coming,1
fore,1
course,1
challenging,1
additional,1
core,1
presented,1
including,1
ecological,2
system,3
continuous,1
innovatively,1
leverage,1
believe,1
supplement,1
community-based,1
pursuit,1
mediating,1
cultivation,1
move,1
beyond,1
limited,1
object-augmentation,1
note,1
kalay,3
et,4
al,4
munjeri,3
lowenthal,2
davis,2
museologies,2
ecomuseum,2
benedetti,2
virtuality,2
enterprise,2
archeological,2
plumwood,3
rodman,2
empowering,2
schech,2
haggis,2
farming,2
kato,2
metacultural,2
re-space-ing,4
erickson,2
interface,2
interplace,2
harrison,2
re-place-ing,1
bell,2
brewer,2
storied,2
ciolfi,3
bannon,2
designing,3
heath,3
crafting,2
moore,2
golledge,2
geographical,1
positioning,1
smartphones,1
manipulation,1
surface,1
despite,1
request,1
restricted,1
included,1
writer,1
engineer,1
scientist,1
manager,1
educator,1
therapist,1
college,1
student,1
whose,1
ranged,1
freeston,1
matlock,1
internal,2
report,2
equivalent,1
immersive,1
several,1
descriptor,1
fischer,2
diversity,2
hall,2
hunt,1
conducted,1
tate,1
britain,1
vom,3
lehn,3
constable,2
reference,1
quaderni,1
della,1
fondazione,1
piaggio,1
nuova,1
serie,1
cultura,1
europea,1
musei,1
forthcoming,1
enhancing,1
curiosity,1
augmented,1
proceeding,7
european,2
conference,6
cognitive,1
ergonomics,1
rome,1
consiglio,1
nazionale,1
delle,1
ricerche,1
ashgate,2
companion,1
edited,3
graham,1
howard,1
burlington,1
ten,1
computer,2
cooperative,2
york,4
press,6
planning,2
th,2
theory,2
heidelberg,2
source,1
creativity,3
cognition,1
reconnecting,1
yehuda,1
thomas,1
kvan,2
janice,1
affleck,2
london,4
routledge,3
signifying,1
sage,1
luff,2
hindmarsh,2
cleverly,1
ecology,1
configuring,1
visual,1
cambridge,3
dialogics,1
self,1
architecture,1
ed,1
method,1
stroudsburg,1
dowden,1
hutchinson,1
ross,1
difference,1
convergence,1
chichester,1
