word/phrase,value,class
politics,5
community,183
heritage,41
motivation,10
authority,10
control,6
elizabeth,2
crooke*,1
school,1
english,1
history,42
university,3
ulster,2
united,4
kingdom,3
taylor,2
francis,2
received,2
february,5
final,6
version,2
september,1
print-,1
online,1
original,1
connection,4
one,12
almost,3
considered,6
natural,2
affinity,2
hardly,2
need,9
justification,2
explanation,2
paper,7
look,1
critically,1
understood,4
arises,3
two,3
brought,2
together,5
consideration,2
example,19
northern,23
ireland,28
meaning,10
engagement,23
explored,4
emphasis,2
issue,5
value,5
community-heritage,4
mean,10
multi-layered,1
politically,3
charged,2
concept,18
change,10
context,9
alters,1
consequence,5
according,7
situation,3
different,12
priority,10
come,6
fore,1
purpose,11
differ,3
importance,2
understanding,8
diversity,4
varies,1
social,20
cultural,12
political,18
demand,1
instance,5
associated,5
museum,112
space,8
becomes,5
contact,4
zone,2
clifford,2
reflecting,2
assorted,1
assumption,1
aspiration,1
expressed,1
interest,5
group,37
within,28
new,8
dynamic,1
follows,1
relationship,6
interrogated,1
multiple,4
perspective,3
government,11
sector,12
desire,2
grassroots,1
initiative,4
brings,3
idea,9
range,7
belief,1
contribution,6
project,24
enter,1
layer,3
introduced,1
investigation,1
synergy,3
arise,1
various,1
interact,2
offer,1
deeper,1
significance,3
analysis,1
divided,2
society,9
question,9
concerning,1
belonging,3
representation,4
agenda,13
underpinning,6
looking,1
well,10
outside,3
official,1
engaging,2
scrutinises,1
message,4
convey,1
draw,2
upon,7
engaged,6
community-outreach,1
department,1
forwarding,1
place,5
promotion,2
good,2
relation,17
developing,1
community-based,2
collection,11
relating,1
often,7
guarded,2
experience,25
local,13
people,18
revealed,1
deeply,1
meaningful,2
process,9
caught,1
host,1
contemporary,4
concern,8
vague,1
elusive,2
yet,1
gained,1
popular,1
currency,1
used,8
basis,2
myth,1
many,10
refer,1
building,2
block,1
define,4
custom,1
language,3
landscape,2
artefact,1
monument,1
identity,7
thus,1
selected,1
become,6
nation,1
constructed,2
reconstructed,1
time,3
occasion,2
redefined,1
expedient,1
scenario,1
flexible,1
reconceptualised,1
harvey,2
characteristic,2
share,2
difficult,2
confirm,1
describe,1
renegotiated,1
fit,1
bring,1
justifying,1
ambiguity,1
proved,1
handicap,1
