word/phrase,value,class
islamism,25
iran,31
islamic,86
period,10
museum,58
ali,4
mozaffari*,1
centre,6
muslim,15
state,26
society,11
faculty,5
art,10
humanity,5
social,5
science,1
university,11
western,17
australia,8
perth,2
asia,2
paciﬁc,2
institute,2
curtin,3
received,2
october,1
ﬁnal,1
version,4
december,1
established,2
almost,1
year,1
revolution,8
addition,1
previous,3
national,6
building,6
bastan,1
ancient,1
examining,1
component,3
space,13
key,1
exhibit,16
paper,8
reveals,1
analogous,2
relationship,7
ideology,27
suggests,6
embodies,1
fundamental,2
ambiguity,7
inconsistency,3
inherent,3
iranian,22
concealed,1
employing,1
traditionalist,10
rhetoric,2
regard,2
religion,8
identity,21
examines,1
republic,9
representation,4
part,7
refurbishment,3
former,2
ethnographic,3
architectural,3
style,1
belongs,1
europe,1
monumental,1
interior,6
however,7
refurbished,2
transformed,2
suit,2
curatorial,21
narrative,22
speciﬁcally,3
developed,1
exhibiting,1
artefact,2
present,3
ostensibly,1
represents,2
nation,1
arrangement,3
ofﬁcial,3
rendition,1
demonstrates,2
reproduces,3
internal,3
tension,1
behind,1
appearance,1
coherent,2
place,7
conceals,3
well,2
mode,2
mass,3
inculcation,2
invocation,3
familiar,7
sense,6
everyday,1
religious,18
experience,7
begin,2
examination,2
important,1
understanding,2
subtle,1
complex,1
aspect,6
spatial,4
design,1
address,1
engage,1
cultural,13
goer,1
introduce,1
focus,4
pertinent,2
element,2
exhibition,25
koranic,3
manuscript,5
heart,2
particular,1
authenticates,2
emphasis,10
primacy,2
taylor,1
francis,1
mozaffari,8
invoking,4
traditional,11
ritual,11
practice,6
incidentally,1
veneer,3
conceal,1
ideological,6
intent,1
deﬁnition,3
root,1
monolithic,1
nevertheless,3
general,5
concept,1
encompasses,1
different,5
tendency,8
based,3
interpretation,6
dominated,3
since,5
become,2
origin,7
may,6
traced,1
back,1
local,5
reaction,4
global,1
development,2
late-nineteenth,1
century,16
event,6
colonial,1
rivalry,1
region,1
dominance,1
economy,1
foreign,2
power,3
russia,1
territorial,2
excision,1
throughout,2
ultimately,2
resulted,2
known,3
persia,3
existing,3
dependency,2
response,9
traumatic,1
era,1
old,1
empire,3
modern,10
nation-state,2
process,5
driven,1
top,1
ruling,1
intellectual,6
elite,3
noteworthy,1
section,1
modernist,1
asserting,1
compatibility,1
authentic,9
islam,15
modernity,7
attempted,1
reconcile,1
european,1
enlightenment,7
move,1
could,3
nationalism,6
ideal,7
realised,1
secular,1
political,8
discourse,4
early,3
twentieth,8
nationalist,2
pahlavi,3
monarchy,2
westernising,2
secularising,1
agenda,1
suppressed,1
public,4
expression,4
creed,1
stop,1
private,1
espoused,2
majority,2
population,3
towards,4
later,3
trend,2
caused,3
growing,1
unease,1
among,5
educated,1
conservative,2
sector,1
thought,7
would,10
result,9
loss,2
one,6
fashioned,2
drew,2
tenet,2
shiism,5
deceptively,2
appropriation,1
mythology,1
jargon,1
drawing,1
emotional,3
connection,2
proponent,3
enlisted,1
support,2
leadership,3
clergy,2
reacting,1
policy,4
establishment,2
promoted,1
islamist,7
deﬁned,2
comprising,1
following,2
three,6
also,11
unity,13
authenticity,16
traditionalism,13
ﬁrst,1
two,6
encounter,2
invoke,5
shiite,6
burke,3
hand,4
expressed,1
resurgence,1
mystical,2
outlook,4
exempliﬁed,3
suﬁsm,2
umbrella,1
term,2
ascetic,1
movement,9
within,11
invention,1
followed,3
formation,2
nation-states,3
identiﬁcation,1
loyalty,1
beginning,1
transcend,2
denominational,2
limit,1
enayat,4
consequence,1
imperial,1
conquest,2
modernism,1
application,1
universal,3
reason,2
characterised,3
incorporation,1
thus,8
certain,1
measure,1
revivalism,2
condition,5
militancy,1
domination,2
keddie,5
pp,6
attempt,6
even,4
mend,1
confessional,2
divide,2
consider,2
united,1
land,4
territory,12
encroachment,1
taken,1
formulation,1
persuasion,1
secure,1
respond,2
challenge,1
levelled,1
people,4
world,8
initial,1
nineteenth,1
addressed,1
war,1
particularly,2
popularised,1
notion,4
active,1
militant,2
came,2
fore,1
group,2
saw,1
current,1
politics,4
inauthentic,1
similar,2
brother,1
elsewhere,1
upon,3
radicalised,1
anti-imperialist,1
revivalist,2
sought,3
cultivate,1
transnational,1
borne,1
partly,1
popular,1
disillusionment,2
westernised,2
government,2
country,6
lay,1
preacher,2
scholar,1
follower,1
socially,1
class,1
bazaaris,1
merchant,1
rejected,1
complete,1
puriﬁcation,1
inﬂuence,3
envisaged,1
achieved,1
return,3
reinterpretation,1
basic,1
ﬁgure,2
form,2
central,7
way,1
anti-imperialism,1
critical,1
initially,2
ﬁgured,1
incorporated,1
another,2
focused,1
identiﬁed,1
lee,4
became,1
prominent,3
major,1
contributing,1
fundamentally,1
romantic,2
characteristically,1
revolutionary,6
stem,1
debate,1
critique,2
revolt,2
tradition,17
seek,2
construct,2
reconstructed,1
dominant,2
custom,2
authentics,3
see,4
impediment,1
human,1
freedom,1
crisis,2
humanist,1
context,2
reinterpreting,1
light,1
civilisation,4
aimed,1
progress,3
consequently,1
subjugation,1
west,4
ﬁrstly,3
meaning,2
developing,1
scientiﬁc,3
rational,1
although,2
le,1
pronounced,1
detectable,1
dominates,2
broader,1
repel,1
imperialism,2
furnish,1
east,2
redress,1
rationality,1
felt,1
globally,1
renaissance,1
sedgwick,3
founder,2
rené,1
guenon,1
endeavoured,1
restore,1
appropriate,2
civilization,1
divine,4
order,3
immutability,1
sacred,12
essentially,2
merged,1
ﬁnd,1
love,1
knowledge,11
direct,1
personal,1
god,7
spirit,2
removed,2
rather,3
aegis,2
located,3
romanticised,2
golden,2
past,3
brings,1
closer,1
powerful,1
often,1
living,1
sufitraditions,1
belief,2
appeared,2
continuation,1
penetrated,1
signiﬁcant,3
area,1
life,4
kind,2
reformism,1
indicative,1
perspective,3
preserved,1
persian,5
essence,2
singular,1
hence,1
capitalisation,1
reassertion,1
timeless,2
truth,3
decayed,1
therefore,4
conversion,1
expected,1
voluntary,1
contemporary,5
view,5
completely,1
willingly,1
immersed,1
law,1
nasr,6
categorical,1
rejection,3
apparent,1
secularism,1
westernisation,2
many,1
instance,2
concealing,1
gel,1
cover,2
contradiction,4
deferring,1
contentious,1
matter,1
main,3
level,11
born,1
conﬂuence,1
fully,2
congruent,1
syncretic,1
remained,1
ambiguous,4
riddled,1
example,2
antithetical,1
latter,1
gloriﬁcation,1
posit,2
differently,1
constructed,1
galvanized,1
much,3
activity,1
direction,2
strand,2
common,2
symbolised,2
deposed,1
secondly,5
draw,1
impetus,1
ethos,1
core,2
question,2
relevance,2
native,1
formulate,1
informed,1
heritage,3
practical,1
outcome,1
manifest,2
object,5
narrated,1
accordance,1
philosophy,1
roohfar,6
closely,1
reﬂects,2
constituent,1
without,3
dominating,1
peculiar,1
connotation,4
concurrently,1
assisting,1
authentication,2
background,2
mind,1
possible,3
detect,2
unravel,1
cue,2
embedded,2
architecture,3
distributed,1
entrance,2
raised,1
ground,1
dedicated,1
permanent,1
hall,4
second,4
containing,1
shop,1
thematic,2
third,4
consisting,2
chronologically,2
arranged,2
historical,8
determined,1
succession,1
dynasty,2
ruled,1
spatially,1
concentric,2
primary,1
surrounded,2
four,1
secondary,2
wing,1
constitutes,2
stair,1
useful,1
interpret,1
discussion,2
proceeds,1
gallery,4
entered,1
large,1
glazed,1
wall,2
beyond,2
steel,2
mesh,2
providing,2
gridded,2
framed,2
uncommon,1
metal,2
trellis,2
found,1
shrine,2
scale,1
invokes,2
lattice,1
work,1
mausoleum,1
sheikh,1
ardebili,1
safavid,1
implication,1
advent,1
visitor,7
wonder,1
hint,1
sanctity,1
furthermore,1
association,1
hinting,1
death,3
potent,2
bring,1
together,1
moment,1
union,1
potentially,1
puriﬁer,1
idea,5
martyrdom,3
saint,2
imam,1
hossein,2
symbol,3
instrument,1
numerous,1
painting,2
across,1
town,1
ultimate,3
individual,2
gateway,2
superior,2
self,1
imbued,1
overlap,1
self-knowledge,1
gained,1
chosen,1
identify,1
visual,5
clue,1
grid,1
directs,1
orientational,8
map,19
entirely,1
geographical,1
extent,3
figure,4
feature,2
iconic,1
kaba,8
mecca,4
saudi,1
arabia,2
presented,1
black,2
cloth,1
yellow,2
desert,2
colour,2
house,1
monument,1
cosmological,1
signiﬁcance,1
daily,5
offer,1
prayer,4
facing,3
three-dimensional,1
natural,1
represented,1
spain,1
nominated,1
little,1
geo-political,2
division,4
depicts,1
pre-nationalist,1
overtly,1
connoting,1
mecca-centric,1
emphasising,2
denominator,1
depicted,2
place-names,1
designate,1
mosul,1
iraq,1
exchange,1
previously,1
implicit,1
transnationalism,2
interpreted,2
commentary,1
subsumes,4
notional,1
clearly,1
denoting,1
constitute,1
representational,1
hierarchy,2
realistic,1
medieval,1
miniature,1
blue,1
represent,1
water,1
perhaps,1
intended,1
suggest,1
viewer,1
concrete,1
higher,1
reality,2
rest,5
abstraction,2
homeland,4
distinctive,1
geopolitical,1
entity,3
treated,1
likewise,1
instead,3
denotes,1
spiritual,2
centring,1
immediately,1
source,2
celebrates,2
theo-centric,1
difference,2
including,2
seem,2
device,1
doctrine,1
faith,1
essential,1
prepare,1
centrality,1
elaborated,1
exacerbates,1
perceptual,1
confusion,1
koran,15
number,1
smaller,1
step,1
double-height,1
covered,1
decorative,1
plaster,1
dome,1
creates,1
acoustic,1
effect,1
mosque,9
slightly,1
elevated,1
surroundings,1
characteristic,1
arabic,2
reinforced,2
presence,4
niche,2
rug,1
independence,1
authority,1
planning,1
required,2
submit,1
autonomy,1
circumambulating,1
entering,1
site,2
distinguished,1
formal,1
simplicity,1
circumambulatory,2
collection,3
firstly,3
seen,3
prophet,3
miracle,2
alphabet,1
consistent,2
reasonably,1
grabar,3
script,1
curator,2
sign,1
book,2
contains,1
sacralised,2
establishes,2
unidirectional,1
validation,1
periphery,1
else,3
subtler,1
make,3
atmosphere,2
whiteness,1
purity,1
range,1
ninth,1
artistic,2
evolution,1
imposed,1
distinct,2
stylistic,1
positing,2
manifestation,3
explicit,1
aura,1
distinguishes,1
tempted,1
extend,1
accord,3
title,1
given,1
primarily,1
target,1
politico-historical,1
pertaining,1
likely,1
role,1
multifarious,1
mutual,1
dependence,1
reinforcement,1
institution,1
community,3
parallel,1
nascent,1
idealised,1
reincarnation,1
leader,1
heir,1
mohammad,1
recall,3
constitution,3
declares,1
objective,1
standpoint,1
world-view,1
norm,1
jurist,1
suggested,1
holy,1
assertion,1
sacramental,1
function,1
indeed,1
convey,1
concerned,1
attainment,1
epiphany,1
imposes,1
indicating,1
supremacy,1
type,2
literary,1
repository,1
according,2
hierarchisation,1
classiﬁcation,2
mundane,1
museological,1
convention,1
peripheral,1
strong,2
totality,2
subscribe,1
historicality,1
chronology,1
least,1
concern,1
historicise,1
impose,1
albeit,1
impression,2
acknowledge,2
resembles,2
prototypical,1
seventh,1
politico-religious,1
civic,1
exclusively,1
urban,1
prototype,1
pre-denominational,1
suggesting,1
original,2
longer,1
concurs,1
appear,1
ﬂoors,1
trace,1
placing,1
overt,1
transcends,1
favour,1
unitary,1
yet,2
true,1
must,1
come,2
related,1
imagined,1
happen,1
information,1
provided,1
entry,1
designating,1
separating,1
sub-community,1
utilises,1
iran-centred,1
periodization,1
history,4
positioning,1
ruler,1
larger,1
message,5
remains,2
competing,1
mean,2
reference,1
similarly,1
argued,1
partially,1
necessarily,1
limited,1
material,1
culture,3
seems,2
underpinned,1
vague,1
appears,1
conﬁguration,3
problematic,1
relied,1
anything,1
inherited,1
quality,2
implied,1
ambivalence,3
experienced,1
centred,1
reutilisation,1
ideologue,1
invoked,1
legend,1
co-opted,1
aesthetic,1
combining,1
expedient,1
appropriated,1
memory,1
mime,1
conclusion,1
link,1
multiple,1
ampliﬁed,1
attribute,1
made,2
position,1
meaningful,1
speciﬁc,2
pattern,2
constructing,2
lends,1
initiated,1
imagine,1
occurring,1
commemorative,1
pilgrimage,1
rite,1
tomb,1
assist,1
reinforces,1
shown,1
subliminal,1
detailed,1
making,1
ampliﬁcation,1
emotive,1
bodily,1
habit,1
transient,1
extension,1
act,1
otherwise,1
incompatible,1
driving,1
exhibitory,1
relation,2
authenticating,1
state-sanctioned,1
collective,2
meant,1
subsume,1
closed,1
minor,1
late,1
prolonged,1
whether,1
incurs,1
transformation,2
production,1
publication,1
grant,1
awarded,1
like,1
thank,1
anonymous,1
referee,1
editor,1
comment,2
associate,3
professor,2
nigel,1
westbrook,1
landscape,1
michael,1
pinch,1
school,1
study,4
constructive,1
research,3
project,1
doctoral,2
dissertation,1
drawn,1
note,2
contributor,1
interest,1
include,1
anthropology,1
never,1
actually,1
eventuated,1
despite,1
fact,1
designed,1
conceived,1
long,1
host,1
others,1
thorough,1
foran,2
