word/phrase,value,class
making,5
heritage,211
cannes,79
film,382
festival,172
josé,3
antonio,5
gonzález,6
zarandona,3
alfred,2
deakin,3
institute,4
globalisation,2
citizenship,2
melbourne,5
australia,4
paper,10
discussion,4
considered,10
analysing,7
role,20
turning,2
form,28
number,5
different,15
initiative,21
focused,1
preservation,12
promotion,3
present,15
chart,1
evolution,1
background,2
cultural,70
diplomacy,29
studying,2
perspective,3
contribute,6
theoretical,5
debate,5
situate,1
place,13
memory,24
identity,32
contested,3
negotiated,3
show,6
heritage-making,7
result,15
ability,2
respond,2
change,10
taking,2
age,4
international,55
contact,4
accommodate,2
new,37
trend,2
emerging,3
national,38
industry,22
within,7
context,8
also,31
address,2
gap,1
scholarship,4
engaging,2
theory,5
expand,3
insight,1
discus,2
discourse,16
recurrent,1
practice,11
among,1
scholar,8
reason,9
analyse,3
recognising,1
dimension,1
might,1
entail,2
argue,4
space,20
turned,1
effort,3
conservation,12
contributed,3
elevating,1
position,1
capable,1
accommodating,1
complex,1
experimental,3
cinema,40
allowed,5
fulfil,4
aspiration,1
playing,2
significant,2
circuit,4
exhibition,3
provides,6
opportunity,5
open,2
line,1
investigation,1
reference,1
range,3
possible,6
influence,7
study,18
sometimes,1
quite,4
forcefully,1
real,2
social,12
model,7
creates,3
globally,1
distributed,1
population,2
must,4
stated,2
use,6
term,4
explicitly,1
state,10
intends,1
vehicle,3
quest,1
draw,2
attention,4
raise,4
profile,5
aim,4
contributing,2
towards,4
development,3
boosting,1
worldwide,2
celebrating,1
level,2
de,50
historical,6
analysis,4
period,4
characterised,2
country,39
would,19
mediated,4
published,3
license,1
informa,1
limited,3
trading,1
taylor,3
francis,1
group,9
framed,2
selection,18
admitted,1
aesthetic,19
experimentation,1
generation,2
filmmaker,15
creation,5
special,5
sidebar,7
section,3
devoted,3
screen,8
type,4
underneath,1
desire,3
difference,2
expansion,1
lay,2
drive,1
consider,5
changed,1
gear,1
fully,1
embraced,2
cinéfondation,7
classic,17
world,34
project,11
atelier,4
village,6
steering,2
since,10
direction,2
consolidate,4
arena,7
act,2
promoter,1
archive,13
conserve,5
mainly,4
catalyst,1
supporting,3
young,6
find,2
finance,2
produce,1
first,20
long-feature,1
well,8
facilitating,3
creating,6
cooperation,10
regard,11
structure,1
establish,2
asand,3
relation,8
event,2
