word/phrase,value,class
journal,14
intellectual,34
property,45
law,43
practice,13
vol,9
biobank-related,9
research,169
right,92
deconstructing,1
obscurity,1
rajam,8
neethu*,1
introduction,1
biobanking,21
big,17
data,57
become,3
prominent,1
term,8
biobanks,95
deﬁned,3
collection,26
sample,73
human,106
bodily,3
substance,2
associated,5
personal,6
information,22
relating,17
donor,22
example,8
cell,17
tissue,26
blood,5
well,6
physical,2
medium,1
genetic,22
scale,1
possible,16
collect,2
store,3
analyse,1
commonly,2
referred,6
however,28
actual,5
connotation,1
take,1
different,10
form,7
based,4
nature,15
ﬁeld,5
exploration,2
eg,14
computer,1
science,6
ﬁnancial,3
analytics,1
business,4
genomics,2
limit,3
genomic,10
study,8
health,31
large-volume,1
correlation,1
analysis,9
made,5
using,16
fact,7
ﬁll,1
gap,3
clinical,4
biological,43
acknowledging,1
importance,6
algorithmic,1
essential,10
constituent,1
examination,5
issue,24
facing,3
exploitation,14
stored,4
medical,22
result,16
discussion,12
current,5
context,16
essentially,4
entail,2
subject,9
would,21
ethically,3
handled,1
beginning,1
systematic,3
date,1
back,1
eighteenth,1
century,2
includes,1
ﬁxed,1
processed,3
frozen,2
viable,1
nonviable,1
material,46
europe,8
mushrooming,1
fairly,3
recent,2
phenomenon,1
began,1
approximately,1
decade,1
ago,1
though,4
many,5
laboratory,1
standardized,2
could,14
regarded,5
biobank,40
growth,1
scientiﬁc,7
technology,10
increased,3
possibility,5
large,2
cohort,6
author,5
neethu,7
london,6
fellow,1
faculty,3
university,8
copenhagen,3
concern,24
legal,17
practical,2
challenge,11
related,9
area,2
implication,5
light,4
new,20
recommendation,8
origin,7
declaration,16
taipei,5
ethical,23
consideration,19
regarding,5
database,30
one,15
hand,5
need,11
exploit,5
vast,1
amount,3
resource,22
collected,6
thanks,1
huge,2
capital,1
investment,5
meet,2
demand,1
care,4
call,5
better,2
partnership,11
researcher,16
involved,7
use,46
protect,3
involves,1
govern,2
management,2
relevant,12
balancing,4
two,10
often,14
examines,2
within,19
publicly,6
funded,6
focus,4
central,1
relation,8
ownership,29
informed,8
consent,32
participant,6
lens,1
policy,15
tend,3
promotion,1
innovation,9
contextual,1
also,43
aspect,8
like,5
express,3
sincere,1
gratitude,1
prof,2
dr,2
jens,1
schovsbo,1
valuable,4
comment,6
earlier,3
draft,1
david,1
