word/phrase,value,class
network,61
copyright,249
rule,19
people,53
republic,20
china,54
chiang,1
ling,1
since,3
formally,1
linked,26
internet,71
market,5
developed,2
tremendous,1
speed,1
july,8
survey,6
report,8
information,66
centre-the,1
center,3
computer,37
networked,1
netizens,3
spent,1
one,36
hour,1
week,1
according,4
state,36
office,2
announced,1
september,20
april,13
million,2
website,122
web,28
page,54
also,37
showed,2
percent,6
established,1
set,25
research,2
entitled,6
znternet,1
ltd,46
strategis,1
group,4
forecast,1
wdl,5
become,1
world,5
largest,1
early,1
however,13
infiingements,1
net,59
rapidly,1
developing,1
significant,1
impact,3
regulatory,3
regime,3
primary,4
law,118
regulation,45
governing,4
protection,28
hereider,1
current,7
detailed,2
implementing,9
rep-,1
xin,4
journal,18
pharmacy,1
university,4
toronto,1
queen,1
london,1
univenity,1
barrister,1
solicitor,2
ontario,1
canada,1
hong,4
kong,4
england,1
wale,1
associate,2
baker,1
author,19
may,56
contacted,1
development,4
statistic,1
available,27
o&al,1
wu,2
wenxiang,2
issue,66
emegesfim,1
water,1
nanfmg,1
daily,17
june,14
ma,3
limin,1
prominenf,1
sued,12
websitefor,1
intngement,1
legal,26
system,14
xinhua,1
copyrizht,1
pirate,2
target,2
march,10
adopted,12
fifteenth,2
meeting,7
standing,5
committee,4
seventh,3
national,16
congress,9
amended,3
decision,40
cornminee,1
regarding,7
revision,5
session,5
ninth,1
october,9
effective,16
document,20
administration,13
issued,32
adrmnistration,1
implementation,2
international,14
treaty,10
formulated,1
implement,2
member,8
berne,1
convention,3
literary,3
artistic,2
work,160
universal,2
producer,5
phonogram,6
unauthorized,8
duplication,1
court,151
recently,2
adjudicated,1
number,7
infringement,45
case,99
supreme,9
judicial,7
interpretation,30
various,17
applicable,12
adjudicating,2
dispute,8
relating,7
nterpretationg,1
addressing,1
related,5
revised,5
among,2
important,8
must,12
noted,2
outset,1
concept,5
stare,1
decisis,1
exist,2
previous,3
binding,3
subsequent,1
action,21
nevertheless,2
useful,1
look,3
understand,1
new,11
body,3
hereinafter,1
specifically,11
deal,1
activity,6
although,16
arguably,6
applied,9
defined,9
include,2
right,68
publication,16
attribution,1
integrity,1
exploit,2
receive,3
remuneration,3
therefor,3
use,38
reproduction,19
