word/phrase,value,class
human,81
rghts,1
intellectual,80
property,168
conzict,1
convergence,1
jakob,1
ten,2
year,8
conclusion,6
agreement,18
aspect,5
right,251
triggered,3
globalisation,1
relationship,7
subject,9
public,28
debate,10
medium,2
well,16
various,3
academic,3
political,5
inherent,7
forum,1
originally,4
discussion,10
focused,2
specific,17
issues-such,1
tension,1
pharmaceutical,4
patent,85
access,26
health,45
misappropriation,2
traditional,6
knowledge,17
protection,64
biodiversity,3
fair-use,11
copyrighted,4
matter,9
etc-but,1
side-themes,1
increasingly,4
generating,1
fundamental,24
first,12
important,16
issue,12
hosted,1
world,13
organization,3
office,5
high,16
commissioner,7
adopted,10
resolution,3
session,2
following,4
request,1
issued,1
report,4
impact,7
general,16
related,6
committee,6
economic,45
social,25
cultural,11
held,3
day,3
november,6
proceeded,1
drafting,4
statement,3
normative,1
framework,1
approach,12
administrator,1
directorate,1
trade,9
european,27
commission,4
brussels,1
belgium,1
view,10
set,14
attributable,2
author,22
engage,1
way,14
institution,9
working,4
may,40
contacted,1
entire,1
documentation,1
panel,1
geneva,3
mark,5
th,8
anniversary,1
universal,5
declaration,9
published,5
united,12
nation,2
publication,7
also,27
made,18
available,7
website,2
promotion,5
ofthe,9
oflntellectual,1
sub,1
june,2
paper,5
prepared,2
dr,2
audrey,2
chapman,3
background,1
document,12
submitted,1
speciahzed,1
agency,1
programme,1
individual,23
expert,1
language,6
moreover,6
decided,1
follow-up,1
commence,1
comment,1
international,21
covenant,6
outcome,1
work,19
undertaken,1
biiefly,1
resumed,1
since,1
adequately,4
reflect,3
nature,22
indivisibility,1
apparent,2
conflict,4
betwccn,1
thc,2
regime,4
embodled,1
one,25
hand,11
law,26
many,16
shared,3
criticism,6
accentuated,1
peter,5
prove,2
miloon,1
kothari,2
speak,4
threatening,1
key,3
including,12
enjoy,6
benefit,13
scientific,10
progress,20
food,13
self-determination,1
go,2
far,7
condemning,1
whole,7
express,1
concern,10
regard,12
describe,1
unbalanced,1
implementation,1
tendency,2
certain,27
government,6
stipulate,1
obligation,7
external,1
agreement^^,1
keith,2
aolu,1
speaks,2
unprecedented,2
grab,1
owner,14
common,11
resource,20
vicious,1
circle,2
strong,8
virtually,1
automatic,1
coming,3
serious,1
cost,4
local,1
global,3
levels*~,1
drahos,4
warned,1
call,2
information,14
feudahsm,1
suggested,1
serve,4
interest,28
need,6
citizen,8
identie,1
could,21
concluded,2
partisan,1
able,5
use,18
argument,7
speaking,3
favour,6
stronger,3
worldwide,1
infringement,2
theft,2
sustainable,2
development,44
vol,6
cf,11
body,1
gear,1
centre,2
fi,1
dutfield,1
rule,2
contict,1
net,3
policy,13
brief,1
october,3
hunian,1
watch,1
treatment,14
righfs,1
aoki,1
neocolonialism,1
anticommom,1
eiopiracy,1
new,38
order,14
intomation,1
feudalism,2
infoomation,1
society,46
trs,1
pp,6
john,1
braithwaite,1
owns,1
economy,7
earthscan,1
london,1
propetty,1
indiana,1
journal,6
legal,17
study,5
universality,1
origin,6
swpra,1
footnote,5
jack,1
valenti,1
president,1
chief,1
executive,2
offker,1
motion,1
picture,1
association,5
america,7
intervention,1
sub-committee,1
court,8
internet,1
house,2
representative,1
march,2
crown,4
jewels-its,1
looted,1
organized,2
violent,1
criminal,2
group,4
getting,1
rich,1
high-gainlow-risk,1
business,11
stealing,1
around,1
effectively,1
bring,1
bear,1
full,6
power,10
state,46
expect,1
make,19
industry,6
join,1
force,3
fight,3
succeed,1
protecting,2
jewel,1
singular,2
truth,2
exists,2
movie,1
cant,1
protect,14
dont,1
anything,1
property-are,1
contrary,10
argued,4
kmds,1
qualify,1
given,16
private,18
recognize,4
sovereign,3
regulate,1
ie,8
adjust,1
circum~tances~,1
seems,12
thus,26
ambiguous,1
oblige,1
legislator,3
foresee,2
enforce,2
extent,9
contended,1
limit,4
present,6
ambition,2
shedding,1
light,3
however,34
chosen,1
authorsl,1
correct,1
interpretation,5
try,2
reach,3
beyond,3
question,14
put,10
simple,1
term,21
purpose,23
raison,1
dtre,1
supposedly,1
allow,1
u,1
determine,4
scope,17
reason,9
codification,1
inevitably,3
convey,1
somewhat,1
incomplete,2
even,23
biased,1
image,3
ofwhat,1
really,3
drafted,1
enacted,2
circumstance,4
therefore,19
mindset,2
drafter,1
time,23
lived,2
often,7
compromise-a,1
constraint,3
moral,11
exposed,1
yet,11
commonly,1
understood,4
something,3
le,21
derive,1
legislative,1
act,12
kind,6
supreme,3
authority,2
founded,3
inalienable,3
dignity,3
dimension,1
carl,1
heymanns,1
cologne,1
schemer,1
matscher,1
petzold,1
ed,1
aforementioned,2
supra,3
lc,1
explicitly,5
acknowledged,1
late,1
century,7
fint,1
attempt,1
codify,1
man,8
example,33
french,4
national,6
assembly,2
august,2
hommes,1
naissent,1
et,4
demeurent,1
zibres,1
gaux,1
en,1
droits,2
men,5
born,1
remain,2
free,10
equal,6
distinction,4
upon,4
good,36
de,8
toute,1
politique,1
est,3
la,6
conservation,1
naturels,1
imprescriptibles,1
lhomme,1
aim,6
preservation,1
natural,11
imprescriptible,1
liberty,6
security,3
resistance,1
oppression,1
likewise,1
virginia,1
convention,15
delegate,1
equally,2
independent,1
enter,1
cannot,11
contract,5
deprive,4
divest,1
posterity,1
independence,2
created,7
endowed,1
creator,8
unalienable,2
affirmation,1
must,39
reaffirmation,1
considered,10
violated,1
oppressed,1
unnatural,1
abusive,1
exercise,1
absolutist,1
annens,1
rigimes,1
overturned,1
effort,2
react,1
atrocity,1
nazi,1
soviet,1
totalitarianism,1
two,4
recital,1
preamble,1
recognition,10
inahenable,1
member,14
family,8
foundation,2
freedom,20
justice,2
peace,3
disregard,1
contempt,1
resulted,1
barbarous,1
outraged,1
conscience,1
mankind,1
sense,9
neither,2
granted,11
repealed,1
instead,7
recognized,12
consequently,8
discourse,1
understanding,2
malung,1
existing,6
seen,9
testimony,1
conviction,1
prevent,13
om,1
proceeding,1
deeper,1
insight,2
beside,1
taken,10
account,3
adoption,4
concerning,3
much,11
increased,5
last,2
decade,4
become,7
inflationary,1
prominent,2
charter,5
union,9
solemnly,1
proclaimed,1
council,5
summit,2
nice,1
december,1
foresees,4
inter,1
ulia,1
education,7
vocational,1
continuing,1
training,2
compulsory,4
diversity,3
worker,2
consultation,1
within,3
undertakmg,1
placement,2
service,17
preventive,1
care,12
level,17
consumer,5
least,7
administration,1
certainly,5
alone,3
all-embracing,1
reflects,1
vest,1
everything,2
valuable,5
desirable,2
promoted,1
epithet,1
single,1
distinguish,1
principle,8
create,11
hierarchy,3
value,15
objective,25
awarded,3
status,4
levelled,1
concept,12
loses,1
indeed,15
tempted,1
wonder,1
whether,11
stand,5
life,7
opinion,1
proclamation,1
great,4
variety,9
introduces,1
element,1
uncertainty,1
dedicated,1
address,2
divergent,1
complex,1
claim,8
point,9
whereas,10
others,14
quote,1
nowadays,1
reality,1
high-ranking,4
rather,14
entitlement,1
kept,4
mind,1
necessarily,5
end,6
societal,11
recently,6
acquired,2
fixndamental,1
committing,1
due,5
attention,3
spelt,1
major,4
ultimately,3
discover,1
weight,1
philosophical,1
oriented,1
ethic,1
positive,2
legislation,15
that-be,1
respect,7
