word/phrase,value,class
journal,56
world,31
intellectual,44
property,50
vol,26
pp,6
doi,1
j-x,1
scope,81
process,211
patent,236
farm,42
animal,146
breeding,105
morten,27
walløe,27
tvedt,40
magnus,27
finckenhagen,27
fridtjof,6
nansen,6
institute,6
number,4
application,15
concerning,5
growing,1
rapidly,1
law,41
general,22
form,11
seldom,1
adapted,1
speciﬁc,14
area,8
innovation,4
initially,1
created,2
purpose,24
granting,7
exclusive,32
right,79
technical,11
invention,62
taken,4
granted,16
higher,2
food,6
production,20
pharmaceutical,1
important,9
mankind,1
included,2
private,1
today,2
increasingly,2
used,12
sector,9
question,36
arises,3
apply,20
particular,8
ﬁeld,9
degree,9
legal,20
uncertainty,9
particularly,4
high,5
clear,3
court,31
various,3
country,24
potential,5
alter,1
existing,3
condition,4
competition,2
investment,5
thus,22
merit,1
greater,6
attention,2
among,4
policy-makers,1
breeder,8
farmer,39
keywords,1
animal-breeding,3
method,36
indirect,15
product,99
protection,147
research,7
analysis,2
exemption,15
conferred,16
owner,6
recently,2
actively,1
applied,21
changing,2
currently,3
several,3
regarding,33
pending,2
ofﬁces,1
around,2
rothschild,2
et,16
al,16
become,6
subject,17
debate,3
discussion,3
even,2
indication,1
whether,38
would,40
fitzgerald,2
patentability,1
biotechnology,10
agenda,2
implementation,8
directive,51
european,26
parliament,5
council,4
july,3
biotechnological,26
community,6
agreement,62
aspect,5
well,4
international,8
body,2
agriculture,4
organization,4
non-governmental,1
eg,4
greenpeace,2
league,2
pastoral,2
people,2
issue,15
although,6
especially,4
hot,1
topic,3
forum,1
brought,2
noted,6
author,32
compilation,26
blackwell,26
publishing,26
ltd,26
rapid,1
development,11
drawn,1
relation,5
event,1
introduction,1
transgenic,1
technology,14
agricultural,11
patenting,4
may,20
prominent,1
rischkowsky,4
pilling,4
heading,1
emerging,3
add,2
signiﬁcant,1
livestock,11
driven,1
part,8
technological,3
cloning,1
transgenetics,1
desire,2
proﬁt,1
promote,1
ethical,1
objection,1
raised,8
might,25
however,25
also,31
note,4
numerous,1
practical,6
need,5
addressed,3
related,6
emphasis,8
added,8
case,21
leaf,4
situation,8
somewhat,4
uncertain,1
unexpected,1
result,16
applying,5
system,11
differs,1
traditional,10
obvious,4
difference,9
ability,3
reproduce,2
fact,7
complicates,1
identifying,2
example,3
patented,69
bred,1
non-patented,1
one,27
furthermore,5
long,3
cycle,2
make,10
difﬁcult,14
determine,11
far,5
applies,6
many,5
generation,24
additionally,2
signiﬁcance,1
depend,6
partly,1
specie,6
set,1
rule,19
europe,4
commission,5
speciﬁcally,5
address,4
despite,4
concrete,2
still,8
interpretation,22
provision,17
meant,5
extent,18
word,10
produced,14
patent-holder,28
prevent,8
others,6
exploiting,2
commercially,1
paterson,7
ﬂows,1
claim,20
coupling,1
deﬁning,1
act,14
covered,7
understand,3
must,24
interpreted,4
third,11
party,10
infringes,3
activity,20
tested,1
allowed,3
grant,5
kolker,2
discus,2
ﬁrst,10
second,1
section,14
approaching,1
global,4
take,1
closer,2
look,4
regional,2
fourth,1
offer,6
approach,1
action,2
determined,6
ﬁfth,1
special,6
defence,8
accused,1
infringer,4
could,48
avoid,2
falling,1
penultimate,2
reversal,7
burden,14
proof,15
regard,2
finally,1
last,2
draw,2
conclusion,2
speciﬁes,5
detailed,3
requirement,3
legislation,6
member,20
state,21
including,2
effective,2
measure,2
ensure,7
fulﬁlment,1
consequence,8
trade,6
longer,2
comprehensive,2
national,20
discretion,7
least,12
without,10
sanction,1
main,2
obliged,4
provide,12
ﬁelds,7
save,1
preamble,19
title,1
refer,1
trade-related,1
aim,1
procedure,1
enforce,1
barrier,2
legitimate,5
argued,9
negotiation,1
freeing,1
domestic,1
regulatory,3
regime,3
virtually,1
dimension,1
encompassed,1
correa,9
analysing,1
greatest,1
interest,10
establishes,2
minimum,7
thereof,3
term,19
implies,11
level,12
establish,7
broader,3
fairly,3
de,8
carvalho,7
matter,10
consent,6
using,12
offering,2
sale,18
selling,3
importing,2
obtained,43
directly,27
patentee,6
described,8
extend,15
direct,5
so-called,1
cover,11
specify,7
material,58
capable,4
self-reproduction,2
interprets,1
relevant,9
offspring,17
patent-holders,7
alike,2
vital,2
know,2
precisely,2
possible,9
actual,2
decided,2
alleged,10
infringement,28
suit,1
westerlund,5
challenge,3
certainty,4
relevance,3
required,5
according,15
binding,1
person,5
implemented,3
hence,1
probably,3
natural,7
point,5
departure,3
use,61
new,11
inventive,1
well-known,1
criterion,2
practiced,3
fall,8
beyond,7
feature,1
show,3
well-documented,1
regarded,1
novel,1
nonobvious,1
potentially,4
eligible,1
inclusion,1
extended,3
mean,9
requires,5
outcome,1
therefore,10
give,4
extension,8
accepted,1
bently,18
sherman,18
often,4
explained,1
reference,2
undermined,1
made,6
outside,1
imported,2
principle,10
territoriality,2
utilized,3
import,3
valid,1
otherwise,1
imply,15
substantial,4
deterioration,1
value,8
exactly,2
within,15
exclusiveness,5
raise,2
future,14
extensive,3
alteration,3
cross-breeding,1
selection,2
determining,4
ordinary,1
meaning,3
treaty,3
vienna,1
convention,3
literal,3
obtain,1
indicates,4
includes,6
achieved,1
suggests,2
qualiﬁcation,1
protected,9
course,1
expiry,2
usually,1
year,6
two,2
extreme,1
wording,7
much,4
guidance,3
wide,2
range,3
different,15
ﬂow,4
single,1
remit,1
concludes,1
based,5
upon,5
like,2
derivative,7
assumption,1
follow,1
confers,4
standard,8
adequate,9
indicate,6
extends,8
seem,8
order,3
patentholder,1
acquire,1
monopoly,2
kept,2
justiﬁable,2
limit,5
qualiﬁed,3
connection,2
relationship,3
link,1
ensured,2
nordic,4
theory,1
quality,7
lost,3
characteristic,24
speciﬁcation,2
rise,1
interesting,2
crossbred,3
specimen,2
posse,7
assessment,9
seems,14
revolve,1
essential,5
due,3
individual,4
separate,3
evaluation,1
evaluated,1
indirectly,1
unrestricted,1
progeny,8
expressed,1
core,2
necessarily,8
linked,1
rather,3
proceed,1
protect,2
identical,10
similar,4
invoked,2
normally,4
alternative,4
deemed,3
equivalent,8
clearly,5
free,1
include,2
claimed,3
room,3
practice,6
solved,2
either,4
coming,1
exempt,2
eligibility,1
chooses,1
end,3
circumventing,2
comprising,1
improving,2
herd,8
applicable,1
breed,3
variety,1
practically,2
sig,1
another,3
consider,2
next,2
step,2
analyse,1
dealt,3
biotech,28
principally,1
concerned,1
kamstra,14
drafted,1
issued,1
best,1
nonetheless,1
close,2
validity,1
decision,1
impact,4
case–law,2
proceeding,3
