filename,title,journal,date,test,hrRat,ipRat,userRat,creatorRat
IJHS-2002_Riverbank_Marketing_Maritime,Tales from the Riverbank: place-marketing and maritime heritages,International Journal of Heritage Studies,2002-03-09,1,0.5424455155542687,0.4575544844457311,0.02252252252252252,0.04954954954954955
JWIP-2005_IP_Creation_ASEAN,Intellectual Property Creation as Invention Patents for Development and Competitiveness in ASEAN,Journal of World Intellectual Property,2006-02-13,0,-1.0,-1.0,-1.0,-1.0
JWIP-2010_Digital_Locks_Canada,Digital Locks and the Fate of Fair Dealing in Canada: In Pursuit of Prescriptive Parallelism,Journal of World Intellectual Property,2010-06-08,0,-1.0,-1.0,-1.0,-1.0
JIPL-2013_Polish_Code_Civil,The amended Polish Code of Civil Law Procedure: its impact on intellectual property enforcement litigation Katarzyna Zbierska*,Journal of Intellectual Property Law,2013-01-19,0,-1.0,-1.0,-1.0,-1.0
IJCP-2018_Rise_Havens_Threatened,-,International Journal of Cultural Property,2018-12-04,0,-1.0,-1.0,-1.0,-1.0
IJCP-1994_Nation_Object,The Nation and the Object,International Journal of Cultural Property,2007-05-09,0,-1.0,-1.0,-1.0,-1.0
IJCP-2006_Boston_Reflections_Antiquities,From Boston to Rome: Reflections on Returning Antiquities,International Journal of Cultural Property,2007-01-15,1,0.5714002810036127,0.4285997189963872,0.031098153547133137,0.006802721088435374
JWIP-2015_Africa_Plant_Breeders,-,Journal of World Intellectual Property,2015-06-15,1,0.3018884997437184,0.6981115002562818,0.16129032258064516,0.22580645161290322
IJHS-2016_Gazes_City_Photography,Crossed gazes over an old city: photography and the Experientiation of a heritage place,International Journal of Heritage Studies,2016-01-23,0,-1.0,-1.0,-1.0,-1.0
IJCP-2015_Fighting_Archaeological_Spain,-,International Journal of Cultural Property,2015-04-21,0,-1.0,-1.0,-1.0,-1.0
JWIP-2013_Gaps_Norms_Digital,Bridging the Gaps Between Social and Legal Norms Concerning Protection of Intellectual and Artistic Creations: On the Crisis of Copyright Law in the Digital Era,Journal of World Intellectual Property,2013-05-17,0,-1.0,-1.0,-1.0,-1.0
IJCP-2006_ICOM_Museum_Korea,ICOM Code of Ethics for Museums&#8212;As approved by the 21st  General Assembly of ICOM in Seoul Republic of Korea 8 October 2004,International Journal of Cultural Property,2007-02-20,0,-1.0,-1.0,-1.0,-1.0
JIPL-2005_Domain_Property,,Journal of Intellectual Property Law,2005-11-08,0,-1.0,-1.0,-1.0,-1.0
IJCP-1992_Cultural_Property_Rose,Cultural Property and Sufficient Interest: the Rose and the Globe sites,International Journal of Cultural Property,2007-05-09,0,-1.0,-1.0,-1.0,-1.0
IJCP-2012_Marine_Ecosystems_Micronesia,-,International Journal of Cultural Property,2012-07-26,1,0.5052717416246804,0.49472825837531964,0.04838709677419355,0.09057071960297766
IJCP-2000_Poverty_Documentary_Nigeria,The poverty of documentary heritage management in Nigeria,International Journal of Cultural Property,2000-08-14,1,0.5295723202783088,0.4704276797216911,0.05255878284923928,0.058091286307053944
