word/phrase,value,class
area,145,hr
model,86,hr
marginal,80,hr
problem,70,hr
vision,41,hr
cultural,37,hr
capital,34,hr
economic,33,hr
solution,32,hr
conflict,32,hr
linear,29,hr
development,25,hr
marginality,24,hr
ecological,24,hr
may,22,hr
resource,22,hr
central,22,hr
local,21,hr
centre,20,hr
two,18,hr
many,18,hr
sumava,17,hr
mountain,16,hr
value,16,hr
figure,16,hr
new,15,hr
heritage,14,hr
future,14,hr
kind,14,hr
society,14,hr
used,13,hr
application,13,hr
example,13,hr
social,13,hr
one,13,hr
outside,13,hr
secondary,13,hr
non-linear,12,hr
main,12,hr
management,12,hr
shortcoming,12,hr
potential,12,hr
place,12,hr
beyond,11,hr
region,11,hr
park,11,hr
lack,11,hr
question,11,hr
miloslav,10,hr
lapka,10,hr
cudlinova,10,hr
view,10,hr
national,10,hr
often,10,hr
eva,9,hr
condition,9,hr
use,9,hr
czech,9,hr
type,9,hr
way,9,hr
environmental,9,hr
also,9,hr
process,9,hr
major,9,hr
possible,9,hr
system,9,hr
original,9,hr
failure,8,hr
nature,8,hr
could,8,hr
umava,8,hr
land,8,hr
usually,8,hr
financial,8,hr
take,8,hr
account,8,hr
village,8,hr
practical,7,hr
general,7,hr
environment,7,hr
important,7,hr
part,7,hr
situation,7,hr
case,7,hr
plan,7,hr
element,7,hr
republic,6,hr
lie,6,hr
represent,6,hr
culture,6,hr
become,6,hr
characteristic,6,hr
natural,6,hr
form,6,hr
approach,6,hr
inevitably,6,hr
source,6,hr
feedback,6,hr
tertiary,6,hr
feature,6,hr
different,6,hr
show,6,hr
document,6,hr
tesitel,5,hr
data,5,hr
sustainable,5,hr
protection,5,hr
especially,5,hr
point,5,hr
definition,5,hr
group,5,hr
extent,5,hr
including,5,hr
considered,5,hr
labour,5,hr
political,5,hr
economy,5,hr
much,5,hr
seen,5,hr
result,5,hr
governmental,5,hr
autonomous,5,hr
economics,5,hr
aim,5,hr
need,5,hr
reality,5,hr
similar,5,hr
however,5,hr
alternative,5,hr
obvious,5,hr
agency,5,hr
added,5,hr
building,5,hr
demographic,5,hr
law,5,hr
authority,5,hr
connected,5,hr
attempted,5,hr
shortage,5,hr
organisation,5,hr
human,5,hr
time,5,hr
international,4,hr
journal,4,hr
study,4,hr
term,4,hr
empirical,4,hr
paper,4,hr
al,4,hr
reserve,4,hr
basic,4,hr
solving,4,hr
understanding,4,hr
relationship,4,hr
spatial,4,hr
based,4,hr
solve,4,hr
context,4,hr
paradoxically,4,hr
three,4,hr
valuable,4,hr
level,4,hr
final,4,hr
frequently,4,hr
weakness,4,hr
factor,4,hr
agricultural,4,hr
life,4,hr
market,4,hr
available,4,hr
common,4,hr
well,4,hr
limit,4,hr
vol,4,hr
cause,4,hr
several,4,hr
advantage,4,hr
possibility,4,hr
tend,4,hr
positive,4,hr
recreation,4,hr
largely,4,hr
limited,4,hr
absent,4,hr
solved,4,hr
border,4,hr
specific,4,hr
whole,4,hr
occurs,4,hr
created,4,hr
attempt,4,hr
structure,4,hr
space,4,hr
hidden,4,hr
lead,4,hr
respected,4,hr
goal,4,hr
various,4,hr
provide,4,hr
occur,4,hr
former,4,hr
debate,4,hr
layer,4,hr
planning,3,hr
et,3,hr
strategy,3,hr
biosphere,3,hr
examination,3,hr
concerned,3,hr
environmentally,3,hr
along,3,hr
western,3,hr
boundary,3,hr
practice,3,hr
seems,3,hr
determines,3,hr
parameter,3,hr
indicator,3,hr
present,3,hr
long,3,hr
five,3,hr
landscape,3,hr
interpretation,3,hr
mean,3,hr
role,3,hr
complex,3,hr
