word/phrase,value,class
party,111,hr
shall,110,hr
property,97,hr
cultural,95,hr
protocol,69,hr
protection,56,hr
committee,52,hr
may,44,hr
concidict,42,hr
international,41,hr
convention,33,hr
enhanced,33,hr
use,31,hr
offence,29,hr
armed,25,hr
request,25,hr
assistance,25,hr
law,24,hr
provision,23,hr
military,21,hr
subject,19,hr
term,19,hr
state,19,hr
accordance,19,hr
available,18,hr
meeting,18,hr
mean,17,hr
downloaded,17,hr
httpswwwcambridgeorgcore,17,hr
university,17,hr
bristol,17,hr
library,17,hr
dec,17,hr
cambridge,17,hr
core,17,hr
httpswwwcambridgeorgcoreterms,17,hr
territory,17,hr
event,14,hr
measure,14,hr
chapter,14,hr
set,14,hr
forth,14,hr
purpose,13,hr
list,13,hr
attack,13,hr
extradition,13,hr
one,12,hr
decision,12,hr
jurisdiction,12,hr
fund,12,hr
without,11,hr
force,11,hr
case,11,hr
person,11,hr
rule,10,hr
journal,10,hr
document,10,hr
violation,10,hr
sub-paragraph,10,hr
united,10,hr
nation,10,hr
relation,10,hr
application,10,hr
prejudice,10,hr
taken,10,hr
act,10,hr
member,10,hr
sub-paragraphs,10,hr
responsibility,10,hr
implementation,9,hr
appropriate,9,hr
time,9,hr
respect,9,hr
protected,9,hr
provided,9,hr
legal,9,hr
contracting,8,hr
situation,8,hr
made,8,hr
objective,8,hr
another,8,hr
national,8,hr
following,8,hr
approval,8,hr
accession,8,hr
hague,7,hr
provide,7,hr
high,7,hr
procedure,7,hr
make,7,hr
referred,7,hr
mutual,7,hr
basis,7,hr
hostility,7,hr
function,7,hr
feasible,7,hr
necessary,7,hr
inclusion,7,hr
criminal,7,hr
treaty,7,hr
political,7,hr
protecting,7,hr
acceptance,7,hr
instrument,7,hr
established,6,hr
circumstance,6,hr
domestic,6,hr
occupied,6,hr
organization,6,hr
apply,6,hr
effect,6,hr
authority,6,hr
take,6,hr
representation,6,hr
consider,6,hr
individual,6,hr
immediate,6,hr
adopt,6,hr
guideline,6,hr
power,6,hr
raticidcation,6,hr
denunciation,6,hr
establish,5,hr
object,5,hr
action,5,hr
advantage,5,hr
applicable,5,hr
bound,5,hr
damage,5,hr
precaution,5,hr
cancel,5,hr
suspend,5,hr
administrative,5,hr
criterion,5,hr
non-governmental,5,hr
present,5,hr
status,5,hr
proceeding,5,hr
report,5,hr
programme,5,hr
deposited,5,hr
necessity,4,hr
article,4,hr
contribution,4,hr
long,4,hr
regarding,4,hr
safeguarding,4,hr
include,4,hr
emergency,4,hr
adequate,4,hr
responsible,4,hr
invoked,4,hr
ii,4,hr
similar,4,hr
possible,4,hr
method,4,hr
permit,4,hr
view,4,hr
used,4,hr
submit,4,hr
information,4,hr
relevant,4,hr
upon,4,hr
within,4,hr
majority,4,hr
voting,4,hr
grant,4,hr
entry,4,hr
ensure,4,hr
support,4,hr
afford,4,hr
including,4,hr
conformity,4,hr
nothing,4,hr
character,4,hr
year,4,hr
representative,4,hr
end,4,hr
march,3,hr
system,3,hr
done,3,hr
effective,3,hr
whose,3,hr
destruction,3,hr
educational,3,hr
peace,3,hr
accepts,3,hr
applies,3,hr
granted,3,hr
preparatory,3,hr
pursuant,3,hr
preparation,3,hr
removal,3,hr
competent,3,hr
imperative,3,hr
direct,3,hr
choice,3,hr
required,3,hr
incidental,3,hr
cause,3,hr
would,3,hr
co-operation,3,hr
meet,3,hr
three,3,hr
level,3,hr
shield,3,hr
control,3,hr
granting,3,hr
included,3,hr
related,3,hr
mentioned,3,hr
invite,3,hr
decide,3,hr
receipt,3,hr
requesting,3,hr
notwithstanding,3,hr
governmental,3,hr
well,3,hr
provisional,3,hr
delay,3,hr
making,3,hr
serious,3,hr
committed,3,hr
alleged,3,hr
offender,3,hr
exercise,3,hr
affect,3,hr
obligation,3,hr
extradite,3,hr
requested,3,hr
ground,3,hr
elected,3,hr
session,3,hr
cidrst,3,hr
capacity,3,hr
secretariat,3,hr
cidnancial,3,hr
resource,3,hr
interest,3,hr
authorized,3,hr
particular,3,hr
cooperation,3,hr
communicate,3,hr
give,3,hr
technical,3,hr
conciliation,3,hr
propose,3,hr
deposit,3,hr
importance,2,hr
supplement,2,hr
involved,2,hr
development,2,hr
customary,2,hr
decidned,2,hr
nature,2,hr
offer,2,hr
otherwise,2,hr
scienticidc,2,hr
save,2,hr
general,2,hr
inventory,2,hr
movable,2,hr
situ,2,hr
ensuring,2,hr
ticle,2,hr
waiver,2,hr
obtaining,2,hr
size,2,hr
based,2,hr
subparagraph,2,hr
advance,2,hr
warning,2,hr
given,2,hr
whenever,2,hr
operation,2,hr
avoiding,2,hr
deciding,2,hr
expected,2,hr
excessive,2,hr
concrete,2,hr
anticipated,2,hr
occupation,2,hr
whole,2,hr
part,2,hr
illicit,2,hr
export,2,hr
