word/phrase,value,class
mission,96,hr
aboriginal,74,hr
umeewarra,67,hr
centre,48,hr
australia,44,hr
culture,44,hr
child,43,hr
cultural,42,hr
people,41,hr
history,31,hr
visitor,30,hr
tourism,30,hr
south,29,hr
interpretive,29,hr
missionary,28,hr
site,27,hr
story,22,hr
also,22,hr
heritage,20,hr
material,18,hr
part,17,hr
australian,17,hr
indigenous,16,hr
community,16,hr
need,15,hr
interpretation,15,hr
process,14,hr
area,14,hr
family,13,hr
port,13,hr
augusta,13,hr
flinders,12,hr
art,12,hr
established,11,hr
time,11,hr
brother,11,hr
oral,11,hr
researcher,11,hr
range,11,hr
could,11,hr
commission,11,hr
european,10,hr
land,10,hr
nguraritja,10,hr
issue,10,hr
plan,10,hr
international,9,hr
james,9,hr
one,9,hr
role,9,hr
state,9,hr
many,9,hr
development,9,hr
interpreting,8,hr
jane,8,hr
church,8,hr
former,8,hr
committee,8,hr
way,8,hr
integrity,8,hr
strategic,8,hr
day,8,hr
activity,8,hr
study,7,hr
stolen,7,hr
including,7,hr
place,7,hr
right,7,hr
record,7,hr
adelaide,7,hr
outback,7,hr
region,7,hr
tourist,7,hr
survey,7,hr
interest,7,hr
view,6,hr
christian,6,hr
generation',6,hr
tell,6,hr
property,6,hr
home,6,hr
local,6,hr
group,6,hr
much,6,hr
care,6,hr
programme,6,hr
support,6,hr
original,6,hr
number,6,hr
building,6,hr
possible,6,hr
potential,6,hr
identified,6,hr
year,5,hr
followed,5,hr
often,5,hr
removed,5,hr
preserve,5,hr
interpret,5,hr
report,5,hr
research,5,hr
used,5,hr
planning,5,hr
management,5,hr
settlement,5,hr
currently,5,hr
reconciliation,5,hr
generation,5,hr
house,5,hr
note,5,hr
would,5,hr
display,5,hr
location,5,hr
intellectual,5,hr
required,5,hr
project,5,hr
recommendation,5,hr
regarding,5,hr
method,5,hr
high,5,hr
awareness,5,hr
recorded,5,hr
strategy,5,hr
sydney,5,hr
proposed,5,hr
department,5,hr
journal,4,hr
last,4,hr
'the,4,hr
supportive,4,hr
something,4,hr
belief,4,hr
commonwealth,4,hr
opcit,4,hr
knowledge,4,hr
davenport,4,hr
decide,4,hr
loss,4,hr
identity,4,hr
national,4,hr
opportunity,4,hr
contact,4,hr
life,4,hr
protection,4,hr
play,4,hr
addressed,4,hr
museum,4,hr
photograph,4,hr
diary,4,hr
important,4,hr
make,4,hr
appropriate,4,hr
acknowledged,4,hr
employed,4,hr
funding,4,hr
related,4,hr
best,4,hr
new,4,hr
attraction,4,hr
design,4,hr
council,4,hr
training,4,hr
likely,4,hr
opera,4,hr
citing,3,hr
found,3,hr
least,3,hr
government,3,hr
oversee,3,hr
establish,3,hr
maintains,3,hr
paper,3,hr
address,3,hr
sympathetic,3,hr
give,3,hr
back,3,hr
'stolen,3,hr
known,3,hr
developing,3,hr
meeting,3,hr
early,3,hr
largely,3,hr
towards,3,hr
authenticity,3,hr
anderson,3,hr
ed,3,hr
upbringing,3,hr
taken,3,hr
placed,3,hr
generally,3,hr
importantly,3,hr
recognises,3,hr
located,3,hr
north,3,hr
traditional,3,hr
suggested,3,hr
included,3,hr
dormitory,3,hr
amongst,3,hr
throughout,3,hr
accommodated,3,hr
age,3,hr
concept,3,hr
see,3,hr
structure,3,hr
remains,3,hr
although,3,hr
place',3,hr
running,3,hr
include,3,hr
stored,3,hr
preservation,3,hr
control,3,hr
relevant,3,hr
aim,3,hr
involved,3,hr
information,3,hr
rather,3,hr
suggestion,3,hr
remain,3,hr
ownership,3,hr
line,3,hr
economic,3,hr
source,3,hr
maintaining,3,hr
document,3,hr
since,3,hr
telling,3,hr
analysis,3,hr
millennium,3,hr
contribute,3,hr
significantly,3,hr
profile,3,hr
majority,3,hr
brambuk,3,hr
organisation,3,hr
practice,3,hr
developed,3,hr
technique,3,hr
already,3,hr
well,3,hr
recording,3,hr
may,3,hr
aspect,3,hr
corporate,3,hr
significant,3,hr
campaign,3,hr
australia's,3,hr
industry,3,hr
perhaps,3,hr
online,2,hr
article,2,hr
term,2,hr
settler,2,hr
reserve,2,hr
parent,2,hr
raised,2,hr
