word/phrase,value,class
shui,98,hr
feng,97,hr
heritage,83,hr
cultural,76,hr
natural,74,hr
landscape,61,hr
hong,38,hr
kong,38,hr
wood,37,hr
forest,36,hr
resource,34,hr
village,30,hr
grove,29,hr
specie,29,hr
conservation,26,hr
study,25,hr
nature,23,hr
human,22,hr
ecological,22,hr
vegetation,22,hr
value,18,hr
settlement,18,hr
area,18,hr
sacred,17,hr
environment,17,hr
tree,17,hr
figure,17,hr
community,16,hr
woodland,16,hr
fruit,16,hr
new,15,hr
culture,15,hr
culturally,15,hr
pp,14,hr
people,14,hr
environmental,14,hr
belief,14,hr
protected,14,hr
often,13,hr
also,13,hr
integrating,12,hr
marafa,12,hr
management,12,hr
note,12,hr
however,12,hr
biodiversity,12,hr
juicy,12,hr
edible,12,hr
lawal,11,hr
vol,11,hr
territory,11,hr
result,11,hr
common,11,hr
society,11,hr
op,11,hr
cit,11,hr
chinese,11,hr
journal,10,hr
year,10,hr
represent,10,hr
importance,10,hr
unique,10,hr
past,10,hr
generation,10,hr
use,9,hr
tradition,9,hr
geomancy,9,hr
important,9,hr
tourism,9,hr
world,9,hr
indeed,9,hr
see,9,hr
aspect,9,hr
site,9,hr
many,9,hr
significance,9,hr
location,9,hr
international,8,hr
process,8,hr
phenomenon,8,hr
located,8,hr
local,8,hr
principle,8,hr
traditional,8,hr
development,8,hr
significant,8,hr
interpretation,8,hr
understanding,8,hr
land,8,hr
mountain,8,hr
tai,8,hr
found,7,hr
activity,7,hr
investigation,7,hr
example,7,hr
back,7,hr
historical,7,hr
similarly,7,hr
need,7,hr
science,7,hr
history,7,hr
constitute,7,hr
native,7,hr
although,7,hr
one,7,hr
system,7,hr
may,7,hr
han,7,hr
om,7,hr
selected,6,hr
revered,6,hr
characterised,6,hr
even,6,hr
sustainable,6,hr
scholar,6,hr
case,6,hr
howard,6,hr
indicated,6,hr
perception,6,hr
background,6,hr
civilisation,6,hr
life,6,hr
patch,6,hr
posey,6,hr
still,6,hr
china,6,hr
form,6,hr
luk,6,hr
keng,6,hr
observed,6,hr
laird,6,hr
table,6,hr
etc,6,hr
view,5,hr
continuity,5,hr
contain,5,hr
contemporary,5,hr
part,5,hr
particularly,5,hr
approach,5,hr
modified,5,hr
concept,5,hr
time,5,hr
benefit,5,hr
type,5,hr
maintain,5,hr
enhance,5,hr
way,5,hr
provide,5,hr
factor,5,hr
place,5,hr
south,5,hr
feature,5,hr
surrounded,5,hr
high,5,hr
identified,5,hr
ficus,5,hr
boundary,5,hr
addition,5,hr
within,5,hr
region,5,hr
lam,5,hr
chinensis,5,hr
advantage,4,hr
term,4,hr
condition,4,hr
testimony,4,hr
along,4,hr
ecosystem,4,hr
awareness,4,hr
biological,4,hr
diversity,4,hr
various,4,hr
largely,4,hr
interpret,4,hr
good,4,hr
extent,4,hr
art,4,hr
order,4,hr
relationship,4,hr
particular,4,hr
london,4,hr
urban,4,hr
planning,4,hr
rural,4,hr
become,4,hr
different,4,hr
interaction,4,hr
preservation,4,hr
opportunity,4,hr
future,4,hr
spatial,4,hr
structure,4,hr
perspective,4,hr
work,4,hr
defined,4,hr
seen,4,hr
element,4,hr
position,4,hr
hill,4,hr
function,4,hr
relic,4,hr
valuable,4,hr
harmony,4,hr
living,4,hr
large,4,hr
effort,4,hr
crescent-shaped,4,hr
stage,4,hr
university,4,hr
prosperity,4,hr
mui,4,hr
tsz,4,hr
age,4,hr
dominated,4,hr
persea,4,hr
scolopia,4,hr
attract,4,hr
ecotourism,4,hr
side,3,hr
continued,3,hr
botanical,3,hr
characteristic,3,hr
resident,3,hr
accelerated,3,hr
ongoing,3,hr
habitat,3,hr
used,3,hr
well,3,hr
destination,3,hr
around,3,hr
others,3,hr
group,3,hr
certain,3,hr
issue,3,hr
together,3,hr
philosophy,3,hr
conserve,3,hr
physical,3,hr
included,3,hr
social,3,hr
earlier,3,hr
impact,3,hr
bequeathed,3,hr
essential,3,hr
environmentalist,3,hr
mitchell,3,hr
plant,3,hr
strong,3,hr
experience,3,hr
created,3,hr
reflect,3,hr
specific,3,hr
technique,3,hr
protection,3,hr
spiritual,3,hr
increasingly,3,hr
influence,3,hr
shape,3,hr
home,3,hr
continue,3,hr
economic,3,hr
related,3,hr
ed,3,hr
component,3,hr
water,3,hr
front,3,hr
general,3,hr
formed,3,hr
point,3,hr
placement,3,hr
planted,3,hr
furthermore,3,hr
rather,3,hr
regard,3,hr
practice,3,hr
us,3,hr
fact,3,hr
concern,3,hr
inhabitant,3,hr
throughout,3,hr
numerous,3,hr
simultaneously,3,hr
depicting,3,hr
referred,3,hr
known,3,hr
man-ho,3,hr
clearly,3,hr
right,3,hr
geography,3,hr
bruun,3,hr
flat,3,hr
ha,3,hr
shown,3,hr
foothill,3,hr
vicinity,3,hr
information,3,hr
thesis,3,hr
according,3,hr
force,3,hr
attempt,3,hr
set,3,hr
justify,3,hr
wish,3,hr
mostly,3,hr
cutting,3,hr
remain,3,hr
help,3,hr
initial,3,hr
representing,3,hr
partially,3,hr
interviewee,3,hr
younger,3,hr
ecology,3,hr
canopy,3,hr
camphora,3,hr
microcarpa,3,hr
corlett,3,hr
alternative,3,hr
print,2,hr
online,2,hr
link,2,hr
citing,2,hr
article,2,hr
existence,2,hr
threatened,2,hr
urbanisation,2,hr
highlight,2,hr
three,2,hr
interview,2,hr
bear,2,hr
date,2,hr
several,2,hr
hundred,2,hr
devoid,2,hr
evolution,2,hr
terrestrial,2,hr
education,2,hr
serve,2,hr
ecotourists,2,hr
appreciation,2,hr
key,2,hr
ancient,2,hr
discussion,2,hr
growing,2,hr
peter,2,hr
defining,2,hr
bianchi,2,hr
contested,2,hr
tourist,2,hr
park,2,hr
policy,2,hr
preserve,2,hr
manage,2,hr
holistic,2,hr
generally,2,hr
divided,2,hr
integration,2,hr
multidisciplinary,2,hr
historically,2,hr
porter,2,hr
becoming,2,hr
evident,2,hr
studied,2,hr
scientist,2,hr
coccossis,2,hr
nijkamp,2,hr
complex,2,hr
making,2,hr
linked,2,hr
cannot,2,hr
focus,2,hr
identity,2,hr
risk,2,hr
emphasis,2,hr
outstanding,2,hr
beauty,2,hr
great,2,hr
despite,2,hr
recent,2,hr
overall,2,hr
given,2,hr
reported,2,hr
contribute,2,hr
modern,2,hr
due,2,hr
established,2,hr
relation,2,hr
socio-cultural,2,hr
century,2,hr
earth,2,hr
worthy,2,hr
clear,2,hr
whether,2,hr
include,2,hr
discernible,2,hr
enhanced,2,hr
buggey,2,hr
dense,2,hr
body,2,hr
situ,2,hr
intricate,2,hr
studying,2,hr
backdrop,2,hr
research,2,hr
juxtaposed,2,hr
beyond,2,hr
discourse,2,hr
shaped,2,hr
grew,2,hr
developed,2,hr
treasured,2,hr
became,2,hr
seeking,2,hr
selection,2,hr
popular,2,hr
habitation,2,hr
intertwined,2,hr
strongly,2,hr
spiritually,2,hr
upon,2,hr
undoubtedly,2,hr
since,2,hr
abandoned,2,hr
west,2,hr
western,2,hr
space,2,hr
asserts,2,hr
description,2,hr
critical,2,hr
press,2,hr
shaftesbury,2,hr
schematic,2,hr
ideal,2,hr
lower,2,hr
relatively,2,hr
edge,2,hr
master,2,hr
scope,2,hr
covered,2,hr
range,2,hr
represents,2,hr
grazing,2,hr
integral,2,hr
imposed,2,hr
countryside,2,hr
elsewhere,2,hr
origin,2,hr
powerful,2,hr
must,2,hr
survival,2,hr
spp,2,hr
visit,2,hr
share,2,hr
replete,2,hr
surrounding,2,hr
felling,2,hr
express,2,hr
symbolise,2,hr
folklore,2,hr
bring,2,hr
shared,2,hr
pressure,2,hr
therefore,2,hr
healthy,2,hr
respect,2,hr
sometimes,2,hr
fear,2,hr
sochaczewski,2,hr
maintained,2,hr
power,2,hr
expressed,2,hr
relevant,2,hr
relating,2,hr
ancestral,2,hr
status,2,hr
survey,2,hr
investigate,2,hr
floral,2,hr
publication,2,hr
total,2,hr
summer,2,hr
unpublished,2,hr
depicted,2,hr
observation,2,hr
managed,2,hr
landslide,2,hr
fire,2,hr
slikkerveer,2,hr
application,2,hr
accepted,2,hr
purpose,2,hr
based,2,hr
cut,2,hr
possible,2,hr
geomorphological,2,hr
bamboo,2,hr
eg,2,hr
oldest,2,hr
government,2,hr
outdoor,2,hr
richness,2,hr
secondary,2,hr
chu,2,hr
xing,2,hr
number,2,hr
faunal,2,hr
bird,2,hr
wildlife,2,hr
frugivorous,2,hr
stratum,2,hr
cinnamomum,2,hr
bischofia,2,hr
javanica,2,hr
nitida,2,hr
among,2,hr
sarcosperma,2,hr
laurinum,2,hr
aquilaria,2,hr
sinensis,2,hr
commonly,2,hr
japanese,2,hr
thumbergii,2,hr
psychotria,2,hr
rubra,2,hr
ardisia,2,hr
prunus,2,hr
arborea,2,hr
schima,2,hr
superba,2,hr
endospermum,2,hr
oreophila,2,hr
succession,2,hr
late-succession,2,hr
zhuang,2,hr
believed,2,hr
situation,2,hr
department,2,hr
name,2,hr
itea,2,hr
reevesia,2,hr
machilus,2,hr
euphorbiaceae,2,hr
medicinal,2,hr
visitor,2,hr
periphery,2,hr
pattern,2,hr
attempted,2,hr
unravel,2,hr
villager,2,hr
appropriate,2,hr
perceived,2,hr
index,2,hr
carter,2,hr
bramley,2,hr
category,2,hr
homepage,1,hr
httpwwwtandfonlinecomloirjhs,1,hr
cite,1,hr
feng￿shui,1,hr
httpsdoiorg,1,hr
published,1,hr
jun,1,hr
submit,1,hr
full,1,hr
access,1,hr
abstract,1,hr
interact,1,hr
produce,1,hr
sit,1,hr
beside,1,hr
examined,1,hr
sociocultural,1,hr
confirmed,1,hr
regarded,1,hr
word,1,hr
concerning,1,hr
question,1,hr
asked,1,hr
evidenced,1,hr
citation,1,hr
convention,1,hr
stakeholder,1,hr
emphasised,1,hr
centre,1,hr
httpwwwunescoorgwhcintro-enhtm,1,hr
accessed,1,hr
april,1,hr
island,1,hr
garajonay,1,hr
national,1,hr
la,1,hr
gomera,1,hr
online-,1,hr
taylor,1,hr
francis,1,hr
ltd,1,hr
maker,1,hr
lay,1,hr
enterprise,1,hr
matter,1,hr
viewed,1,hr
connect,1,hr
committed,1,hr
prepared,1,hr
evolving,1,hr
degree,1,hr
fluidity,1,hr
facilitate,1,hr
theme,1,hr
akin,1,hr
debate,1,hr
terrain,1,hr
tersely,1,hr
like,1,hr
john,1,hr
advocated,1,hr
comprehend,1,hr
appreciate,1,hr
argued,1,hr
separation,1,hr
hampered,1,hr
interdisciplinary,1,hr
synthesis,1,hr
accepting,1,hr
simply,1,hr
u,1,hr
crucial,1,hr
reiterate,1,hr
impossibility,1,hr
separating,1,hr
quite,1,hr
separated,1,hr
define,1,hr
editorial,1,hr
move,1,hr
britain,1,hr
continuum,1,hr
ff,1,hr
malaysia,1,hr
longman,1,hr
socio-ecological,1,hr
assessment,1,hr
aldershot,1,hr
avebury,1,hr
character,1,hr
aspiration,1,hr
geomorphology,1,hr
animal,1,hr
apparent,1,hr
juxtaposition,1,hr
dichotomous,1,hr
demonstrated,1,hr
inextricably,1,hr
bound,1,hr
could,1,hr
understand,1,hr
lack,1,hr
encompasses,1,hr
hindered,1,hr
solution,1,hr
interrelationship,1,hr
consideration,1,hr
limitation,1,hr
dichotomy,1,hr
thought,1,hr
scientific,1,hr
recognise,1,hr
immense,1,hr
span,1,hr
continues,1,hr
surface,1,hr
treasure,1,hr
call,1,hr
refocusing,1,hr
thinking,1,hr
near,1,hr
modify,1,hr
recently,1,hr
land-use,1,hr
attracted,1,hr
first,1,hr
variability,1,hr
taking,1,hr
diverse,1,hr
george,1,hr
wright,1,hr
forum,1,hr
introduction,1,hr
inextricable,1,hr
intermediate,1,hr
technology,1,hr
united,1,hr
nation,1,hr
programme,1,hr
major,1,hr
layout,1,hr
availability,1,hr
successful,1,hr
otherwise,1,hr
locally,1,hr
extinct,1,hr
highlighted,1,hr
base,1,hr
depicts,1,hr
ecosystem-management,1,hr
objective,1,hr
portray,1,hr
signify,1,hr
seemingly,1,hr
course,1,hr
laid,1,hr
spectacular,1,hr
stem,1,hr
geology,1,hr
climatic,1,hr
affect,1,hr
adjacent,1,hr
said,1,hr
undertaken,1,hr
looking,1,hr
isolation,1,hr
sociology,1,hr
paper,1,hr
conceived,1,hr
present,1,hr
investigates,1,hr
report,1,hr
viability,1,hr
finally,1,hr
tendency,1,hr
inherited,1,hr
initiated,1,hr
globally,1,hr
go,1,hr
horizon,1,hr
transformation,1,hr
struggle,1,hr
competing,1,hr
contrasting,1,hr
geographical,1,hr
practised,1,hr
vein,1,hr
constitutes,1,hr
preserved,1,hr
evolved,1,hr
meet,1,hr
translated,1,hr
smaller,1,hr
outdoors,1,hr
