word/phrase,value,class
international,hr,3
journal,hr,2
cultural,hr,2
property,hr,15
printed,hr,1
copyright,hr,1
society,hr,1
art,hr,71
dispute,hr,55
beaverbrook,hr,367
gallery,hr,97
deborah,hr,1
cushing*,hr,1
abstract,hr,1
long-running,hr,1
benefactor,hr,3
foundation,hr,224
illustrates,hr,1
need,hr,7
documentation,hr,3
gift,hr,50
loan,hr,37
artwork,hr,27
issue,hr,53
ownership,hr,29
painting,hr,65
display,hr,8
valued,hr,2
million,hr,13
none,hr,2
party,hr,14
able,hr,3
produce,hr,1
record,hr,14
establish,hr,6
either,hr,6
instead,hr,2
rely,hr,2
newspaper,hr,8
magazine,hr,4
article,hr,14
speech,hr,7
catalogue,hr,1
export,hr,5
document,hr,13
substantiate,hr,1
position,hr,13
central,hr,2
role,hr,2
first,hr,32
lord,hr,61
whether,hr,12
action,hr,38
amounted,hr,3
breach,hr,5
fiduciary,hr,8
duty,hr,18
examines,hr,1
particular,hr,7
claim,hr,29
well,hr,7
decision,hr,8
made,hr,13
final,hr,2
resolution,hr,6
expected,hr,2
appeal,hr,21
decided,hr,2
held,hr,13
extremely,hr,1
successful,hr,9
exhibition,hr,3
titled,hr,1
nine,hr,1
month,hr,1
exhibit,hr,9
people,hr,8
attended,hr,1
city,hr,1
fredericton,hr,6
new,hr,30
brunswick,hr,20
population,hr,1
approximately,hr,3
attendance,hr,1
remarkable,hr,1
unfortunately,hr,1
reason,hr,4
title,hr,29
interest,hr,11
legal,hr,22
heir,hr,5
belong,hr,2
canadian,hr,102
merely,hr,1
therefore,hr,6
returned,hr,4
could,hr,18
removed,hr,7
province,hr,12
completely,hr,2
lundell,hr,1
vancouver,hr,1
canada,hr,5
email,hr,1
downloaded,hr,24
university,hr,25
bristol,hr,24
library,hr,25
dec,hr,24
subject,hr,28
cambridge,hr,24
core,hr,24
term,hr,32
use,hr,26
available,hr,41
without,hr,5
question,hr,13
deserves,hr,1
lot,hr,2
attention,hr,2
include,hr,4
work,hr,95
artist,hr,2
sandro,hr,1
botticelli,hr,1
salvador,hr,2
dalí,hr,2
lucian,hr,3
freud,hr,5
cornelius,hr,1
krieghoff,hr,1
riopelle,hr,1
commenced,hr,6
confirm,hr,3
may,hr,17
sold,hr,6
provide,hr,7
much,hr,1
needed,hr,2
financial,hr,7
capital,hr,1
opposed,hr,1
order,hr,13
retained,hr,6
spring,hr,1
unresolved,hr,1
regardless,hr,1
long-term,hr,1
consequence,hr,3
relationship,hr,3
william,hr,5
maxwell,hr,17
aitken,hr,44
born,hr,1
ontario,hr,2
raised,hr,3
newcastle,hr,1
son,hr,2
presbyterian,hr,1
preacher,hr,1
grew,hr,1
self-made,hr,1
businessman,hr,1
millionaire,hr,1
press,hr,4
baron,hr,4
british,hr,3
politician,hr,1
aitkens,hr,2
political,hr,1
career,hr,1
began,hr,2
moving,hr,1
england,hr,5
included,hr,8
serving,hr,1
cabinet,hr,1
minister,hr,2
world,hr,1
war,hr,1
also,hr,12
built,hr,1
empire,hr,1
owning,hr,1
daily,hr,3
express,hr,4
evening,hr,1
standard,hr,2
referred,hr,5
fleet,hr,1
street,hr,1
reputation,hr,2
scholarship,hr,1
building,hr,3
lady,hr,13
arena,hr,1
playhouse,hr,1
hotel,hr,4
apparently,hr,1
generosity,hr,2
childhood,hr,1
benefited,hr,3
current,hr,6
sir,hr,19
grandson,hr,2
reported,hr,6
inherited,hr,2
father,hr,2
declared,hr,1
bankruptcy,hr,1
forfeited,hr,1
right,hr,2
sit,hr,1
house,hr,1
chair,hr,7
recently,hr,2
focused,hr,1
fund,hr,7
effort,hr,1
restoration,hr,1
country,hr,1
home,hr,1
cherkley,hr,1
court,hr,13
surrey,hr,1
timothy,hr,23
cousin,hr,2
another,hr,4
president,hr,2
director,hr,4
trustee,hr,14
custodian,hr,18
person,hr,6
note,hr,1
family,hr,7
history,hr,2
dunn,hr,6
widow,hr,1
