word/phrase,value,class
international,hr,13
journal,hr,15
heritage,hr,140
study,hr,29
print,hr,1
online,hr,4
homepage,hr,1
interested,hr,12
beware,hr,7
joining,hr,3
economic,hr,138
valuation,hr,12
conservation,hr,223
randall,hr,4
mason,hr,18
cite,hr,1
link,hr,1
published,hr,1
jun,hr,1
submit,hr,2
view,hr,3
citing,hr,2
article,hr,2
full,hr,3
term,hr,9
condition,hr,1
access,hr,1
use,hr,17
found,hr,3
vol,hr,1
july,hr,2
pp,hr,1
taylor,hr,3
francis,hr,3
print-,hr,1
original,hr,2
thinking,hr,23
provide,hr,4
great,hr,3
insight,hr,4
cause,hr,3
integrating,hr,2
broader,hr,7
social,hr,27
agenda,hr,3
could,hr,5
well,hr,9
served,hr,1
engaging,hr,1
discourse,hr,67
written,hr,1
perspective,hr,9
field,hr,34
essay,hr,4
draw,hr,5
distinction,hr,11
examines,hr,1
argument,hr,15
made,hr,7
advocate,hr,8
serious,hr,1
engagement,hr,3
cultural,hr,93
economics,hr,68
strategic,hr,3
epistemological,hr,2
barrier,hr,2
inclusion,hr,1
surveyed,hr,1
several,hr,5
including,hr,6
integral,hr,1
part,hr,10
practice,hr,10
weighed,hr,2
concludes,hr,1
thoughtful,hr,1
critical,hr,3
lead,hr,4
dynamic,hr,3
new,hr,16
research,hr,15
strengthen,hr,2
hand,hr,3
policy,hr,12
discussion,hr,5
decision,hr,36
keywords,hr,1
development,hr,11
value,hr,178
transformed,hr,1
last,hr,1
generation,hr,2
fairly,hr,2
closeted,hr,1
pursued,hr,1
end,hr,4
increasingly,hr,1
viewed,hr,2
mean,hr,5
greater,hr,2
sense,hr,7
place,hr,36
sustainable,hr,3
diversity,hr,1
tourism,hr,3
income,hr,1
transformation,hr,1
concept,hr,6
goal,hr,4
applied,hr,3
grown,hr,1
prominence,hr,1
change,hr,6
welcomed,hr,1
unwelcome,hr,1
others,hr,4
congruent,hr,2
longer-brewing,hr,1
brought,hr,1
real-world,hr,1
activity,hr,5
partnership,hr,1
force,hr,2
community,hr,4
improvement,hr,2
university,hr,9
pennsylvania,hr,1
correspondence,hr,1
given,hr,3
urgent,hr,1
professional,hr,15
fluency,hr,1
become,hr,3
lingua,hr,3
franca,hr,3
public,hr,19
contemporary,hr,14
society,hr,25
two,hr,11
distinct,hr,5
way,hr,18
emerged,hr,1
termed,hr,1
represent,hr,4
important,hr,14
impulse,hr,1
within,hr,5
circle,hr,1
complex,hr,3
long,hr,5
history,hr,7
distinctly,hr,2
different,hr,18
employ,hr,1
historical,hr,7
narrative,hr,4
connoisseurial,hr,1
judgement,hr,3
material,hr,5
science,hr,5
visual,hr,2
medium,hr,1
making,hr,22
relies,hr,1
mathematics,hr,1
quantitative,hr,5
expression,hr,3
take,hr,3
benefit,hr,28
question,hr,12
sceptically,hr,1
deferring,hr,1
market,hr,44
efficient,hr,1
allocating,hr,1
resource,hr,4
