word/phrase,value,class
journal,ip,81
world,ip,54
intellectual,ip,158
property,ip,168
vol,ip,29
pp,ip,11
doi,ip,1
j-x,ip,1
local,ip,228
knowledge,ip,332
trapped,ip,31
culture,ip,65
power,ip,34
politics,ip,11
chidi,ip,30
oguamanam,ip,51
dalhousie,ip,3
law,ip,52
school,ip,2
discourse,ip,14
category,ip,9
right,ip,46
claimant,ip,12
thereto,ip,7
embroiled,ip,1
complex,ip,7
conceptual,ip,13
analytical,ip,5
morass,ip,2
quandary,ip,1
around,ip,10
diversionary,ip,2
historically,ip,8
rooted,ip,4
hierarchy,ip,15
subjugated,ip,2
claim,ip,30
challenged,ip,1
several,ip,4
dimension,ip,1
including,ip,11
argument,ip,8
cultural,ip,83
cosmopolitanism,ip,3
aspect,ip,11
liberal,ip,23
democratic,ip,15
principle,ip,11
interesting,ip,2
new,ip,23
site,ip,10
play,ip,4
emergent,ip,1
bioprospecting,ip,1
framework,ip,25
access,ip,17
beneﬁt,ip,7
sharing,ip,4
context,ip,11
sophisticated,ip,3
external,ip,2
intermediary,ip,7
asymmetrical,ip,3
relationship,ip,18
custodian,ip,12
constitute,ip,4
threat,ip,7
genuine,ip,1
aspiration,ip,3
indigenous,ip,172
community,ip,54
recently,ip,1
conﬂated,ip,1
propertization,ip,5
raising,ip,1
concern,ip,4
asphyxiation,ip,1
public,ip,38
domain,ip,30
making,ip,5
scapegoat,ip,3
troubled,ip,1
undermines,ip,2
source,ip,6
problem,ip,4
way,ip,18
current,ip,6
anemic,ip,2
state,ip,23
blamed,ip,1
unwholesome,ip,1
expansion,ip,3
unidirectional,ip,3
appropriation,ip,14
interest,ip,19
reality,ip,3
requires,ip,2
order,ip,4
responsive,ip,2
contribution,ip,11
keywords,ip,1
story,ip,2
west,ip,19
fitzpatrick,ip,2
ongoing,ip,4
narrative,ip,2
whether,ip,3
focus,ip,5
colonial,ip,22
latter,ip,5
various,ip,4
preﬁxes,ip,4
academic,ip,5
pre-,ip,1
post-,ip,1
neo-,ip,1
convenient,ip,4
historical,ip,14
ideological,ip,3
reference,ip,10
point,ip,9
project,ip,7
continues,ip,3
feed,ip,2
occupy,ip,1
vast,ip,2
range,ip,3
discipline,ip,3
include,ip,8
number,ip,3
subject,ip,10
umbrella,ip,1
social,ip,7
science,ip,19
notably,ip,3
history,ip,9
political,ip,18
anthropology,ip,9
sociology,ip,5
philosophy,ip,3
policydevelopment,ip,1
study,ip,6
indeed,ip,4
fertile,ip,1
interdisciplinary,ip,3
encounter,ip,2
across,ip,3
diverse,ip,7
margin,ip,1
exchange,ip,2
highlight,ip,2
limitation,ip,1
disciplinary,ip,4
ﬁxations,ip,1
boundarymarking,ip,1
subtle,ip,2
often,ip,8
non-subtle,ip,1
however,ip,14
single,ip,2
approach,ip,18
grasp,ip,1
complexity,ip,2
relation,ip,28
aftermath,ip,1
perhaps,ip,11
nowhere,ip,1
foregoing,ip,2
sentiment,ip,4
truer,ip,1
harder,ip,1
look,ip,1
le,ip,6
see,ip,2
late,ip,3
twentieth,ip,3
century,ip,5
become,ip,4
theatre,ip,1
viewing,ip,1
dramatization,ip,1
literally,ip,1
ﬁguratively,ip,1
contemporary,ip,12
author,ip,33
compilation,ip,29
blackwell,ip,29
publishing,ip,29
ltd,ip,29
analysis,ip,7
others,ip,8
also,ip,21
corollary,ip,1
platform,ip,2
gauging,ip,1
people,ip,88
mainly,ip,8
modern,ip,13
pretender,ip,1
constituted,ip,2
born,ip,1
empire,ip,1
conquest,ip,2
colonialism,ip,5
unsuspectingly,ip,1
developing,ip,19
country,ip,33
particularly,ip,3
counterpart,ip,3
industrialized,ip,10
seized,ip,1
present,ip,7
momentum,ip,1
deploying,ip,1
multifarious,ip,1
contestation,ip,3
resistance,ip,9
challenge,ip,11
derogation,ip,6
denial,ip,1
seek,ip,5
explore,ip,2
opportunity,ip,3
presented,ip,5
emancipation,ip,1
re-enactment,ip,1
struggle,ip,6
colonized,ip,7
drawing,ip,1
post-colonial,ip,5
global,ip,30
economy,ip,11
implicated,ip,4
deployed,ip,2
engagement,ip,3
articulates,ip,1
dilemma,ip,5
contradiction,ip,1
assail,ip,1
loose,ip,1
bid,ip,1
use,ip,5
leverage,ip,2
economic,ip,21
exploring,ip,1
web,ip,1
nuance,ip,2
potential,ip,15
yield,ip,2
counterproductive,ip,1
effect,ip,1
intensity,ip,1
commitment,ip,1
defending,ip,1
leveraging,ip,2
overall,ip,5
basket,ip,4
progressive,ip,7
attempt,ip,16
calling,ip,1
attention,ip,8
injustice,ip,1
reﬂective,ip,2
consciousness,ip,2
exploitation,ip,4
unique,ip,1
composition,ip,2
slippery,ip,2
politicophilosophical,ip,4
ideal,ip,6
liberalism,ip,13
emasculate,ip,1
campaign,ip,2
equally,ip,7
important,ip,7
proponent,ip,2
take,ip,3
seriously,ip,1
inherent,ip,5
cause,ip,3
strategize,ip,1
allow,ip,2
divert,ip,3
substantive,ip,4
issue,ip,17
pragmatic,ip,1
preemptive,ip,1
avoid,ip,1
real,ip,6
albeit,ip,6
nuanced,ip,2
legal,ip,22
bushwhacks,ip,1
lurk,ip,1
emergence,ip,2
front,ip,1
burner,ip,1
nationally,ip,1
internationally,ip,2
rationalized,ip,1
theoretical,ip,4
practical,ip,3
ground,ip,5
least,ip,3
anthropological,ip,5
view,ip,7
insight,ip,9
ellen,ip,7
et,ip,6
al,ip,6
well,ip,12
critical,ip,5
zuckerman,ip,3
theorization,ip,1
globalization,ip,8
underscore,ip,2
intermeshing,ip,1
transformation,ip,7
information,ip,22
borderless,ip,1
system,ip,18
giddens,ip,2
kymlicka,ip,7
suoza,ip,1
santos,ip,3
collectively,ip,2
question,ip,8
basis,ip,9
strict,ip,5
compartmentalization,ip,1
ironically,ip,2
call,ip,7
application,ip,7
addition,ip,3
beyond,ip,3
theory,ip,6
direct,ip,3
overlapping,ip,4
trigger,ip,6
locating,ip,1
centre,ip,1
experience,ip,11
national,ip,8
transformative,ip,2
process,ip,21
ﬁrst,ip,6
increased,ip,1
environmental,ip,7
biodiversity,ip,14
crisis,ip,4
notable,ip,5
outcome,ip,2
ensuing,ip,1
international,ip,41
deliberation,ip,2
environment,ip,9
strategy,ip,3
inward-looking,ip,1
environment-related,ip,1
practice,ip,11
stewardship,ip,1
cooptation,ip,1
policy,ip,14
clich,ip,1
´e,ip,1
sustainability,ip,1
hodgson,ip,3
given,ip,2
encompassing,ip,1
nature,ip,17
helped,ip,3
traditional,ip,26
agricultural,ip,2
general,ip,10
conservation,ip,3
associated,ip,2
second,ip,10
radical,ip,4
shift,ip,3
life,ip,6
deployment,ip,1
animal,ip,3
human,ip,16
plant,ip,11
genetic,ip,7
resource,ip,17
basic,ip,1
applied,ip,2
research,ip,14
especially,ip,11
health,ip,5
agriculture,ip,5
drug,ip,5
production,ip,3
crime,ip,1
management,ip,4
industrial,ip,12
service,ip,2
mehta,ip,2
biorevolution,ip,1
evidenced,ip,1
progress,ip,2
biotechnology,ip,8
endeavour,ip,1
aggregate,ip,1
many,ip,10
conventional,ip,7
wealth,ip,1
endemic,ip,1
biological,ip,10
located,ip,4
globally,ip,4
third,ip,9
computer-driven,ip,2
digital,ip,7
revolution,ip,2
era,ip,3
complementary,ip,1
facilitating,ip,1
generation,ip,7
processing,ip,2
diffusion,ip,1
manipulation,ip,3
sensitive,ip,3
technology,ip,5
intertwined,ip,1
facilitates,ip,4
transfer,ip,3
biodiversity-related,ip,1
western,ip,16
scientiﬁc,ip,12
trend,ip,7
symbolizes,ip,1
part,ip,10
analyst,ip,2
tagged,ip,1
birth,ip,1
chartrand,ip,2
drahos,ip,8
braithwaite,ip,4
development,ip,11
since,ip,3
lawmaking,ip,1
fourth,ip,3
period,ip,1
marked,ip,2
paradigmatic,ip,2
status,ip,6
quo,ip,1
hitherto,ip,4
matter,ip,5
instrument,ip,4
trade,ip,4
organization,ip,7
regime,ip,25
event,ip,1
entrenchment,ip,1
via,ip,4
agreement,ip,5
left,ip,2
sour,ip,1
taste,ip,1
mouth,ip,1
south,ip,13
reichman,ip,4
despite,ip,4
coercing,ip,1
implication,ip,7
commit,ip,1
minimum,ip,1
universal,ip,1
standard,ip,2
protection,ip,21
accommodate,ip,3
accurately,ip,1
extent,ip,5
accommodates,ip,2
debatable,ip,1
disregard,ip,1
translates,ip,2
leaving,ip,1
form,ip,21
unenclosed,ip,1
open,ip,2
unbridled,ip,3
chander,ip,3
sunder,ip,6
sharply,ip,1
contrast,ip,3
giant,ip,1
stride,ip,1
rely,ip,1
