word/phrase,value,class
court,36,ip
mark,29,ip
evidence,21,ip
trade,18,ip
garment,18,ip
section,17,ip
paul,17,ip
good,15,ip
district,14,ip
retail,14,ip
director,13,ip
applicant,12,ip
infringement,11,ip
registered,10,ip
owner,10,ip
sunsports,10,ip
proceeding,9,ip
new,9,ip
may,9,ip
ltd,9,ip
established,9,ip
applied,8,ip
mr,8,ip
manufactured,8,ip
consent,8,ip
federal,7,ip
international,7,ip
product,7,ip
outside,7,ip
act,6,ip
id,6,ip
action,6,ip
fact,6,ip
also,6,ip
respect,6,ip
would,6,ip
great,6,ip
white,6,ip
defence,6,ip
order,6,ip
supplied,6,ip
burden,6,ip
law,5,ip
practice,5,ip
found,5,ip
civil,5,ip
patent,5,ip
must,5,ip
sporte,5,ip
leisure,5,ip
greg,5,ip
norman,5,ip
use,5,ip
sale,5,ip
india,5,ip
service,5,ip
nicholas,5,ip
limitation,4,ip
admissibility,4,ip
agency,4,ip
circuit,4,ip
rule,4,ip
however,4,ip
email,4,ip
agreement,4,ip
licensed,4,ip
without,4,ip
shipped,4,ip
pakistan,4,ip
royalty,4,ip
proof,4,ip
infringing,4,ip
joint,4,ip
tortfeasor,4,ip
goodwill,4,ip
journal,3,ip
intellectual,3,ip
property,3,ip
vol,3,ip
procedure,3,ip
review,3,ip
provide,3,ip
de,3,ip
novo,3,ip
hyatt,3,ip
declaration,3,ip
considered,3,ip
legal,3,ip
held,3,ip
decision,3,ip
case,3,ip
rejected,3,ip
important,3,ip
whether,3,ip
shark,3,ip
importing,3,ip
pty,3,ip
inc,3,ip
notwithstanding,3,ip
application,3,ip
provides,3,ip
second,3,ip
placed,3,ip
purchase,3,ip
genuine,3,ip
letter,3,ip
singh,3,ip
market,3,ip
licence,3,ip
person,3,ip
territory,3,ip
know,3,ip
among,3,ip
submission,3,ip
liable,3,ip
directed,3,ip
company,3,ip
relevant,3,ip
english,3,ip
confusion,3,ip
cause,3,ip
similar,3,ip
sign,3,ip
administrative,2,ip
record,2,ip
exclude,2,ip
analysis,2,ip
standard,2,ip
brought,2,ip
discretion,2,ip
hyatts,2,ip
language,2,ip
statute,2,ip
introduce,2,ip
speciﬁcally,2,ip
merely,2,ip
afford,2,ip
rather,2,ip
morgan,2,ip
address,2,ip
instead,2,ip
recognized,2,ip
introduced,2,ip
emphasized,2,ip
right,2,ip
admitted,2,ip
ﬁndings,2,ip
majority,2,ip
deliberately,2,ip
hospitable,2,ip
forum,2,ip
practical,2,ip
signiﬁcance,2,ip
risk,2,ip
potentially,2,ip
term,2,ip
time,2,ip
reached,2,ip
consideration,2,ip
charles,2,ip
macedo,2,ip
doijiplpjpq,2,ip
advance,2,ip
access,2,ip
publication,2,ip
january,2,ip
take,2,ip
parallel,2,ip
october,2,ip
