word/phrase,value,class
property,272,hr
cultural,248,hr
american,155,hr
native,152,hr
law,120,hr
right,104,hr
object,103,hr
indigenous,87,hr
repatriation,83,hr
state,77,hr
international,64,hr
act,61,hr
human,61,hr
affiliation,60,hr
protection,60,hr
federal,50,hr
people,49,hr
united,48,hr
use,47,hr
concept,44,hr
university,44,hr
tribe,42,hr
term,42,hr
see,42,hr
ownership,41,hr
private,38,hr
subject,36,hr
cambridge,34,hr
museum,33,hr
library,32,hr
core,32,hr
graf,31,hr
downloaded,31,hr
httpswwwcambridgeorgcore,31,hr
bristol,31,hr
dec,31,hr
available,31,hr
httpswwwcambridgeorgcoreterms,31,hr
heritage,30,hr
legal,30,hr
re,30,hr
remains,29,hr
agency,29,hr
claim,28,hr
also,28,hr
indian,27,hr
process,27,hr
provision,25,hr
however,25,hr
question,24,hr
national,23,hr
government,22,hr
report,22,hr
group,21,hr
may,21,hr
item,21,hr
new,19,hr
principle,19,hr
even,19,hr
example,19,hr
relationship,19,hr
case,19,hr
trade,18,hr
force,18,hr
section,18,hr
one,18,hr
sacred,17,hr
possession,17,hr
de,17,hr
collective,17,hr
adopted,17,hr
shield,17,hr
organization,16,hr
important,16,hr
individual,16,hr
collection,16,hr
carpenter,16,hr
tribal,16,hr
journal,15,hr
person,15,hr
value,15,hr
land,15,hr
katyal,15,hr
riley,15,hr
stewardship,15,hr
edited,15,hr
control,14,hr
beyond,14,hr
defense,14,hr
nafziger,14,hr
december,14,hr
roman,13,hr
thing,13,hr
time,13,hr
common,13,hr
western,13,hr
extra,13,hr
commercium,13,hr
thus,13,hr
acquisition,13,hr
public,13,hr
culture,13,hr
congressional,13,hr
requester,13,hr
standard,12,hr
declaration,12,hr
association,12,hr
development,12,hr
tradition,12,hr
regard,12,hr
first,12,hr
navajo,12,hr
notice,12,hr
political,12,hr
entered,12,hr
hawaiian,11,hr
patrimony,11,hr
identity,11,hr
traditional,11,hr
nation,11,hr
perspective,11,hr
country,11,hr
theory,11,hr
practice,11,hr
interest,11,hr
could,11,hr
civil,11,hr
culturally,11,hr
work,11,hr
amendment,11,hr
activity,11,hr
thereby,10,hr
go,10,hr
form,10,hr
general,10,hr
regulation,10,hr
factor,10,hr
issue,10,hr
conflict,10,hr
redistribution,10,hr
society,9,hr
funerary,9,hr
graber,9,hr
absolute,9,hr
considered,9,hr
respect,9,hr
historical,9,hr
looking,9,hr
owner,9,hr
possible,9,hr
would,9,hr
social,9,hr
duty,9,hr
evidence,9,hr
court,9,hr
affiliated,9,hr
scope,9,hr
convention,9,hr
effect,9,hr
policy,9,hr
kaser,9,hr
knütel,9,hr
römisches,9,hr
privatrecht,9,hr
verdery,9,hr
trope,9,hr
press,9,hr
limit,8,hr
upon,8,hr
stolen,8,hr
implementation,8,hr
tangible,8,hr
lai,8,hr
goldberg,8,hr
way,8,hr
old,8,hr
economic,8,hr
life,8,hr
highly,8,hr
necessary,8,hr
smaller,8,hr
require,8,hr
two,8,hr
november,8,hr
year,8,hr
passed,8,hr
transfer,8,hr
better,8,hr
thinking,8,hr
treatment,8,hr
author,8,hr
rather,8,hr
repatriate,8,hr
man,8,hr
review,8,hr
order,8,hr
party,8,hr
system,8,hr
institution,8,hr
access,8,hr
humphrey,8,hr
introduction,8,hr
raising,8,hr
karolina,7,hr
developed,7,hr
specific,7,hr
level,7,hr
stand,7,hr
look,7,hr
movable,7,hr
christoph,7,hr
