word/phrase,value,class
memorial,159,hr
island,74,hr
memory,58,hr
occupation,54,hr
liberation,52,hr
st,48,hr
channel,44,hr
guernsey,40,hr
monument,40,hr
victim,38,hr
jersey,37,hr
narrative,35,hr
group,35,hr
site,35,hr
heritage,34,hr
memorialscape,33,hr
also,30,hr
study,27,hr
german,27,hr
war,26,hr
helier,24,hr
harbour,24,hr
nazism,23,hr
worker,22,hr
author,22,hr
event,21,hr
carr,20,hr
erected,20,hr
peter,20,hr
port,20,hr
history,19,hr
commemorative,19,hr
within,18,hr
landscape,18,hr
space,18,hr
place,18,hr
june,17,hr
journal,16,hr
islander,16,hr
although,15,hr
public,15,hr
focus,15,hr
museum,15,hr
employee,15,hr
ﬁrst,14,hr
plaque,14,hr
year,14,hr
international,13,hr
email,13,hr
way,12,hr
time,12,hr
location,12,hr
local,12,hr
people,12,hr
authority,12,hr
jew,12,hr
press,12,hr
number,11,hr
since,11,hr
political,11,hr
thus,11,hr
figure,11,hr
deportee,11,hr
forced,11,hr
university,11,hr
case,10,hr
concept,10,hr
british,10,hr
anniversary,10,hr
town,10,hr
commemoration,10,hr
jewish,10,hr
paper,9,hr
past,9,hr
london,9,hr
still,9,hr
stone,9,hr
large,9,hr
historical,9,hr
area,9,hr
new,9,hr
prisoner,9,hr
slave,9,hr
phase,9,hr
would,9,hr
read,8,hr
many,8,hr
generation,8,hr
often,8,hr
however,8,hr
erection,8,hr
day,8,hr
former,8,hr
small,8,hr
part,8,hr
important,8,hr
today,8,hr
placed,8,hr
th,7,hr
upon,7,hr
especially,7,hr
dominant,7,hr
association,7,hr
square,7,hr
given,7,hr
ceremony,7,hr
dead,7,hr
committee,7,hr
ed,7,hr
link,6,hr
term,6,hr
may,6,hr
capital,6,hr
commemorate,6,hr
counter-memory,6,hr
world,6,hr
reading,6,hr
presented,6,hr
identity,6,hr
nora,6,hr
last,6,hr
despite,6,hr
voice,6,hr
likely,6,hr
population,6,hr
memorialscapes,6,hr
made,6,hr
associated,6,hr
military,6,hr
feature,6,hr
various,6,hr
interpretation,6,hr
arrived,6,hr
three,6,hr
foreign,6,hr
another,6,hr
table,6,hr
two,6,hr
suggested,6,hr
view,5,hr
cambridge,5,hr
received,5,hr
recognised,5,hr
around,5,hr
example,5,hr
hamilton,5,hr
challenge,5,hr
work,5,hr
taken,5,hr
cemetery,5,hr
rather,5,hr
winter,5,hr
take,5,hr
endurance,5,hr
end,5,hr
sculpture,5,hr
celebration,5,hr
name,5,hr
earlier,5,hr
experienced,5,hr
seen,5,hr
occupation-related,5,hr
government,5,hr
civilian,5,hr
factor,5,hr
attention,5,hr
even,5,hr
instigated,5,hr
evening,5,hr
main,5,hr
mière,5,hr
positioning,5,hr
examining,4,hr
gillian,4,hr
single,4,hr
environment,4,hr
resulting,4,hr
aspect,4,hr
complex,4,hr
methodology,4,hr
australia,4,hr
certain,4,hr
represented,4,hr
ashton,4,hr
theme,4,hr
changed,4,hr
absence,4,hr
marginalised,4,hr
eg,4,hr
sometimes,4,hr
long,4,hr
national,4,hr
occurred,4,hr
came,4,hr
second,4,hr
desire,4,hr
legg,4,hr
acknowledgement,4,hr
like,4,hr
perceived,4,hr
wartime,4,hr
experience,4,hr
survival,4,hr
victory,4,hr
reason,4,hr
late,4,hr
unveiled,4,hr
ofﬁcial,4,hr
began,4,hr
become,4,hr
period,4,hr
act,4,hr
bunker,4,hr
camp,4,hr
ﬁeldwork,4,hr
implication,4,hr
put,4,hr
older,4,hr
inﬂuence,4,hr
society,4,hr
established,4,hr
occupied,4,hr
size,4,hr
form,4,hr
involved,4,hr
annual,4,hr
well,4,hr
order,4,hr
evacuee,4,hr
next,4,hr
became,4,hr
october,4,hr
little,4,hr
labourer,4,hr
bunting,4,hr
reference,4,hr
ground,4,hr
bailiff,4,hr
later,4,hr
close,4,hr
master,4,hr
edge,4,hr
lighthouse,4,hr
policy,4,hr
stakeholder,4,hr
institute,4,hr
cultural,4,hr
online,3,hr
condition,3,hr
use,3,hr
found,3,hr
relating,3,hr
active,3,hr
role,3,hr
explore,3,hr
importance,3,hr
marginality,3,hr
centrality,3,hr
allowed,3,hr
bay,3,hr
discussed,3,hr
considered,3,hr
deliberately,3,hr
taylor,3,hr
similar,3,hr
california,3,hr
excluded,3,hr
white,3,hr
value,3,hr
marginalisation,3,hr
recognition,3,hr
others,3,hr
replaced,3,hr
