word/phrase,value,class
journal,ip,2
intellectual,ip,5
property,ip,5
law,ip,6
practice,ip,2
vol,ip,2
bogging,ip,1
high,ip,1
court,ip,12
effectiveness,ip,1
consequence,ip,1
avoided,ip,1
quences,ip,1
ﬂowed,ip,1
decision,ip,4
particular,ip,3
whether,ip,5
nokia,ip,9
could,ip,4
secure,ip,1
injunction,ip,28
extent,ip,1
virgin,ip,3
fortunate,ip,1
said,ip,4
would,ip,11
withdraw,ip,1
designation,ip,2
patent,ip,24
paying,ip,1
fee,ip,1
got,ip,2
away,ip,2
double,ip,1
patenting,ip,1
ie,ip,2
national,ip,1
yet,ip,1
infringed,ip,4
defendant,ip,3
know,ip,1
clearly,ip,1
avoid,ip,2
infringement,ip,8
may,ip,2
lucky,ip,1
good,ip,2
janet,ip,1
strath,ip,1
paul,ip,1
harris,ip,1
pillsbury,ip,1
email,ip,2
doijiplpjpu,ip,2
advance,ip,2
access,ip,2
publication,ip,2
march,ip,2
united,ip,3
kingdom,ip,2
granted,ip,8
following,ip,7
ﬁnding,ip,4
corporation,ip,2
pat,ip,1
england,ip,1
wale,ip,1
december,ip,1
action,ip,2
mr,ip,1
justice,ip,1
arnold,ip,7
ﬁnal,ip,4
restraining,ip,1
continuing,ip,2
sell,ip,1
product,ip,2
previously,ip,1
determined,ip,1
nokias,ip,5
clariﬁed,ip,1
test,ip,4
applied,ip,3
considering,ip,1
grant,ip,15
case,ip,11
legal,ip,3
context,ip,2
author,ip,1
co-authored,ip,1
paper,ip,2
moss,ip,2
bard,ip,1
gore,ip,1
injunct,ip,2
question,ip,4
right,ip,13
reward,ip,1
infringer,ip,2
successfully,ip,1
exploiting,ip,1
analysing,ip,1
difference,ip,1
approach,ip,5
state,ip,2
drew,ip,1
attention,ip,1
fact,ip,5
supreme,ip,2
inc,ip,2
adopted,ip,1
balance,ip,2
harm,ip,2
whereas,ip,1
still,ip,2
appeared,ip,2
claimant,ip,2
entitled,ip,2
unless,ip,1
inﬂicted,ip,1
grossly,ip,5
disproportionate,ip,7
damage,ip,3
likely,ip,2
suffered,ip,1
patentee,ip,1
opportunity,ip,1
ass,ip,1
issue,ip,1
arose,ip,2
followed,ip,1
october,ip,1
european,ip,2
valid,ip,2
subsequent,ip,1
hearing,ip,1
conse,ip,1
important,ip,1
aspect,ip,2
declared,ip,1
essential,ip,2
telecom,ip,1
standard,ip,1
meant,ip,2
usual,ip,1
fair,ip,1
reasonable,ip,1
non-discriminatory,ip,1
undertaking,ip,1
respect,ip,2
avail,ip,1
defence,ip,1
obliged,ip,1
licence,ip,7
willing,ip,1
licensee,ip,1
nevertheless,ip,2
argued,ip,1
even,ip,2
though,ip,1
found,ip,1
infringing,ip,2
remedy,ip,2
lie,ip,1
alone,ip,1
relied,ip,1
inter,ip,1
alia,ip,1
factor,ip,2
present,ip,1
patented,ip,1
element,ip,1
formed,ip,1
small,ip,4
part,ip,1
overall,ip,1
commercial,ip,1
device,ip,1
