word/phrase,value,class
music,128,hr
archive,114,hr
popular,96,hr
community,63,hr
heritage,60,hr
museum,59,hr
site,47,hr
collection,42,hr
online,41,hr
material,38,hr
physical,37,hr
baker,36,hr
institution,26,hr
jazz,26,hr
cultural,25,hr
sustainability,24,hr
culture,22,hr
challenge,22,hr
volunteer,19,hr
practice,19,hr
preservation,18,hr
study,17,hr
sound,17,hr
holy,17,hr
warble,17,hr
journal,16,hr
collins,16,hr
blog,16,hr
sarah,15,hr
concern,15,hr
new,15,hr
artefact,14,hr
mutant,14,hr
founder,14,hr
do-it-yourself,14,hr
history,14,hr
example,14,hr
archiving,14,hr
national,14,hr
future,14,hr
research,13,hr
digital,13,hr
issue,13,hr
memory,13,hr
closure,13,hr
huber,12,hr
authorised,12,hr
international,11,hr
past,11,hr
eiben,11,hr
place,11,hr
year,11,hr
routledge,11,hr
interest,10,hr
make,10,hr
seek,10,hr
archival,10,hr
record,10,hr
flinn,10,hr
preserving,10,hr
also,10,hr
personal,10,hr
resource,10,hr
robert,10,hr
post,10,hr
york,10,hr
sustaining,9,hr
term,9,hr
bix,9,hr
hamburg,9,hr
long-term,9,hr
public,9,hr
often,9,hr
knowledge,9,hr
long,9,hr
library,9,hr
around,9,hr
however,9,hr
posted,9,hr
jez,8,hr
may,8,hr
university,8,hr
grassroots,8,hr
industry,8,hr
see,8,hr
form,8,hr
leonard,8,hr
range,8,hr
available,8,hr
housed,8,hr
case,8,hr
like,8,hr
role,7,hr
whilst,7,hr
activity,7,hr
category,7,hr
institutional,7,hr
funding,7,hr
copyright,7,hr
old,7,hr
july,7,hr
work,7,hr
edited,7,hr
australia,6,hr
great,6,hr
individual,6,hr
cohen,6,hr
recording,6,hr
many,6,hr
run,6,hr
enthusiast,6,hr
archivist,6,hr
important,6,hr
historical,6,hr
way,6,hr
framework,6,hr
database,6,hr
time,6,hr
support,6,hr
plan,6,hr
communication,6,hr
centre,6,hr
do-it-together,6,hr
doi,6,hr
access,5,hr
medium,5,hr
birmingham,5,hr
concerned,5,hr
due,5,hr
making,5,hr
prestigious,5,hr
mainstream,5,hr
well,5,hr
government,5,hr
number,5,hr
vernacular,5,hr
need,5,hr
existence,5,hr
given,5,hr
holding,5,hr
made,5,hr
within,5,hr
note,5,hr
group,5,hr
without,5,hr
practitioner,5,hr
hall,5,hr
location,5,hr
collecting,5,hr
repository,5,hr
lack,5,hr
wide,5,hr
succession,5,hr
planning,5,hr
whose,5,hr
obscure,5,hr
real,5,hr
face,5,hr
loss,5,hr
australian,5,hr
le,5,hr
marion,5,hr
print,4,hr
display,4,hr
accessible,4,hr
limited,4,hr
three,4,hr
ceased,4,hr
operation,4,hr
highlight,4,hr
medium-,4,hr
production,4,hr
consumption,4,hr
part,4,hr
representative,4,hr
rather,4,hr
one,4,hr
expertise,4,hr
beyond,4,hr
continued,4,hr
would,4,hr
remain,4,hr
exist,4,hr
set,4,hr
traditional,4,hr
sense,4,hr
share,4,hr
develop,4,hr
project,4,hr
fame,4,hr
independent,4,hr
level,4,hr
characterised,4,hr
critical,4,hr
building,4,hr
generation,4,hr
technology,4,hr
member,4,hr
move,4,hr
even,4,hr
involved,4,hr
health,4,hr
founding,4,hr
continue,4,hr
another,4,hr
youth,4,hr
question,4,hr
response,4,hr
take,4,hr
much,4,hr
eric,4,hr
alison,4,hr
sara,4,hr
andrew,4,hr
link,3,hr
published,3,hr
view,3,hr
full,3,hr
dedicated,3,hr
broad,3,hr
musical,3,hr
logic,3,hr
sector,3,hr
deal,3,hr
major,3,hr
vast,3,hr
broader,3,hr
author,3,hr
include,3,hr
policy,3,hr
emphasise,3,hr
comprehensive,3,hr
problem,3,hr
doyle,3,hr
homan,3,hr
canon,3,hr
experience,3,hr
created,3,hr
act,3,hr
otherwise,3,hr
lost,3,hr
object,3,hr
process,3,hr
endeavour,3,hr
held,3,hr
organisation,3,hr
approach,3,hr
although,3,hr
along,3,hr
across,3,hr
professional,3,hr
yet,3,hr
according,3,hr
two,3,hr
related,3,hr
world,3,hr
type,3,hr
unauthorised,3,hr
ongoing,3,hr
relating,3,hr
human,3,hr
signiﬁcance,3,hr
order,3,hr
outside,3,hr
digitised,3,hr
economic,3,hr
particularly,3,hr
united,3,hr
state,3,hr
appropriate,3,hr
key,3,hr
platform,3,hr
collective,3,hr
might,3,hr
page,3,hr
hundred,3,hr
curating,3,hr
website,3,hr
explained,3,hr
musician,3,hr
forgotten,3,hr
american,3,hr
stevens,3,hr
shepherd,3,hr
running,3,hr
away,3,hr
victorian,3,hr
get,3,hr
younger,3,hr
enough,3,hr
keep,3,hr
june,3,hr
ensure,3,hr
amount,3,hr
still,3,hr
ever,3,hr
despite,3,hr
jim,3,hr
following,3,hr
current,3,hr
rip,3,hr
album,3,hr
comment,3,hr
supported,3,hr
flash,3,hr
gary,3,hr
south,3,hr
space,3,hr
march,3,hr
strategy,3,hr
london,3,hr
end,3,hr
opportunity,3,hr
sutton,3,hr
present,3,hr
ed,3,hr
knifton,3,hr
society,3,hr
citing,2,hr
article,2,hr
condition,2,hr
found,2,hr
grifﬁth,2,hr
city,2,hr
received,2,hr
faced,2,hr
