word/phrase,value,class
heritage,84,hr
irish,70,hr
ireland,56,hr
political,50,hr
death,49,hr
republican,41,hr
prison,39,hr
belfast,37,hr
gaol,35,hr
museum,32,hr
williams,30,hr
trouble,29,hr
see,29,hr
visitor,29,hr
sanctity,28,hr
british,28,hr
hunger,27,hr
history,26,hr
one,25,hr
also,24,hr
smith,24,hr
prisoner,23,hr
kilmainham,23,hr
university,22,hr
northern,22,hr
cultural,22,hr
site,22,hr
imprisonment,21,hr
press,21,hr
dublin,20,hr
mural,19,hr
rising,19,hr
execution,18,hr
hertz,18,hr
study,17,hr
loyalist,17,hr
guide,17,hr
space,17,hr
durkheim,16,hr
performance,16,hr
since,16,hr
connolly,16,hr
journal,15,hr
new,15,hr
executed,15,hr
conflict,14,hr
narrative,14,hr
graham,14,hr
long,14,hr
oxford,14,hr
welch,13,hr
social,13,hr
london,13,hr
community,13,hr
group,13,hr
tour,13,hr
strike,13,hr
catholic,13,hr
sand,13,hr
event,12,hr
road,12,hr
west,12,hr
war,12,hr
tourist,12,hr
time,12,hr
solidarity,12,hr
woman,12,hr
plunkett,12,hr
photograph,12,hr
striker,12,hr
international,11,hr
michael,11,hr
form,11,hr
society,11,hr
crumlin,11,hr
known,11,hr
well,11,hr
whelan,11,hr
thereby,11,hr
past,11,hr
shot,11,hr
display,11,hr
way,10,hr
resistance,10,hr
life,10,hr
power,10,hr
still,10,hr
another,10,hr
last,10,hr
memorial,10,hr
may,9,hr
eg,9,hr
meaning,9,hr
contested,9,hr
first,9,hr
door,9,hr
tension,9,hr
process,9,hr
place,9,hr
however,9,hr
alexander,9,hr
large,9,hr
men,9,hr
james,9,hr
dark,9,hr
wall,9,hr
unionist,9,hr
york,9,hr
point,8,hr
durkheimian,8,hr
theory,8,hr
stone,8,hr
burial,8,hr
victorian,8,hr
memory,8,hr
among,8,hr
peace,8,hr
nationalist,8,hr
later,8,hr
easter,8,hr
due,8,hr
image,8,hr
religious,8,hr
martyr,8,hr
died,8,hr
commemoration,8,hr
collection,8,hr
edited,8,hr
troubled,7,hr
centre,7,hr
particular,7,hr
analysis,7,hr
