word/phrase,value,class
international,hr,5
journal,hr,14
heritage,hr,98
study,hr,22
print,hr,1
online,hr,21
homepage,hr,2
white,hr,21
noise,hr,45
sound,hr,119
materiality,hr,3
crowd,hr,19
contemporary,hr,14
practice,hr,23
paul,hr,5
tourle,hr,5
cite,hr,1
link,hr,3
author,hr,4
published,hr,3
informa,hr,2
limited,hr,4
trading,hr,2
taylor,hr,2
francis,hr,2
group,hr,3
nov,hr,1
submit,hr,2
view,hr,8
crossmark,hr,1
data,hr,6
citing,hr,2
article,hr,2
full,hr,2
term,hr,14
condition,hr,2
access,hr,8
use,hr,7
found,hr,1
vol,hr,1
institute,hr,2
archaeology,hr,3
london,hr,12
received,hr,2
june,hr,7
accepted,hr,1
november,hr,5
sonic,hr,39
auditory,hr,4
migrant,hr,9
crisis,hr,8
shore,hr,11
joint,hr,1
venture,hr,2
national,hr,23
trust,hr,19
british,hr,32
library,hr,23
employed,hr,1
crowdsourcing,hr,21
methodology,hr,5
create,hr,1
permanent,hr,3
archive,hr,40
coastal,hr,17
paper,hr,4
pursue,hr,2
critical,hr,12
analysis,hr,18
project,hr,43
order,hr,11
problematise,hr,1
recent,hr,7
emergence,hr,2
aimed,hr,2
capturing,hr,2
preserving,hr,3
everyday,hr,5
broadly,hr,1
case,hr,7
think,hr,5
two,hr,13
trend,hr,5
first,hr,13
turn,hr,3
towards,hr,4
mean,hr,9
democratising,hr,1
representation,hr,6
second,hr,7
current,hr,1
accumulation,hr,6
preservation,hr,5
ever-broader,hr,1
range,hr,1
mass,hr,4
material,hr,14
framework,hr,5
provided,hr,3
dual,hr,1
reading,hr,3
thus,hr,14
purpose,hr,1
describes,hr,3
acoustic,hr,3
phenomenon,hr,3
product,hr,4
every,hr,1
possible,hr,4
frequency,hr,2
sounding,hr,4
simultaneously,hr,2
expression,hr,3
perfect,hr,2
equality,hr,1
chaos,hr,2
particular,hr,7
mode,hr,10
racialised,hr,2
production,hr,10
audition,hr,2
modulated,hr,1
constrained,hr,1
whiteness,hr,7
displaces,hr,1
silence,hr,3
others,hr,6
listening,hr,38
ear,hr,4
borrow,hr,1
jennifer,hr,4
terminology,hr,3
either,hr,1
deaf,hr,2
appalled,hr,1
make,hr,13
noisy,hr,5
defined,hr,2
sum-total,hr,1
connor,hr,2
sense,hr,9
may,hr,10
thought,hr,4
representative,hr,3
arguably,hr,4
democratic,hr,1
one,hr,38
voice,hr,5
equal,hr,2
weight,hr,2
yet,hr,8
experience,hr,8
far,hr,8
edifying,hr,1
serres,hr,2
superabundance,hr,1
presence,hr,3
convey,hr,2
clear,hr,6
message,hr,2
must,hr,5
ordered,hr,2
cleansed,hr,1
signal,hr,4
isolated,hr,2
writing,hr,3
position,hr,4
straddling,hr,1
intention,hr,2
development,hr,6
increasing,hr,1
engagement,hr,17
environmental,hr,2
embrace,hr,1
today,hr,5
find,hr,6
bound,hr,1
postmodern,hr,2
sensibility,hr,1
concerted,hr,3
critique,hr,4
eurocentrism,hr,1
elitism,hr,1
conservatism,hr,2
see,hr,12
eg,hr,3
wright,hr,2
samuel,hr,2
byrne,hr,2
smith,hr,2
harrison,hr,9
foot,hr,1
thoroughly,hr,4
burned,hr,1
coal,hr,1
important,hr,6
outcome,hr,3
trial,hr,1
fire,hr,1
decade,hr,2
open,hr,2
distributed,hr,1
creative,hr,1
common,hr,4
attribution,hr,1
license,hr,1
permit,hr,1
unrestricted,hr,1
distribution,hr,2
reproduction,hr,2
medium,hr,6
original,hr,2
work,hr,18
properly,hr,1
cited,hr,1
curatorial,hr,2
method,hr,2
nominally,hr,1
attuned,hr,3
public,hr,23
thoroughgoing,hr,1
scepticism,hr,1
regarding,hr,2
expert,hr,5
culture,hr,12
schofield,hr,6
suggests,hr,2
member,hr,3
afforded,hr,1
say,hr,1
inscription,hr,4
interpretation,hr,1
radically,hr,1
enabled,hr,2
web,hr,6
technology,hr,8
digital,hr,8
augmentation,hr,1
autonomous,hr,1
subject,hr,7
notionally,hr,1
liberated,hr,1
speak,hr,1
point,hr,11
holtorf,hr,3
raised,hr,2
many,hr,6
institution,hr,7
difficult,hr,1
knowing,hr,2
collect,hr,1
responding,hr,1
promoting,hr,3
series,hr,2
inclusion,hr,1
within,hr,9
intangible,hr,3
homeless,hr,2
kiddey,hr,2
key,hr,4
commentator,hr,2
come,hr,9
assert,hr,1
everything,hr,3
least,hr,3
anything,hr,2
treated,hr,1
problem,hr,6
loss,hr,4
aversion,hr,2
suggesting,hr,1
entire,hr,2
sector,hr,3
long,hr,1
seen,hr,4
constant,hr,2
fight,hr,1
save,hr,1
existing,hr,1
selflessly,hr,1
future,hr,4
generation,hr,2
belong,hr,1
u,hr,14
picture,hr,1
complicated,hr,1
logic,hr,4
lead,hr,3
risk,hr,1
overwhelmed,hr,1
memory,hr,6
process,hr,9
making,hr,5
ineffective,hr,1
worthless,hr,1
want,hr,11
argue,hr,1
described,hr,4
created,hr,1
coherence,hr,1
lost,hr,2
amid,hr,2
torrent,hr,1
object,hr,8
suggest,hr,4
new,hr,20
noisiness,hr,2
exacerbates,hr,1
marginalisation,hr,2
certain,hr,11
society,hr,6
deferring,hr,1
tension,hr,3
injustice,hr,1
political,hr,8
life,hr,8
britain,hr,8
surrounding,hr,3
migration,hr,4
issue,hr,4
polarised,hr,1
since,hr,8
originated,hr,2
summer,hr,6
another,hr,5
concerning,hr,2
even,hr,10
demonization,hr,2
working,hr,10
class,hr,7
cf,hr,2
jones,hr,2
teasing,hr,1
potential,hr,9
reflect,hr,3
different,hr,5
register,hr,1
play,hr,3
middle,hr,2
cosmopolitan,hr,1
leisurely,hr,2
primarily,hr,3
peripheral,hr,1
sometimes,hr,1
overtly,hr,1
nationalist,hr,3
well,hr,6
providing,hr,2
metaphor,hr,2
follows,hr,1
also,hr,17
provides,hr,1
matter,hr,8
proceed,hr,2
analysing,hr,1
overseen,hr,1
jointly,hr,1
generate,hr,2
example,hr,6
kind,hr,10
crowd-based,hr,3
increasingly,hr,4
ran,hr,1
parallel,hr,1
month,hr,2
september,hr,8
affords,hr,2
opportunity,hr,4
consider,hr,4
audibility,hr,1
form,hr,13
moment,hr,5
history,hr,6
reflecting,hr,1
way,hr,19
set,hr,4
privileged,hr,3
draw,hr,4
upon,hr,3
notion,hr,9
color-line,hr,2
affirming,hr,1
importance,hr,1
audience,hr,10
actuality,hr,1
launched,hr,1
aim,hr,1
build,hr,1
map,hr,9
comprising,hr,1
field,hr,9
recording,hr,23
submitted,hr,4
general,hr,5
day,hr,1
launch,hr,5
strike,hr,1
action,hr,2
taken,hr,3
staff,hr,2
port,hr,3
calais,hr,3
caused,hr,1
delay,hr,2
border,hr,3
france,hr,1
large,hr,2
number,hr,3
seeking,hr,2
refuge,hr,1
took,hr,4
advantage,hr,1
slow-moving,hr,1
traffic,hr,1
stow,hr,1
away,hr,4
lorry,hr,1
queuing,hr,1
channel,hr,1
crossing,hr,1
resulting,hr,1
storm,hr,3
attention,hr,7
began,hr,2
focus,hr,2
earnest,hr,1
termed,hr,1
week,hr,2
later,hr,1
dover,hr,8
town,hr,1
adjoining,hr,1
played,hr,2
host,hr,1
right-wing,hr,3
demonstration,hr,1
early,hr,3
january,hr,5
april,hr,1
south,hr,1
east,hr,1
alliance,hr,1
front,hr,2
descended,hr,1
coast,hr,17
protest,hr,5
rising,hr,1
immigration,hr,2
three,hr,2
march,hr,2
marked,hr,1
outbreak,hr,1
violence,hr,2
ended,hr,1
chanting,hr,1
refugee,hr,2
aint,hr,1
black,hr,1
union,hr,1
jack,hr,1
express,hr,3
faced,hr,1
volatile,hr,1
world,hr,6
beyond,hr,5
flame,hr,1
anger,hr,2
fanned,hr,1
long-term,hr,2
economic,hr,3
austerity,hr,1
briton,hr,3
right,hr,2
peered,hr,1
nervously,hr,1
continent,hr,1
famous,hr,1
cliff,hr,1
stung,hr,1
incendiary,hr,1
coverage,hr,3
european,hr,1
disenfranchised,hr,1
reduced,hr,3
screaming,hr,2
obscenity,hr,1
grey,hr,1
indifferent,hr,1
sea,hr,3
surprise,hr,1
substantial,hr,1
catalogue,hr,1
compiled,hr,1
course,hr,4
evidence,hr,4
retained,hr,1
turmoil,hr,1
wrought,hr,1
discontent,hr,1
good,hr,1
reason,hr,1
criticise,hr,1
beginning,hr,2
encouraged,hr,1
participant,hr,2
favourite,hr,4
category,hr,2
assumes,hr,1
people,hr,11
would,hr,12
include,hr,1
gruff,hr,1
ostinato,hr,1
moreover,hr,2
confirmed,hr,1
email,hr,2
exchange,hr,1
cheryl,hr,5
tipp,hr,5
never,hr,2
intended,hr,3
constitute,hr,2
examination,hr,1
primary,hr,2
objective,hr,1
instead,hr,3
raise,hr,3
interest,hr,5
promote,hr,1
awareness,hr,1
celebrate,hr,1
th,hr,2
anniversary,hr,2
neptune,hr,5
campaign,hr,2
fund,hr,1
