word/phrase,value,class
fashion,86,ip
law,60,ip
power,52,ip
norm,48,ip
social,43,ip
may,33,ip
imbalance,31,ip
contract,29,ip
industry,27,ip
relationship,23,ip
copyright,20,ip
right,19,ip
brand,19,ip
good,18,ip
inequality,18,ip
principle,18,ip
community,17,ip
protection,17,ip
research,16,ip
said,16,ip
one,15,ip
could,15,ip
property,14,ip
problem,14,ip
see,14,ip
accessed,14,ip
intellectual,13,ip
practice,13,ip
however,13,ip
supply,13,ip
chain,13,ip
faith,12,ip
bargaining,12,ip
model,12,ip
ibid,12,ip
study,11,ip
innovation,11,ip
work,11,ip
retailer,11,ip
design,10,ip
case,10,ip
instance,10,ip
would,10,ip
legal,9,ip
competition,9,ip
raustiala,9,ip
also,9,ip
luxury,9,ip
art,9,ip
creativity,8,ip
copying,8,ip
party,8,ip
unifying,8,ip
act,8,ip
example,8,ip
general,8,ip
ltd,8,ip
author,7,ip
throughout,7,ip
business,7,ip
rev,7,ip
european,7,ip
term,7,ip
common,7,ip
important,7,ip
item,7,ip
methodology,7,ip
even,7,ip
consumer,7,ip
seem,6,ip
need,6,ip
regulated,6,ip
negative,6,ip
stakeholder,6,ip
certain,6,ip
designer,6,ip
lawyer,6,ip
light,6,ip
number,6,ip
therefore,6,ip
recent,6,ip
especially,6,ip
trade,6,ip
buyer,6,ip
often,6,ip
still,6,ip
abuse,6,ip
particular,6,ip
use,6,ip
new,6,ip
journal,5,ip
guido,5,ip
noto,5,ip
la,5,ip
regulation,5,ip
positive,5,ip
potential,5,ip
address,5,ip
unfair,5,ip
go,5,ip
beyond,5,ip
part,5,ip
relevant,5,ip
reﬂect,5,ip
evidence,5,ip
interview,5,ip
seems,5,ip
coty,5,ip
consequence,5,ip
make,5,ip
aimed,5,ip
role,5,ip
eg,5,ip
mark,5,ip
assumption,5,ip
april,5,ip
category,5,ip
human,5,ip
issue,5,ip
related,5,ip
lead,5,ip
context,5,ip
contractual,5,ip
undue,5,ip
duress,5,ip
since,5,ip
sport,5,ip
vol,4,ip
scope,4,ip
method,4,ip
reform,4,ip
qualitative,4,ip
economic,4,ip
take,4,ip
clothing,4,ip
company,4,ip
freedom,4,ip
expression,4,ip
thus,4,ip
diega,4,ip
lecturer,4,ip
closed,4,ip
family,4,ip
rather,4,ip
upon,4,ip
clear,4,ip
impact,4,ip
first,4,ip
edn,4,ip
sprigman,4,ip
press,4,ip
plamondon,4,ip
bair,4,ip
u,4,ip
idea,4,ip
time,4,ip
ﬁx,4,ip
representative,4,ip
french,4,ip
interviewee,4,ip
ie,4,ip
sustainability,4,ip
tool,4,ip
put,4,ip
exclusion,4,ip
intersectional,4,ip
much,4,ip
phenomenon,4,ip
trend,4,ip
way,4,ip
november,4,ip
edie,4,ip
campbell,4,ip
so-called,4,ip
