word/phrase,value,class
patent,1420,ip
right,1238,ip
law,1086,ip
property,793,ip
intellectual,741,ip
copyright,684,ip
protection,640,ip
may,595,ip
case,541,ip
use,501,ip
journal,487,ip
product,482,ip
knowledge,473,ip
court,445,ip
world,440,ip
international,426,ip
access,419,ip
trade,401,ip
also,398,ip
act,396,ip
claim,376,ip
would,371,ip
public,333,ip
state,332,ip
mark,332,ip
application,321,ip
country,320,ip
agreement,315,ip
however,310,ip
ltd,299,ip
new,296,ip
one,296,ip
exception,295,ip
treaty,293,ip
vol,290,ip
local,286,ip
could,284,ip
party,282,ip
trademark,277,ip
provision,267,ip
time,259,ip
european,249,ip
standard,246,ip
requirement,244,ip
information,241,ip
owner,240,ip
term,235,ip
interest,235,ip
market,234,ip
national,231,ip
see,229,ip
software,227,ip
must,223,ip
work,222,ip
legal,221,ip
process,221,ip
organization,215,ip
user,213,ip
section,212,ip
question,209,ip
expression,207,ip
part,206,ip
measure,204,ip
practice,203,ip
invention,200,ip
indigenous,199,ip
accessed,194,ip
limit,194,ip
whether,191,ip
available,191,ip
cultural,186,ip
issue,186,ip
convention,185,ip
system,184,ip
policy,183,ip
author,179,ip
member,178,ip
good,177,ip
subject,177,ip
test,176,ip
resource,176,ip
committee,173,ip
scope,168,ip
tobacco,166,ip
strategy,164,ip
publishing,162,ip
form,162,ip
made,161,ip
regulation,161,ip
example,161,ip
legislation,160,ip
within,160,ip
economic,159,ip
order,159,ip
community,158,ip
particular,157,ip
approach,157,ip
freedom,154,ip
change,153,ip
blackwell,153,ip
technology,153,ip
effect,153,ip
rule,152,ip
traditional,152,ip
pharmaceutical,151,ip
medicine,151,ip
applicant,150,ip
used,149,ip
matter,148,ip
respect,145,ip
competition,144,ip
infringement,144,ip
position,143,ip
directive,143,ip
provide,142,ip
decision,141,ip
people,141,ip
company,140,ip
way,139,ip
pp,139,ip
drug,139,ip
packaging,139,ip
online,137,ip
production,137,ip
health,135,ip
based,135,ip
mean,134,ip
ﬁrst,133,ip
general,133,ip
even,133,ip
computer,132,ip
holder,131,ip
draft,130,ip
protocol,130,ip
two,126,ip
copy,126,ip
power,125,ip
including,124,ip
principle,124,ip
without,123,ip
document,123,ip
thus,123,ip
need,122,ip
october,122,ip
genetic,122,ip
digital,121,ip
culture,121,ip
therefore,120,ip
ofﬁce,120,ip
vietnam,120,ip
indication,119,ip
industry,119,ip
third,119,ip
relation,118,ip
united,118,ip
research,118,ip
service,118,ip
japan,118,ip
geographical,117,ip
limited,117,ip
potential,117,ip
provided,117,ip
interpretation,116,ip
human,116,ip
certain,115,ip
make,115,ip
university,114,ip
important,114,ip
australia,114,ip
note,113,ip
fact,112,ip
context,110,ip
provides,110,ip
china,110,ip
registered,110,ip
item,110,ip
value,109,ip
ﬁling,108,ip
priority,108,ip
held,107,ip
exclusive,107,ip
word,106,ip
considered,106,ip
ibid,106,ip
others,105,ip
development,105,ip
competitor,105,ip
take,104,ip
expert,104,ip
regional,104,ip
procedure,103,ip
action,102,ip
situation,102,ip
south,102,ip
import,101,ip
result,100,ip
climate,100,ip
article,98,ip
global,98,ip
social,97,ip
beneﬁt,97,ip
bureau,97,ip
different,96,ip
step,96,ip
basis,96,ip
conference,96,ip
negotiation,96,ip
well,95,ip
review,95,ip
fashion,95,ip
panel,94,ip
program,94,ip
include,93,ip
many,93,ip
registration,93,ip
june,92,ip
purpose,92,ip
required,92,ip
set,91,ip
source,91,ip
reference,90,ip
area,90,ip
legitimate,90,ip
although,90,ip
contracting,90,ip
given,89,ip
report,89,ip
level,89,ip
shall,89,ip
switzerland,89,ip
plain,89,ip
ordinance,89,ip
marketing,88,ip
protected,88,ip
physical,88,ip
quality,87,ip
plant,87,ip
terroir,87,ip
material,86,ip
government,86,ip
nature,86,ip
paris,86,ip
related,85,ip
condition,84,ip
relevant,84,ip
since,84,ip
prepared,84,ip
role,83,ip
number,83,ip
generic,83,ip
eg,83,ip
regard,83,ip
standard-setting,83,ip
business,82,ip
november,82,ip
john,81,ip
speciﬁc,81,ip
adopted,81,ip
control,81,ip
council,81,ip
problem,81,ip
regime,81,ip
food,80,ip
art,80,ip
person,80,ip
son,79,ip
analysis,79,ip
granted,79,ip
using,79,ip
consumer,78,ip
three,78,ip
extension,78,ip
internet,78,ip
diplomatic,78,ip
view,77,ip
consideration,77,ip
second,77,ip
following,76,ip
data,76,ip
federal,76,ip
commission,76,ip
appeal,76,ip
account,75,ip
taken,75,ip
protect,75,ip
established,75,ip
according,75,ip
wiley,75,ip
limitation,74,ip
necessary,74,ip
place,74,ip
patentable,74,ip
compulsory,74,ip
price,73,ip
authority,73,ip
origin,73,ip
reproduction,72,ip
possible,72,ip
concerned,72,ip
common,72,ip
compilation,72,ip
supreme,72,ip
special,71,ip
rather,71,ip
obligation,71,ip
et,71,ip
equivalent,71,ip
group,70,ip
might,70,ip
addition,69,ip
march,69,ip
period,69,ip
licensing,69,ip
ﬁled,69,ip
likely,68,ip
restriction,68,ip
description,68,ip
already,68,ip
relating,68,ip
september,68,ip
africa,68,ip
year,67,ip
de,67,ip
content,67,ip
norm,67,ip
apply,67,ip
method,67,ip
cannot,67,ip
clear,66,ip
publication,66,ip
dispute,66,ip
point,66,ip
enforcement,66,ip
licence,65,ip
concept,65,ip
environment,65,ip
applied,65,ip
study,65,ip
union,65,ip
cooperation,65,ip
sharing,65,ip
said,64,ip
require,64,ip
providing,64,ip
developing,64,ip
relationship,64,ip
association,63,ip
found,63,ip
evidence,63,ip
known,63,ip
july,63,ip
instance,62,ip
exploitation,62,ip
aspect,62,ip
text,62,ip
society,62,ip
claimed,62,ip
either,62,ip
conclusion,62,ip
press,62,ip
innovation,62,ip
recognized,62,ip
supra,62,ip
pemetrexed,62,ip
declaration,61,ip
give,61,ip
doctrine,61,ip
foreign,61,ip
authorization,61,ip
concerning,60,ip
extent,60,ip
requires,60,ip
due,60,ip
ﬁle,60,ip
certiﬁcate,60,ip
adoption,59,ip
still,59,ip
agricultural,59,ip
april,58,ip
included,58,ip
similar,58,ip
industrial,58,ip
reason,58,ip
free,58,ip
temporary,58,ip
india,58,ip
among,58,ip
request,58,ip
provider,58,ip
another,57,ip
paper,57,ip
proposal,57,ip
function,57,ip
standardization,57,ip
ed,57,ip
session,57,ip
appropriate,56,ip
meaning,56,ip
upon,56,ip
communication,56,ip
kenya,56,ip
current,55,ip
aim,55,ip
ground,55,ip
injunction,55,ip
abuse,55,ip
sale,54,ip
manufacturer,54,ip
inc,54,ip
high,54,ip
wider,54,ip
standing,54,ip
technical,54,ip
europe,54,ip
associated,54,ip
option,54,ip
cup,54,ip
wine,53,ip
impact,53,ip
making,53,ip
agency,53,ip
earlier,53,ip
name,52,ip
judge,52,ip
history,52,ip
activity,52,ip
entitlement,52,ip
cost,52,ip
processing,52,ip
ofﬁcial,52,ip
oguamanam,52,ip
argument,51,ip
le,51,ip
region,51,ip
deﬁned,51,ip
circumstance,51,ip
key,51,ip
existing,51,ip
challenge,51,ip
outside,51,ip
published,51,ip
african,51,ip
become,51,ip
event,51,ip
animal,51,ip
treatment,50,ip
referred,50,ip
argued,50,ip
normal,50,ip
beneﬁts,50,ip
