patent,1420
right,1238
law,1086
property,793
intellectual,741
copyright,684
protection,640
may,595
case,541
use,501
journal,487
product,482
knowledge,473
court,445
world,440
international,426
access,419
trade,401
also,398
act,396
claim,376
would,371
public,333
state,332
mark,332
application,321
country,320
agreement,315
however,310
ltd,299
one,296
new,296
exception,295
treaty,293
vol,290
local,286
could,284
party,282
trademark,277
provision,267
time,259
european,249
standard,246
requirement,244
information,241
owner,240
term,235
interest,235
market,234
national,231
see,229
software,227
must,223
work,222
process,221
legal,221
organization,215
user,213
section,212
question,209
expression,207
part,206
measure,204
practice,203
invention,200
indigenous,199
limit,194
accessed,194
whether,191
available,191
issue,186
cultural,186
convention,185
system,184
policy,183
author,179
member,178
subject,177
good,177
test,176
resource,176
committee,173
scope,168
tobacco,166
strategy,164
form,162
publishing,162
made,161
example,161
regulation,161
within,160
legislation,160
order,159
economic,159
community,158
approach,157
particular,157
freedom,154
effect,153
technology,153
change,153
blackwell,153
rule,152
traditional,152
pharmaceutical,151
medicine,151
applicant,150
used,149
matter,148
respect,145
infringement,144
competition,144
position,143
directive,143
provide,142
decision,141
people,141
company,140
way,139
drug,139
pp,139
packaging,139
production,137
online,137
based,135
health,135
mean,134
ﬁrst,133
general,133
even,133
computer,132
holder,131
protocol,130
draft,130
two,126
copy,126
power,125
principle,124
including,124
without,123
thus,123
document,123
need,122
october,122
genetic,122
digital,121
culture,121
therefore,120
ofﬁce,120
vietnam,120
third,119
industry,119
indication,119
united,118
service,118
research,118
relation,118
japan,118
limited,117
provided,117
potential,117
geographical,117
interpretation,116
human,116
make,115
certain,115
important,114
university,114
australia,114
note,113
fact,112
context,110
provides,110
item,110
registered,110
china,110
value,109
priority,108
ﬁling,108
held,107
exclusive,107
word,106
considered,106
ibid,106
development,105
competitor,105
others,105
take,104
expert,104
regional,104
procedure,103
action,102
situation,102
south,102
import,101
result,100
climate,100
global,98
article,98
beneﬁt,97
social,97
bureau,97
basis,96
step,96
different,96
negotiation,96
conference,96
well,95
review,95
fashion,95
program,94
panel,94
include,93
many,93
registration,93
purpose,92
required,92
june,92
set,91
source,91
although,90
area,90
legitimate,90
reference,90
contracting,90
given,89
shall,89
level,89
report,89
ordinance,89
switzerland,89
plain,89
protected,88
marketing,88
physical,88
quality,87
plant,87
terroir,87
material,86
paris,86
nature,86
government,86
related,85
since,84
relevant,84
condition,84
prepared,84
regard,83
role,83
eg,83
standard-setting,83
number,83
generic,83
november,82
business,82
problem,81
speciﬁc,81
adopted,81
control,81
council,81
regime,81
john,81
art,80
person,80
food,80
using,79
analysis,79
granted,79
son,79
three,78
consumer,78
extension,78
internet,78
diplomatic,78
consideration,77
second,77
view,77
appeal,76
following,76
federal,76
commission,76
data,76
taken,75
according,75
account,75
established,75
protect,75
wiley,75
necessary,74
place,74
limitation,74
compulsory,74
patentable,74
authority,73
price,73
origin,73
common,72
supreme,72
concerned,72
possible,72
compilation,72
reproduction,72
equivalent,71
et,71
rather,71
obligation,71
special,71
might,70
group,70
licensing,69
march,69
ﬁled,69
period,69
addition,69
description,68
already,68
restriction,68
likely,68
september,68
relating,68
africa,68
de,67
apply,67
cannot,67
method,67
year,67
content,67
norm,67
clear,66
point,66
publication,66
dispute,66
enforcement,66
concept,65
applied,65
licence,65
union,65
environment,65
cooperation,65
study,65
sharing,65
providing,64
said,64
developing,64
relationship,64
